Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
NGCT,DPL_MD,Existing,0,774.6,0.0,774.6
Oil,AE_NJ,Existing,0,39.0,0.0,39.0
NGCT,DOM_VA,Existing,0,4480.399999999999,0.0,4480.399999999999
NGCC,DPL_DE,Existing,0,1622.0,0.0,1622.0
Hydro,ATSI_OH,Existing,0,8.8,0.0,8.8
NGCT,AEP_IN,Existing,0,637.5999999999999,0.0,637.5999999999999
Landfill_NG,PL_PA,Existing,0,33.900000000000006,0.0,33.900000000000006
Hydro,DEOK_OH,Existing,0,2.2,0.0,2.2
Coal,DUQ_PA,Existing,0,637.0,0.0,637.0
Bio,DOM_VA,Existing,0,493.20000000000005,0.0,493.20000000000005
Coal,AE_NJ,Existing,0,260.3,0.0,260.3
MSW,ME_PA,Existing,0,96.30000000000001,0.0,96.30000000000001
SolarPV,JC_NJ,Existing,0,519.6999999999998,0.0,519.6999999999998
Bio,AEP_OH,Existing,0,55.0,0.0,55.0
Bio,AEP_TN,Existing,0,50.0,0.0,50.0
Hydro,PL_PA,Existing,0,6.400000000000001,0.0,6.400000000000001
MSW,AE_NJ,Existing,0,49.0,0.0,49.0
Coal,JC_NJ,Existing,0,285.0,0.0,285.0
MSW,BC_MD,Existing,0,132.3,0.0,132.3
Other,DOM_VA,Existing,0,96.0,0.0,96.0
MSW,PS_NJ,Existing,0,69.8,0.0,69.8
Bio,DPL_MD,Existing,0,3.8,0.0,3.8
MSW,ATSI_PA,Existing,0,90.0,0.0,90.0
NGCC,AE_NJ,Existing,0,1416.1,0.0,1416.1
Bio,AEP_VA,Existing,0,78.6,0.0,78.6
NGCT,PL_PA,Existing,0,465.8999999999998,0.0,465.8999999999998
Landfill_NG,PEP_MD,Existing,0,6.7,0.0,6.7
Bio,DOM_NC,Existing,0,142.3,0.0,142.3
Landfill_NG,PN_PA,Existing,0,65.59999999999987,0.0,65.59999999999987
Hydro,PS_NJ,Existing,0,14.7,0.0,14.7
NGCC,CE_IL,Existing,0,270.9,0.0,270.9
Oil,AEP_IN,Existing,0,7.699999999999999,0.0,7.699999999999999
Bio,ME_PA,Existing,0,39.1,0.0,39.1
NGCC,ATSI_PA,Existing,0,1519.3000000000002,0.0,1519.3000000000002
Coal,AEP_TN,Existing,0,131.3,0.0,131.3
NGCT,AEP_TN,Existing,0,63.0,0.0,63.0
NGCT,AEP_WV,Existing,0,987.8999999999999,0.0,987.8999999999999
Other,DOM_NC,Existing,0,54.0,0.0,54.0
Landfill_NG,CE_IL,Existing,0,53.900000000000034,0.0,53.900000000000034
MSW,DOM_VA,Existing,0,213.0,0.0,213.0
MSW,JC_NJ,Existing,0,45.0,0.0,45.0
NGCT,AP_VA,Existing,0,311.4,0.0,311.4
NGCT,PE_PA,Existing,0,219.49999999999994,0.0,219.49999999999994
Bio,AE_NJ,Existing,0,0.8999999999999999,0.0,0.8999999999999999
SolarPV,AE_NJ,Existing,0,314.90000000000003,0.0,314.90000000000003
MSW,PL_PA,Existing,0,85.4,0.0,85.4
Bio,AP_PA,Existing,0,54.0,0.0,54.0
Landfill_NG,DOM_VA,Existing,0,123.29999999999937,0.0,123.29999999999937
NGCC,PEP_MD,Existing,0,1894.6999999999998,0.0,1894.6999999999998
Bio,EKPC_KY,Existing,0,5.0,0.0,5.0
Landfill_NG,AEP_IN,Existing,0,9.6,0.0,9.6
Bio,ATSI_OH,Existing,0,12.799999999999999,0.0,12.799999999999999
Landfill_NG,AE_NJ,Existing,0,24.200000000000003,0.0,24.200000000000003
NGCC,AEP_MI,Existing,0,1176.0,0.0,1176.0
NGCT,AP_WV,Existing,0,344.0,0.0,344.0
NGCC,DEOK_OH,Existing,0,1267.5,0.0,1267.5
NGCC,AEP_OH,Existing,0,4327.700000000001,0.0,4327.700000000001
NGCC,ME_PA,Existing,0,5872.599999999999,0.0,5872.599999999999
Landfill_NG,ME_PA,Existing,0,37.10000000000001,0.0,37.10000000000001
WindOn,AP_PA,Existing,0,578.0,0.0,578.0
NGCC,AP_VA,Existing,0,1472.2,0.0,1472.2
WindOn,AP_WV,Existing,0,486.7,0.0,486.7
NGCC,ATSI_OH,Existing,0,4090.8,0.0,4090.8
WindOn,PN_PA,Existing,0,381.0,0.0,381.0
Landfill_NG,PS_NJ,Existing,0,22.5,0.0,22.5
WindOn,CE_IL,Existing,0,920.5,0.0,920.5
WindOn,AEP_OH,Existing,0,1094.3,0.0,1094.3
Landfill_NG,AEP_KY,Existing,0,7.2,0.0,7.2
Landfill_NG,EKPC_KY,Existing,0,14.6,0.0,14.6
Oil,AEP_VA,Existing,0,10.5,0.0,10.5
Other,JC_NJ,Existing,0,11.2,0.0,11.2
WindOn,PL_PA,Existing,0,292.8,0.0,292.8
WindOn,PS_NJ,Existing,0,9.0,0.0,9.0
Landfill_NG,DPL_DE,Existing,0,14.2,0.0,14.2
Landfill_NG,BC_MD,Existing,0,4.0,0.0,4.0
WindOn,ME_PA,Existing,0,211.60000000000002,0.0,211.60000000000002
Landfill_NG,DPL_MD,Existing,0,8.599999999999998,0.0,8.599999999999998
NGCT,RECO_NJ,Existing,0,8.0,0.0,8.0
Oil,RECO_NJ,Existing,0,8.0,0.0,8.0
NGCC,AEP_VA,Existing,0,559.0,0.0,559.0
Coal,AEP_VA,Existing,0,668.0,0.0,668.0
Landfill_NG,AEP_OH,Existing,0,8.399999999999999,0.0,8.399999999999999
Landfill_NG,ATSI_OH,Existing,0,75.19999999999996,0.0,75.19999999999996
SolarPV,PS_NJ,Existing,0,181.60000000000002,0.0,181.60000000000002
SolarPV,PL_PA,Existing,0,50.3,0.0,50.3
Landfill_NG,DUQ_PA,Existing,0,4.8,0.0,4.8
WindOn,AEP_WV,Existing,0,254.3,0.0,254.3
WindOn,DPL_DE,Existing,0,2.0,0.0,2.0
SolarPV,AEP_OH,Existing,0,230.7,0.0,230.7
SolarPV,ME_PA,Existing,0,27.300000000000004,0.0,27.300000000000004
WindOn,AP_MD,Existing,0,190.0,0.0,190.0
SolarPV,DPL_DE,Existing,0,38.1,0.0,38.1
SolarPV,DOM_NC,Existing,0,1367.5,0.0,1367.5
SolarPV,ATSI_OH,Existing,0,46.49999999999999,0.0,46.49999999999999
WindOn,ATSI_OH,Existing,0,8.0,0.0,8.0
