Technology,Zone,EC_Category,New_Build,EnergyCapacity (MWh),Capacity (MW)
Battery,APS_MD,Existing,0,44.0,11.0
Battery,APS_MD,Candidate,1,24447.53707519253,6111.884268798132
Battery,DPL_MD,Candidate,1,60941.62056477057,15235.405141192643
Battery,BGE,Candidate,1,22937.14531125954,5734.286327814885
Battery,PEPCO,Candidate,1,23385.773244980985,5846.443311245246
