Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,661936.8464610089,1.623990407776674e8,0.0,1.630609776241284e8
BGE,184619.03672121657,9.933600124936752e7,0.0,9.952062028608873e7
PEPCO,181432.6736089968,2.3257814146363458e8,0.0,2.3275957413724357e8
DPL_MD,120462.53366040475,7.056817703066233e7,0.0,7.068863956432274e7
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
