Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW,NI
1,7,15,1,0.5190035233239524,0.6143792650557041,0.5649383642966895,0.5474371057036179,0.0
1,7,15,2,0.4927692445881613,0.5724428034790915,0.5424055384830284,0.5211731685335393,0.0
1,7,15,3,0.4794450958102603,0.5423635411787397,0.5302198281882945,0.5041987897515129,0.0
1,7,15,4,0.4780918015350818,0.5460557132229356,0.5307226917167202,0.5063895970130037,0.0
1,7,15,5,0.4903446171307424,0.5569669082192158,0.5472407982958514,0.5144349169563539,0.0
1,7,15,6,0.5212193568074865,0.5785229474921703,0.5799740710993155,0.5596158104802369,0.0
1,7,15,7,0.5987586573655196,0.6400591482287677,0.6605055699119988,0.663096691129136,0.0
1,7,15,8,0.650810221743959,0.7119003664618522,0.7289277482888672,0.7394247457190679,0.0
1,7,15,9,0.6664662006575522,0.7485373671690593,0.7726541765609723,0.7840525299343376,0.0
1,7,15,10,0.6820353307956835,0.7462963473213383,0.7929066559575361,0.7852782284022145,0.0
1,7,15,11,0.7056367829547975,0.750190578532132,0.8104309261069982,0.8050778936526329,0.0
1,7,15,12,0.7224390467335638,0.7635081145124404,0.8052045502165107,0.8037852452684434,0.0
1,7,15,13,0.7173572036597836,0.7123504073329109,0.7911985787121106,0.7691412385734517,0.0
1,7,15,14,0.7144668050298527,0.7014943193820663,0.7761659275038413,0.7592923908845114,0.0
1,7,15,15,0.6934779543901163,0.6689536090522507,0.7584286387763653,0.7505786017767478,0.0
1,7,15,16,0.6941709600299331,0.7288825209636385,0.7484346626623831,0.7380229174713532,0.0
1,7,15,17,0.6892063033175636,0.6946610457480322,0.7331331191507194,0.7282018797476504,0.0
1,7,15,18,0.6870672060808418,0.704231302638709,0.7482827559715044,0.7333714432856959,0.0
1,7,15,19,0.6923899652783354,0.7202031613075065,0.7439473040927503,0.7317625852967684,0.0
1,7,15,20,0.7135798767818127,0.7442022795947796,0.7308235263304932,0.7212741084073645,0.0
1,7,15,21,0.6952250424280061,0.7191102049063639,0.7007839782092472,0.6952439809450238,0.0
1,7,15,22,0.6698384315349093,0.6893799538937719,0.6699482295013269,0.6741382773271534,0.0
1,7,15,23,0.6356069272010959,0.6586302225406185,0.6329820854867999,0.6279366550791811,0.0
1,7,15,24,0.5988615672158959,0.614774198881327,0.5908323439027797,0.5797636152954808,0.0
1,7,16,1,0.5671861532119473,0.5853745901413496,0.5582640731945803,0.543739410325737,0.0
1,7,16,2,0.5543658463026513,0.5681352694275297,0.544454096242492,0.5236760654049182,0.0
1,7,16,3,0.5450569662533021,0.5505377529183773,0.5341571797737115,0.5039732200334749,0.0
1,7,16,4,0.5473977192083912,0.5399572001947116,0.5334749092051962,0.5024848718939101,0.0
1,7,16,5,0.5641648865641969,0.5379366085287337,0.5434710678865764,0.516127204840994,0.0
1,7,16,6,0.5977016006943143,0.5891861607839896,0.5831396668529125,0.5591039011201235,0.0
1,7,16,7,0.6756590840547432,0.6846407479862967,0.6610341877357173,0.6670323162096048,0.0
1,7,16,8,0.7315843417606388,0.7498874897822353,0.7221155189272245,0.7505168018539977,0.0
1,7,16,9,0.7614555616825581,0.7843936847325931,0.7669223180611817,0.8014749581563023,0.0
1,7,16,10,0.7561577863793756,0.8103858411631261,0.7827847813940495,0.8062160422299472,0.0
1,7,16,11,0.7590535387009445,0.8155842724492326,0.7993343169437073,0.8149277713402858,0.0
1,7,16,12,0.7680768885295967,0.7910708217378926,0.8095290892582764,0.8129728337839578,0.0
1,7,16,13,0.7460268172362696,0.7873602806785515,0.7842702367649113,0.7985384318269603,0.0
1,7,16,14,0.7327068324407539,0.7781757731059249,0.7617282441681799,0.7838743401570748,0.0
1,7,16,15,0.7143508083776945,0.7652899089815299,0.7354968396424081,0.7950580661774174,0.0
1,7,16,16,0.6968525646859791,0.754397083000395,0.7281101585416958,0.752291489635638,0.0
1,7,16,17,0.6857383008453478,0.7557839436438616,0.7198487044279928,0.7332179734775331,0.0
1,7,16,18,0.6864432035776936,0.7634989300048678,0.7305415386227128,0.7349380713274108,0.0
1,7,16,19,0.6820198645753957,0.7742356193572681,0.7313268263723984,0.7253498133127333,0.0
1,7,16,20,0.6606253230804189,0.7468014952378328,0.7193353645760582,0.7184519119351102,0.0
1,7,16,21,0.6426993789122845,0.7140036186959836,0.6908340899566979,0.694135702330372,0.0
1,7,16,22,0.6223559455422486,0.691418914574895,0.6585137589048751,0.6703365520793099,0.0
1,7,16,23,0.602694215574127,0.6639021298873061,0.6210718151976533,0.6290294837131454,0.0
1,7,16,24,0.5724167099423406,0.6228565655452383,0.5787535794105322,0.5807915540105575,0.0
1,7,17,1,0.5425918886812846,0.5906373129804645,0.5489143909763934,0.5451958285052144,0.0
1,7,17,2,0.5256200913339794,0.5677035975716161,0.5277840829724821,0.5201318398352002,0.0
1,7,17,3,0.5156473535215096,0.5618255127251353,0.5190014317642129,0.5056315179606026,0.0
1,7,17,4,0.523430431454009,0.5686312328364515,0.5189075813661126,0.499575125531093,0.0
1,7,17,5,0.5406776464933617,0.5789362503329384,0.534501152395586,0.5057849877687652,0.0
1,7,17,6,0.5784544844008296,0.6109993662689774,0.5807676526051125,0.55039835200206,0.0
1,7,17,7,0.6570353754097804,0.6809485759421009,0.6629784187735718,0.6508994463756921,0.0
1,7,17,8,0.7026738120604396,0.7381680581195639,0.7281690878614332,0.7242590446761941,0.0
1,7,17,9,0.7336562204245715,0.7799667520825871,0.7762785479815617,0.7634546156817303,0.0
1,7,17,10,0.7343771842318314,0.7755490039401538,0.7945169541835452,0.7742078022402472,0.0
1,7,17,11,0.7456187469625234,0.7586403254989483,0.8131857626763515,0.7945131968585039,0.0
1,7,17,12,0.7653453160849285,0.7631039961792448,0.8218418249755552,0.7805742242822196,0.0
1,7,17,13,0.7692552955445983,0.7551410281137777,0.8067502444475486,0.7396194154757306,0.0
1,7,17,14,0.7618493554452694,0.7410519934973686,0.7915408052800671,0.7249141238573452,0.0
1,7,17,15,0.7423309854421227,0.7144261060443244,0.7654294419611678,0.7045943092571134,0.0
1,7,17,16,0.7253996382094161,0.7125340974843634,0.7524549518089119,0.6861295223380971,0.0
1,7,17,17,0.7132657935390458,0.6862664058266515,0.7485555768962145,0.6784889918887601,0.0
1,7,17,18,0.7109292045663419,0.6932558160894203,0.755587372538064,0.6933971932535085,0.0
1,7,17,19,0.7010248750359143,0.7206532021785652,0.7517456174046655,0.6951986610016738,0.0
1,7,17,20,0.6814410710238578,0.7365699538019269,0.7269616915770359,0.693776232779709,0.0
1,7,17,21,0.6613992289494331,0.7173375949448471,0.6948216405922616,0.6842703746620317,0.0
1,7,17,22,0.638363483540075,0.690757630029666,0.6626462320156447,0.6627341315823355,0.0
1,7,17,23,0.6032492149406067,0.6630571551906245,0.6277046375192066,0.6238970001287498,0.0
1,7,17,24,0.5650839369620655,0.6172723849410814,0.5806716196396144,0.5723105446118193,0.0
1,7,18,1,0.5298994755166757,0.5854113281716401,0.5498367439586535,0.5384493369383289,0.0
1,7,18,2,0.5091539204191583,0.5613754718540765,0.5276640417656098,0.5133132483584396,0.0
1,7,18,3,0.4947739046793049,0.5466159681848658,0.514968920240257,0.4986779966525042,0.0
1,7,18,4,0.4930327651876796,0.5418767622773905,0.5129858395027238,0.4997677352903308,0.0
1,7,18,5,0.5062641166438538,0.5524389459859109,0.5232788273501886,0.509441483198146,0.0
1,7,18,6,0.5457701969504183,0.5863848859743385,0.5656961516971645,0.5460599974250032,0.0
1,7,18,7,0.6139571930713711,0.6549656040191405,0.6458020498672999,0.6450614136732329,0.0
1,7,18,8,0.6664156380143038,0.7153537413091597,0.7109909729012432,0.7138993176258529,0.0
1,7,18,9,0.6997161948577196,0.7470586614498663,0.757399339991619,0.7462814471481911,0.0
1,7,18,10,0.71048187388725,0.7454789261473747,0.7699573962843973,0.743421140723574,0.0
1,7,18,11,0.7244454913885869,0.7243912967606242,0.7873690459561392,0.7472537659327926,0.0
1,7,18,12,0.7225699147513834,0.7189540682776293,0.7889933126134935,0.7411942835071456,0.0
1,7,18,13,0.705866396840608,0.720313375398378,0.7688368661824277,0.7166772241534698,0.0
1,7,18,14,0.6899040677943921,0.7092276747582178,0.7459260196954882,0.703076091154886,0.0
1,7,18,15,0.6713416291759537,0.6880390157881685,0.7163452472412348,0.6728456289429638,0.0
1,7,18,16,0.6584410168920868,0.6831161197292407,0.7054262990641151,0.6496459379425775,0.0
1,7,18,17,0.6483433596080621,0.6784136518520559,0.7111131966755133,0.6525773142783572,0.0
1,7,18,18,0.6476212060915492,0.6818394731766456,0.7057488825254924,0.6724861593923007,0.0
1,7,18,19,0.6415263255889209,0.6965255007852754,0.6891770847883782,0.662737221578473,0.0
1,7,18,20,0.6327688757782929,0.7040384279796839,0.6765583531219445,0.6615764130294837,0.0
1,7,18,21,0.6141826429747965,0.6870379044627523,0.6548256565162732,0.6486128492339385,0.0
1,7,18,22,0.590002992118771,0.6628826495467446,0.6282956767704987,0.6286319042101197,0.0
1,7,18,23,0.5632934245364446,0.631692061830105,0.6007398903478139,0.5911564310544613,0.0
1,7,18,24,0.5257146732195852,0.5980675796067194,0.5585595928202263,0.5465770567786791,0.0
1,7,19,1,0.5000538343436939,0.5733061471909183,0.5279324975555245,0.5096268829663964,0.0
1,7,19,2,0.4782649042313793,0.5456332258745947,0.5063364296689482,0.4800720999098751,0.0
1,7,19,3,0.4679304948060268,0.5234067175488386,0.4894036352842575,0.4629566113042358,0.0
1,7,19,4,0.4618320451756397,0.5195584088759081,0.4779517041486241,0.4543283120896099,0.0
1,7,19,5,0.4594966459121887,0.5187318031943717,0.4774986031568655,0.4487642590446761,0.0
1,7,19,6,0.4553053002142071,0.5191175525124221,0.4836979675932393,0.4561431698210377,0.0
1,7,19,7,0.4853151212640898,0.5291378502741576,0.5089018193881827,0.4710215012231234,0.0
1,7,19,8,0.5182105821068917,0.5504367233350784,0.55112009358849,0.5041555298055878,0.0
1,7,19,9,0.5615213526042437,0.5922997088511099,0.5978305280067049,0.5447611690485387,0.0
1,7,19,10,0.5923538576025097,0.6026782024081779,0.6369914617963403,0.5725495043131196,0.0
1,7,19,11,0.6078474412030815,0.6079960322927286,0.641232190250035,0.5896289429638213,0.0
1,7,19,12,0.6029339419885871,0.6263926009606995,0.6308938050006985,0.585959057551178,0.0
1,7,19,13,0.5833989160558997,0.6187235371375563,0.6147689970666295,0.5888451139436075,0.0
1,7,19,14,0.5622863356538612,0.627412081301261,0.5960329654979746,0.5607508690614136,0.0
1,7,19,15,0.5577130932856974,0.6337034689885102,0.5828371630115938,0.5559006051242437,0.0
1,7,19,16,0.5714988492537251,0.6164182257368271,0.5793996193602459,0.5569388438264452,0.0
1,7,19,17,0.5711086246187724,0.5992799346063061,0.5882390173208549,0.5676487704390369,0.0
1,7,19,18,0.572910439282296,0.6273202362255348,0.5919389055734041,0.5876873953907558,0.0
1,7,19,19,0.57732604517445,0.6370925522828094,0.6035741723704429,0.5784225569718038,0.0
1,7,19,20,0.5861905688178394,0.6427869469778378,0.6025693183405504,0.5579678125402343,0.0
1,7,19,21,0.5758597285202456,0.6289091560355992,0.5874026574940635,0.5381187073516158,0.0
1,7,19,22,0.5631595822454929,0.606067285702477,0.5685352353680682,0.5292514484356895,0.0
1,7,19,23,0.5477897284072231,0.6101176535420053,0.554258188992876,0.519375820780224,0.0
1,7,19,24,0.5266271802165627,0.5742705204860441,0.5233298994272944,0.4821259173426033,0.0
1,7,20,1,0.4961408806108919,0.5232046583822408,0.5014601375890487,0.4538339127076091,0.0
1,7,20,2,0.4718416639749494,0.4964134497928893,0.4722992911021092,0.4290459636925454,0.0
1,7,20,3,0.46602696000138,0.4901220621056402,0.4544668424360945,0.4128203939745075,0.0
1,7,20,4,0.4561214407616994,0.4804232221089466,0.4455370861852213,0.4014893781382773,0.0
1,7,20,5,0.4577882234250182,0.4745267682473204,0.4414521930437212,0.4001946697566628,0.0
1,7,20,6,0.449163426196089,0.4726163906722141,0.443358447408856,0.4022330372087034,0.0
1,7,20,7,0.4540400444237434,0.473773638626365,0.4559688853191787,0.4139152826058967,0.0
1,7,20,8,0.4872930128970431,0.4939795552861433,0.4878081785165526,0.4316446504441869,0.0
1,7,20,9,0.5290666790396428,0.5248119472074505,0.5369949539041766,0.4681148448564439,0.0
1,7,20,10,0.5497699994586822,0.5694945765482784,0.5747638462075709,0.4927874340157075,0.0
1,7,20,11,0.5589676416928848,0.5810670560897877,0.5899104274339991,0.505628427964465,0.0
1,7,20,12,0.5757193428284028,0.6002443079014319,0.5940717104344182,0.5020110724861594,0.0
1,7,20,13,0.5577071447394328,0.5843367407856428,0.5917717209107418,0.5015084331144587,0.0
1,7,20,14,0.5332372048256986,0.5613387338237861,0.57433169786283,0.4960597399253251,0.0
1,7,20,15,0.5346898398234947,0.5555800475757492,0.564727964799553,0.5001364748294065,0.0
1,7,20,16,0.5390406065613654,0.5701099385556443,0.5586551892722448,0.5084980043774946,0.0
1,7,20,17,0.5568255701830308,0.5618438817402805,0.554106718815477,0.5067367065791167,0.0
1,7,20,18,0.5814168604405612,0.5718825485171612,0.5770865344321833,0.5280854898931376,0.0
1,7,20,19,0.6063252082139906,0.6193297146373498,0.593069475485403,0.5522358697051629,0.0
1,7,20,20,0.6293782044075159,0.6276049559602862,0.6025985647436792,0.5564403244495945,0.0
1,7,20,21,0.6285406490934713,0.6196970949402548,0.6001820261209667,0.5485649542938071,0.0
1,7,20,22,0.6295090724253353,0.6254557811882916,0.5886344985333147,0.5474134157332303,0.0
1,7,20,23,0.6259952661468826,0.6072337181642006,0.5722281394049448,0.5376201879747651,0.0
1,7,20,24,0.5939944666622647,0.5503448782593521,0.5395363353820366,0.5110668211664735,0.0
1,7,21,1,0.5633927652590621,0.5285224882667916,0.5176552241933231,0.4908736964078795,0.0
1,7,21,2,0.5484982002673275,0.5284214586834927,0.501396843134516,0.4687709540363075,0.0
1,7,21,3,0.5379109776257328,0.5168306101268381,0.486349786981422,0.460503154371057,0.0
1,7,21,4,0.5385099962345701,0.510144288613966,0.4872743225310798,0.4617484228144715,0.0
1,7,21,5,0.5591217090411359,0.5121740647875164,0.5050233971225031,0.4830673361658297,0.0
1,7,21,6,0.5819183228906604,0.5555984165908945,0.547482190250035,0.5340419724475345,0.0
1,7,21,7,0.6575261304766034,0.6527980602320007,0.6356369604693394,0.6470812411484486,0.0
1,7,21,8,0.7029272201313082,0.7172916724069839,0.7107517635144573,0.7468386764516545,0.0
1,7,21,9,0.741281661881061,0.7473158276618999,0.7664783838524933,0.8083059096176131,0.0
1,7,21,10,0.7630997398700717,0.7731794009864161,0.7935570610420449,0.8270086262392172,0.0
1,7,21,11,0.7800810548914002,0.7626080327703231,0.8125680961028077,0.8483265095918631,0.0
