Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
50Hertz,B760,PHS,318.4,39.8,0.84,0.84,0.5,0.0,0.95,1.0,1.0
50Hertz,B761,BES,647.888,323.944,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B762,BES,5.316,2.658,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B763,BES,82.0,41.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B764,BES,17.02,8.51,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B768,BES,63.8,31.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B769,BES,0.56,0.28,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B770,BES,2.0,1.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B771,BES,192.2,96.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B83,BES,1.4,0.7,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B85,BES,4.24,2.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
