Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,1.8373903581694884e6,2.2421465313905594e8,0.0,2.2605204349722543e8
BGE,582255.59262,2.1823207417834035e8,0.0,2.1881432977096033e8
PEPCO,582255.59262,4.130288310504251e8,0.0,4.136110866430451e8
DPL_MD,589298.6022028078,1.369626047286927e8,0.0,1.375519033308955e8
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
