Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Previous,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11,CapRes_12,CapRes_13,CapRes_14,CapRes_15,CapRes_16,CapRes_17,CapRes_18,CapRes_19,CapRes_20,CapRes_21,CapRes_22,CapRes_23,CapRes_24,CapRes_25,CapRes_26,CapRes_27,CapRes_28,CapRes_29,CapRes_30,CapRes_31,CapRes_32,CapRes_33,CapRes_34,CapRes_35,CapRes_36,CapRes_37,CapRes_38,CapRes_39,CapRes_40,CapRes_41,CapRes_42,CapRes_43,CapRes_44,CapRes_45,CapRes_46,CapRes_47,CapRes_48,CapRes_49,CapRes_50,CapRes_51,CapRes_52,CapRes_53,CapRes_54,CapRes_55,CapRes_56,CapRes_57,CapRes_58,CapRes_59,CapRes_60,CapRes_61,CapRes_62,CapRes_63,CapRes_64,region,cluster,VRE_Inv_Cost_per_Mwyr_withoutInterconnect,CCS_Rate,MGA,Production_Tax_Credit_Dollars_MWh,Investment_Tax_Credit_Percentage,Captured_CO2_Incentive_PerMetricTon,Transmission Region,interconnect_annuity,Regional Cost Multiplier_InvCost,OFFSHORE_WIND,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,ESR_17,ESR_18,ESR_19,ESR_20,ESR_21,ESR_22,ESR_23,ESR_24
ERC_REST_nuclear_1,1,1,0,0,0,0,0,0,0,-1,5120,5120,0,0,0,-1,-1,0,-1,0,0,0,0,193275,0,0,2.84,0,10.45,west_south_central_uranium,1280,1000,0,24,24,0.25,0.25,0,0.5,0,1,1,0,0,0.041666667,0.083333333,0,0,Nuclear,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_onshore_wind_turbine_1,1,0,0,0,0,0,1,0,1,0,12327.8,12327.8,0,0,0,-1,-1,0,-1,0,0,0,0,43000,0,0,0,0,10.34,None,195.68,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Onshore Wind Turbine,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ERC_REST_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,19.6,19.6,0,0,0,-1,-1,0,-1,0,0,0,0,47048,0,0,0,0,10.34,None,1.23,0,0,0,0,1,1,0,0.0069,0,1,1,0,0,0,0,0,0,Small Hydroelectric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0.162,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_solar_photovoltaic_1,1,0,0,0,0,0,1,0,1,0,11977.4,11977.4,0,0,0,-1,-1,0,-1,0,0,0,0,22623,0,0,0,0,10.34,None,99.81,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Solar Photovoltaic,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ERC_WEST_batteries_1,2,0,0,1,0,0,0,0,0,0,1737.5,1737.5,3224.5,0,0,-1,-1,0,-1,0,0,0,0,6235,0,0,0,0,10.34,None,37.77,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,0,0,Batteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,1,,0,1,0,0.162,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_WEST_natural_gas_fired_combined_cycle_1,2,1,0,0,0,0,0,0,0,0,1994.6,1994.6,0,0,0,-1,-1,0,-1,0,0,0,0,9787,0,0,3.61,0,6.98,west_south_central_naturalgas,249.32,90.959,2,6,6,0.64,0.64,0,0.388,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_WEST_natural_gas_fired_combined_cycle_2,2,1,0,0,0,0,0,0,0,0,318,318,0,0,0,-1,-1,0,-1,0,0,0,0,16492,0,0,4.55,0,9.27,west_south_central_naturalgas,159,90.959,2,6,6,0.64,0.64,0,0.497,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,2,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_WEST_natural_gas_fired_combined_cycle_3,2,1,0,0,0,0,0,0,0,0,75.1,75.1,0,0,0,-1,-1,0,-1,0,0,0,0,16492,0,0,4.55,0,16.15,west_south_central_naturalgas,75.1,90.959,2,6,6,0.64,0.64,0,0.107,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,3,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_WEST_natural_gas_fired_combined_cycle_4,2,1,0,0,0,0,0,0,0,0,1202.6,1202.6,0,0,0,-1,-1,0,-1,0,0,0,0,12332,0,0,3.56,0,6.95,west_south_central_naturalgas,601.3,90.959,2,6,6,0.64,0.64,0,0.386,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,4,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_WEST_natural_gas_fired_combustion_turbine_1,2,1,0,0,0,0,0,0,0,0,872,872,0,0,0,-1,-1,0,-1,0,0,0,0,9701,0,0,5.28,0,14.89,west_south_central_naturalgas,79.27,117.941,3.5,1,1,3.78,3.78,0,0.442,0,1,1,0,0,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_WEST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
