From_zone,To_zone,X,Capacity (MW),Cost (M$)
APS_MD,BGE,0.0139,2000.0,3
APS_MD,PEPCO,0.2112,2200.0,55
APS_MD,DPL_MD,0.0845,2200.0,22
BGE,PEPCO,0.192,2200.0,50
BGE,DPL_MD,0.1267,2200.0,33
PEPCO,DPL_MD,0.119,2200.0,31
APS_MD,BGE,0.0839,6000.0,50
APS_MD,PEPCO,0.03025,4000.0,16
APS_MD,DPL_MD,0.0307,4400.0,16
BGE,PEPCO,0.0839,6000.0,50
BGE,DPL_MD,0.0839,6000.0,50
PEPCO,DPL_MD,0.0839,6000.0,50
