Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,3,10,0.657993876,0.739300434,0.651594135,0.642019858,0.642019858,0.739300434,5348.795181
1,3,11,0.673900203,0.751185522,0.668504948,0.66844274,0.66844274,0.751185522,5467.620482
1,3,12,0.689637513,0.753087385,0.680822368,0.686315698,0.686315698,0.753087385,5923.795181
1,3,13,0.694711863,0.751152754,0.68871548,0.695148965,0.695148965,0.751152754,6835.843373
1,3,14,0.680274391,0.736901241,0.676983717,0.698949395,0.698949395,0.736901241,7584.487952
1,3,15,0.669911889,0.724349502,0.671121598,0.700755859,0.700755859,0.724349502,7674.096386
1,3,16,0.673974436,0.71043803,0.662411179,0.701756529,0.701756529,0.71043803,7654.819277
1,3,17,0.680939417,0.732754896,0.66495774,0.718488252,0.718488252,0.732754896,7889.608434
1,3,18,0.737384869,0.778615351,0.708265117,0.755387691,0.755387691,0.778615351,8673.78012
1,3,19,0.74130708,0.787486809,0.703335932,0.75441651,0.75441651,0.787486809,9330.873494
1,3,20,0.728774501,0.786642563,0.68968029,0.741334085,0.741334085,0.786642563,9371.385542
1,3,21,0.711975849,0.777513899,0.672379039,0.727651553,0.727651553,0.777513899,8982.831325
1,3,22,0.688033077,0.754360415,0.644442896,0.702303063,0.702303063,0.754360415,8528.900602
1,3,23,0.655316288,0.722036152,0.627962912,0.673100571,0.673100571,0.722036152,8689.909639
1,3,24,0.630717999,0.702720775,0.601184422,0.64817255,0.64817255,0.702720775,8606.777108
1,4,1,0.615239737,0.688662651,0.581657355,0.636316878,0.636316878,0.688662651,8402.409639
1,4,2,0.610425354,0.682662682,0.568559455,0.630318268,0.630318268,0.682662682,8214.156627
1,4,3,0.608997297,0.682849086,0.554573168,0.630600382,0.630600382,0.682849086,7745.331325
1,4,4,0.615857217,0.691165629,0.53166976,0.638734753,0.638734753,0.691165629,7087.801205
1,4,5,0.636202162,0.707813755,0.575308376,0.654323029,0.654323029,0.707813755,7341.26506
1,4,6,0.673372447,0.742867368,0.610676906,0.685238603,0.685238603,0.742867368,7941.566265
1,4,7,0.724460575,0.784916576,0.665334121,0.733832013,0.733832013,0.784916576,8441.114458
1,4,8,0.753953461,0.814365805,0.718813883,0.759470972,0.759470972,0.814365805,8879.518072
1,4,9,0.752699789,0.804227547,0.731643308,0.74837637,0.74837637,0.804227547,8880.421687
1,4,10,0.715572296,0.771572483,0.74250787,0.709286124,0.709286124,0.771572483,8840.662651
1,4,11,0.675436542,0.740691968,0.693538344,0.675392871,0.675392871,0.740691968,8206.325301
1,4,12,0.653423664,0.716669421,0.674462103,0.647121257,0.647121257,0.716669421,7802.560241
1,4,13,0.633107093,0.700917003,0.657266777,0.62724524,0.62724524,0.700917003,7672.590361
1,4,14,0.619521914,0.684171645,0.644235401,0.601603578,0.601603578,0.684171645,7265.813253
1,4,15,0.612425647,0.672297193,0.633977484,0.588630754,0.588630754,0.672297193,7714.307229
1,4,16,0.619979887,0.680712042,0.631275302,0.596988998,0.596988998,0.680712042,8081.325301
1,4,17,0.655178099,0.700699334,0.658201691,0.642978751,0.642978751,0.700699334,8670.783133
1,4,18,0.716016464,0.746740284,0.70324248,0.714994019,0.714994019,0.746740284,9150
1,4,19,0.727433407,0.759303412,0.702720971,0.733781882,0.733781882,0.759303412,9175.451807
1,4,20,0.724050916,0.766028587,0.688184467,0.736708938,0.736708938,0.766028587,8838.554217
1,4,21,0.710672331,0.762032009,0.665669122,0.727979129,0.727979129,0.762032009,8941.716867
1,4,22,0.686970201,0.739768648,0.644719093,0.703906051,0.703906051,0.739768648,8648.795181
1,4,23,0.652208642,0.715750183,0.617986736,0.674554147,0.674554147,0.715750183,8297.289157
1,4,24,0.623701332,0.685995079,0.592921463,0.650144153,0.650144153,0.685995079,8162.951807
1,5,1,0.605636892,0.672947299,0.579119506,0.635523616,0.635523616,0.672947299,8297.289157
1,5,2,0.598940468,0.658512176,0.564875039,0.625324259,0.625324259,0.658512176,8386.295181
