Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10,Load_H2_tonne_per_hr_z11,Load_H2_tonne_per_hr_z12,Load_H2_tonne_per_hr_z13,Load_H2_tonne_per_hr_z14,Load_H2_tonne_per_hr_z15,Load_H2_tonne_per_hr_z16,Load_H2_tonne_per_hr_z17,Load_H2_tonne_per_hr_z18,Load_H2_tonne_per_hr_z19,Load_H2_tonne_per_hr_z20,Load_H2_tonne_per_hr_z21,Load_H2_tonne_per_hr_z22,Load_H2_tonne_per_hr_z23,Load_H2_tonne_per_hr_z24,Load_H2_tonne_per_hr_z25,Load_H2_tonne_per_hr_z26,Load_H2_tonne_per_hr_z27,Load_H2_tonne_per_hr_z28,Load_H2_tonne_per_hr_z29,Load_H2_tonne_per_hr_z30,Load_H2_tonne_per_hr_z31,Load_H2_tonne_per_hr_z32,Load_H2_tonne_per_hr_z33,Load_H2_tonne_per_hr_z34,Load_H2_tonne_per_hr_z35,Load_H2_tonne_per_hr_z36,Load_H2_tonne_per_hr_z37,Load_H2_tonne_per_hr_z38,Load_H2_tonne_per_hr_z39,Load_H2_tonne_per_hr_z40,Load_H2_tonne_per_hr_z41,Load_H2_tonne_per_hr_z42,Load_H2_tonne_per_hr_z43,Load_H2_tonne_per_hr_z44,Load_H2_tonne_per_hr_z45,Load_H2_tonne_per_hr_z46,Load_H2_tonne_per_hr_z47,Load_H2_tonne_per_hr_z48,Load_H2_tonne_per_hr_z49,Load_H2_tonne_per_hr_z50,Load_H2_tonne_per_hr_z51,Load_H2_tonne_per_hr_z52,Load_H2_tonne_per_hr_z53,Load_H2_tonne_per_hr_z54,Load_H2_tonne_per_hr_z55,Load_H2_tonne_per_hr_z56,Load_H2_tonne_per_hr_z57,Load_H2_tonne_per_hr_z58,Load_H2_tonne_per_hr_z59,Load_H2_tonne_per_hr_z60,Load_H2_tonne_per_hr_z61,Load_H2_tonne_per_hr_z62,Load_H2_tonne_per_hr_z63,Load_H2_tonne_per_hr_z64
50000000,1,1,0,20,24,538.2857142857143,1,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,349.7142857142857,2,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,699.4285714285714,3,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,3.428571428571429,4,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,397.7142857142857,5,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,384.0,6,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,836.5714285714286,7,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,510.8571428571429,8,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,459.42857142857144,9,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,469.7142857142857,10,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,445.71428571428567,11,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,3.428571428571429,12,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
,,,,,,377.1428571428571,13,3.423717943,381.036029,16.92452871,114.80249,174.8950275,41.97849821,39.27871395,40.32433753,20.64443711,148.4080126,211.3587059,68.55789822,8.71313365,62.7676806,61.61717175,31.37057797,51.72678677,36.09759361,12.56964727,7.941731686,23.31098222,3.31493926,2.483030664,4.906888619,0.553775508,3.007453391,5.629588158,20.66758283,6.858592642,25.38188378,67.15273476,79.23082189,35.94250203,59.66077356,6.887058908,14.76202634,150.0727731,14.20359628,28.90298697,133.8995873,4.59560217,172.2054491,104.2493922,72.68280301,28.31157804,13.75723319,10.78413442,220.3998497,8.291003599,71.82402838,51.92186977,17.08065827,37.80416642,35.70922521,21.32169659,0.930515011,9.835999365,30.68524246,3.114354672,108.505471,54.26788068,8.407821995,37.61371722,35.05016577
