Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64
,,,,,,,377.1428571,13,38128,1695,564,28357,1689,2826,9177,2057,3126,9290,4265,6176,8274,2604,3880,3081,2935,4661,2959,8015,1337,1666,1031,1825,5768,1766,1111,841,190,3987,14951,6058,16317,5395,10361,7815,11687,1940,20200,3753,704,16973,23253,2817,7452,10582,1414,1555,7448,5648,1875,5916,1788,1051,2305,1002,2704,3728,17949,6618,2422,8395,3825,111
,,,,,,,421.7142857,14,37560,1669,572,28349,1676,2806,9041,2033,3093,9225,4236,6151,8224,2586,3934,3114,2942,4725,2921,7971,1327,1648,1020,1806,5683,1741,1099,832,188,3876,14619,5921,15938,5242,10289,7647,11263,1886,19598,3667,699,16719,22956,2833,7476,10557,1395,1545,7668,5821,1932,6097,1808,1082,2323,1038,2802,3788,18146,6662,2440,8376,3786,114
,,,,,,,723.4285714,15,36780,1634,571,28169,1666,2796,8918,2022,3076,9126,4215,6080,8100,2547,3933,3102,2916,4723,2853,7820,1298,1621,1003,1775,5576,1707,1081,818,185,3770,14283,5771,15617,5102,10260,7473,10916,1835,19434,3651,695,16478,22665,2826,7457,10399,1369,1532,7817,5923,1966,6204,1805,1103,2323,1058,2853,3767,18156,6698,2443,8336,3730,117
,,,,,,,390.8571429,16,36294,1613,578,27989,1675,2774,8875,2008,3057,9102,4204,6062,8024,2526,3947,3103,2931,4741,2779,7647,1263,1594,987,1746,5490,1681,1063,805,182,3702,14081,5654,15397,5001,10179,7345,10669,1802,19505,3660,693,16484,22578,2822,7459,10287,1352,1550,7847,5943,1973,6225,1793,1108,2304,1067,2876,3754,18039,6688,2464,8241,3683,117
,,,,,,,713.1428571,17,36173,1607,609,27763,1701,2790,8901,2042,3112,9170,4260,6108,8088,2526,3977,3123,2950,4777,2730,7556,1238,1596,988,1747,5497,1684,1064,805,182,3696,14144,5647,15402,4987,10229,7330,10644,1798,19782,3725,703,16671,22756,2879,7529,10240,1344,1584,7818,5916,1964,6197,1789,1103,2270,1076,2898,3706,17742,6758,2498,8178,3657,116
,,,,,,,3.428571429,18,36451,1620,653,27991,1742,2816,9037,2091,3190,9294,4353,6222,8263,2549,4029,3168,2995,4839,2736,7594,1260,1612,998,1765,5606,1717,1075,813,184,3742,14439,5695,15637,5041,10315,7392,10782,1821,20865,3895,718,16922,23081,2975,7663,10385,1354,1625,7771,5879,1952,6158,1780,1096,2262,1073,2889,3707,17553,6804,2543,8234,3675,116
,,,,,,,617.1428571,19,36683,1630,706,28558,1780,2888,9243,2157,3287,9748,4436,6500,8533,2569,4076,3201,3057,4896,2818,7821,1299,1651,1022,1810,5743,1759,1101,833,188,3825,14988,5877,15964,5151,10572,7475,11090,1861,22451,4118,732,17618,24308,3001,7775,10470,1367,1667,7750,5865,1947,6143,1800,1093,2257,1073,2890,3690,17548,6945,2596,8381,3716,115
,,,,,,,414.8571429,20,38077,1692,696,28085,1821,3022,9713,2255,3440,10419,4633,6962,9019,2672,4260,3355,3240,5116,2955,8206,1382,1771,1096,1940,6172,1890,1181,894,202,4136,16379,6403,16796,5554,11058,7902,12094,2013,22538,4116,764,18682,25751,3075,8065,10969,1411,1691,7811,5914,1963,6195,1815,1103,2303,1076,2897,3708,17718,7008,2593,8633,3800,116
,,,,,,,,21,39915,1773,628,26149,1794,3151,9724,2227,3396,10248,4600,6854,9024,2786,4386,3448,3263,5269,3222,8840,1481,1804,1116,1976,6262,1918,1203,910,206,4261,16758,6614,17359,5764,11539,8356,12475,2073,21585,3948,759,18347,25101,3083,8082,11409,1494,1668,7951,6030,2001,6316,1860,1122,2363,1083,2920,3877,18170,7209,2651,9063,4082,119
,,,,,,,,22,39146,1740,588,23674,1701,3105,9444,2118,3225,9782,4374,6530,8646,2726,4268,3342,3154,5127,3201,8697,1426,1742,1079,1909,6034,1848,1161,879,199,4142,16219,6391,16855,5600,11382,8165,12029,2016,20246,3718,721,17501,23668,2960,7754,11074,1486,1577,8335,6322,2098,6622,1905,1177,2465,1133,3053,4141,19083,7609,2704,9521,4146,125
,,,,,,,,23,37293,1657,547,21062,1602,2994,9037,1986,3020,9221,4073,6137,8096,2596,4060,3168,2985,4876,3014,8156,1304,1644,1017,1801,5635,1725,1096,830,187,3903,15256,5991,15971,5280,10990,7740,11275,1900,19057,3475,672,16497,21848,2768,7264,10504,1424,1476,9201,6982,2318,7314,1908,1298,2519,1213,3272,4096,19595,7593,2654,9368,4011,137
,,,,,,,,24,34584,1536,496,19099,1513,2805,8686,1871,2841,8712,3775,5773,7569,2410,3774,2948,2777,4533,2744,7453,1203,1522,942,1667,5156,1578,1015,768,174,3642,14149,5582,15183,4954,10320,7340,10486,1772,18378,3288,622,15392,20125,2575,6739,9785,1326,1407,9307,7058,2343,7393,1845,1314,2429,1202,3239,3938,19180,7217,2577,8964,3766,139
,,,,,,,,25,32196,1431,438,17724,1451,2654,8395,1788,2708,8429,3570,5557,7213,2243,3509,2740,2595,4215,2483,6744,1063,1424,881,1559,4659,1427,949,718,162,3472,13348,5222,14546,4711,9800,6993,9930,1689,18089,3141,589,14417,18997,2444,6383,9179,1233,1344,8944,6778,2250,7099,1765,1262,2258,1163,3137,3668,18207,6754,2474,8406,3505,133
