PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
55068,Maine Independence Station,Natural Gas Fired Combined Cycle,ME,ME,44.8242,-68.7094,491.6,0.0,Maine,182,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
55212,ANP Blackstone Energy Project,Natural Gas Fired Combined Cycle,MA,NEMA/Boston,42.059876,-71.515811,487.8,0.0,SENE,220,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
3236,Manchester Street,Natural Gas Fired Combined Cycle,RI,RI,41.8167,-71.4042,471.0,0.0,SENE,218,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
2364,Merrimack,Conventional Steam Coal,NH,NH,43.1411,-71.4692,438.5,0.0,NNE,25,Coal,1,0,0,0,48.0,0.95,0.9,0.92,0.08,0.08,0.25,0.25,1,8,8,9.0,0.04,0.04,0.06
6081,Stony Brook,Petroleum Liquids,MA,WCMA,42.1978,-72.5106,435.1,0.0,ROP,200,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
562,Middletown,Petroleum Liquids,CT,CT,41.554944,-72.579075,417.2,0.0,ROP,19,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
546,Montville Station,Petroleum Liquids,CT,CT,41.4281,-72.1019,410.0,0.0,ROP,136,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
8002,Newington,Natural Gas Steam Turbine,NH,NH,43.1,-70.790833,400.2,0.0,NNE,151,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
562,Middletown,Natural Gas Steam Turbine,CT,CT,41.554944,-72.579075,353.0,0.0,ROP,19,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
55079,Millennium Power,Natural Gas Fired Combined Cycle,MA,WCMA,42.112291,-72.015113,330.1,0.0,ROP,24,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
55517,Wallingford Energy,Natural Gas Fired Combustion Turbine,CT,CT,41.448694,-72.835364,327.59,0.0,ROP,152,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
55048,Tiverton Power Plant,Natural Gas Fired Combined Cycle,RI,RI,41.6422,-71.1706,273.0,0.0,SENE,38,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
10307,Bellingham Cogeneration Facility,Natural Gas Fired Combined Cycle,MA,NEMA/Boston,42.0925,-71.4833,264.0,0.0,SENE,120,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
55100,Rumford Power LLC,Natural Gas Fired Combined Cycle,ME,ME,44.5303,-70.5219,253.8,0.0,Maine,8,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
