Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,4.0415536625500184e8,1.4220999934619028e7,4.1837636618962085e8
BGE,2.2838731572844777e8,0.0,2.2838731572844777e8
PEPCO,7.818455859865797e8,0.0,7.818455859865797e8
DPL_MD,1.9633335720315418e8,0.0,1.9633335720315418e8
APS,0.0,4.0789813980992086e7,4.0789813980992086e7
DPL,0.0,0.0,0.0
