From_zone,To_zone,New_Build,Capacity (MW)
APS_MD,BGE,1,1345.7007850441437
APS_MD,PEPCO,0,0.0
APS_MD,DPL_MD,0,0.0
BGE,PEPCO,0,0.0
BGE,DPL_MD,0,0.0
PEPCO,DPL_MD,0,0.0
APS_MD,BGE,0,0.0
APS_MD,PEPCO,0,0.0
APS_MD,DPL_MD,1,71.28347292509184
BGE,PEPCO,0,0.0
BGE,DPL_MD,0,0.0
PEPCO,DPL_MD,0,0.0
