Technology,Zone,EC_Category,New_Build,EnergyCapacity (MWh),Capacity (MW)
Battery,APS_MD,Existing,0,44.0,11.0
Battery,APS_MD,Candidate,1,4077.4112559462874,1019.3528139865718
Battery,DPL_MD,Candidate,1,1598.6956715434012,399.6739178858503
Battery,BGE,Candidate,1,1358.9229981701833,339.7307495425458
Battery,PEPCO,Candidate,1,3042.535000736052,760.633750184013
