Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,1.0097483489133995e9,1.6329588749938527e8,0.0,1.1730442364127848e9
BGE,4.9200443615870416e8,3.4840573511941046e8,0.0,8.404101712781146e8
PEPCO,5.950404832480294e8,8.976446799249688e8,0.0,1.4926851631729982e9
DPL_MD,7.028868742005484e6,3.1830946864084476e8,0.0,3.253383373828502e8
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
