Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,3.162393811802514e9,1.6399581617601755e8,0.0,3.326389627978532e9
BGE,1.5784955980610352e9,1.0060937559701036e8,0.0,1.6791049736580455e9
PEPCO,1.1985267411460638e9,2.3468911921696955e8,0.0,1.4332158603630333e9
DPL_MD,1.0051774941034174e9,7.61013349980146e7,0.0,1.081278829101432e9
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
