Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,2.2512042659380513e8,5.424517707550456e7,0.0,2.793656036693097e8
BGE,7.775574167714429e7,3.357940540028063e7,0.0,1.1133514707742491e8
PEPCO,1.129681315258906e8,4.877970136701367e8,0.0,6.007651451960273e8
DPL_MD,1.1610653935589416e7,1.1173624633530946e8,0.0,1.2334690027089888e8
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
