Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,6,15,1,0.0012180560018031066,0.0012180560018031066,0.0012180560018031066,0.0012180560018031066
1,6,15,2,0.0010598046314901045,0.0010598046314901045,0.0010598046314901045,0.0010598046314901045
1,6,15,3,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858
1,6,15,4,0.0010789866157704683,0.0010789866157704683,0.0010789866157704683,0.0010789866157704683
1,6,15,5,0.0012708064585741073,0.0012708064585741073,0.0012708064585741073,0.0012708064585741073
1,6,15,6,0.016285504654028934,0.016285504654028934,0.016285504654028934,0.016285504654028934
1,6,15,7,0.07780212824115591,0.07780212824115591,0.07780212824115591,0.07780212824115591
1,6,15,8,0.19052026336864417,0.19052026336864417,0.19052026336864417,0.19052026336864417
1,6,15,9,0.31200456531225873,0.31200456531225873,0.31200456531225873,0.31200456531225873
1,6,15,10,0.43662512168571277,0.43662512168571277,0.43662512168571277,0.43662512168571277
1,6,15,11,0.5288089426410715,0.5288089426410715,0.5288089426410715,0.5288089426410715
1,6,15,12,0.5722657280282358,0.5722657280282358,0.5722657280282358,0.5722657280282358
1,6,15,13,0.564679253245352,0.564679253245352,0.564679253245352,0.564679253245352
1,6,15,14,0.5303195239031502,0.5303195239031502,0.5303195239031502,0.5303195239031502
1,6,15,15,0.5323528142368688,0.5323528142368688,0.5323528142368688,0.5323528142368688
1,6,15,16,0.4672683415735941,0.4672683415735941,0.4672683415735941,0.4672683415735941
1,6,15,17,0.38611416157944456,0.38611416157944456,0.38611416157944456,0.38611416157944456
1,6,15,18,0.28731255604736033,0.28731255604736033,0.28731255604736033,0.28731255604736033
1,6,15,19,0.17193292060097157,0.17193292060097157,0.17193292060097157,0.17193292060097157
1,6,15,20,0.08424247946328808,0.08424247946328808,0.08424247946328808,0.08424247946328808
1,6,15,21,0.029084683665101738,0.029084683665101738,0.029084683665101738,0.029084683665101738
1,6,15,22,0.00449817531374533,0.00449817531374533,0.00449817531374533,0.00449817531374533
1,6,15,23,0.0013858983642562905,0.0013858983642562905,0.0013858983642562905,0.0013858983642562905
1,6,15,24,0.0011077595921910142,0.0011077595921910142,0.0011077595921910142,0.0011077595921910142
1,6,16,1,0.0010646001275601954,0.0010646001275601954,0.0010646001275601954,0.0010646001275601954
1,6,16,2,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858
1,6,16,3,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858
1,6,16,4,0.0010262361589994677,0.0010262361589994677,0.0010262361589994677,0.0010262361589994677
1,6,16,5,0.0011988740175227425,0.0011988740175227425,0.0011988740175227425,0.0011988740175227425
1,6,16,6,0.009207352454574663,0.009207352454574663,0.009207352454574663,0.009207352454574663
1,6,16,7,0.05525850121565826,0.05525850121565826,0.05525850121565826,0.05525850121565826
1,6,16,8,0.15363330759750443,0.15363330759750443,0.15363330759750443,0.15363330759750443
1,6,16,9,0.30637465292597194,0.30637465292597194,0.30637465292597194,0.30637465292597194
1,6,16,10,0.4760776678543512,0.4760776678543512,0.4760776678543512,0.4760776678543512
1,6,16,11,0.6097377343199267,0.6097377343199267,0.6097377343199267,0.6097377343199267
1,6,16,12,0.6775796172235037,0.6775796172235037,0.6775796172235037,0.6775796172235037
1,6,16,13,0.6813584681267354,0.6813584681267354,0.6813584681267354,0.6813584681267354
1,6,16,14,0.6670151393810932,0.6670151393810932,0.6670151393810932,0.6670151393810932
1,6,16,15,0.6499191958912189,0.6499191958912189,0.6499191958912189,0.6499191958912189
1,6,16,16,0.6133103788921445,0.6133103788921445,0.6133103788921445,0.6133103788921445
1,6,16,17,0.5513237966901486,0.5513237966901486,0.5513237966901486,0.5513237966901486
1,6,16,18,0.44634079672371707,0.44634079672371707,0.44634079672371707,0.44634079672371707
1,6,16,19,0.30036589635014793,0.30036589635014793,0.30036589635014793,0.30036589635014793
1,6,16,20,0.15233372816250976,0.15233372816250976,0.15233372816250976,0.15233372816250976
1,6,16,21,0.052098269305468306,0.052098269305468306,0.052098269305468306,0.052098269305468306
1,6,16,22,0.005721026811618528,0.005721026811618528,0.005721026811618528,0.005721026811618528
1,6,16,23,0.0016160821756206571,0.0016160821756206571,0.0016160821756206571,0.0016160821756206571
1,6,16,24,0.001146123560751742,0.001146123560751742,0.001146123560751742,0.001146123560751742
1,6,17,1,0.0010741911197003774,0.0010741911197003774,0.0010741911197003774,0.0010741911197003774
1,6,17,2,0.0010118496707891948,0.0010118496707891948,0.0010118496707891948,0.0010118496707891948
