Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW,NI
1,10,20,10,0.8993238287461117,0.8463891108478219,0.8714232085486799,0.8706867516415605,0.0
1,10,20,11,0.8680975299851346,0.8521845351261492,0.8777792813242072,0.8973039783700271,0.0
1,10,20,12,0.8675633505305804,0.8794533381092773,0.8806655084509011,0.9099358825801468,0.0
1,10,20,13,0.8497539978692307,0.8605975440626751,0.8725454847045677,0.8942634221707223,0.0
1,10,20,14,0.8559404859843326,0.8498608547102747,0.8564228593378963,0.880925968842539,0.0
1,10,20,15,0.8288067870533459,0.8026249322642567,0.8346500034921079,0.8539441225698468,0.0
1,10,20,16,0.8500258464335192,0.7953324332515912,0.8162893735158542,0.8308319814600232,0.0
1,10,20,17,0.829613409926815,0.7995756757501447,0.8141124807934069,0.8052921333848333,0.0
1,10,20,18,0.8524927085694162,0.8189366177132413,0.8423007752479397,0.8052983133771082,0.0
1,10,20,19,0.9065864088804656,0.8320612790345245,0.8706750244447549,0.8285495043131197,0.0
1,10,20,20,0.8914295129984657,0.8282405238843119,0.8580824835870932,0.8260146774816531,0.0
1,10,20,21,0.8550785416306035,0.7972703643494155,0.8081326826372398,0.778537916827604,0.0
1,10,20,22,0.8036355135350247,0.7415663259214357,0.7523755063556363,0.7385049568688039,0.0
1,10,20,23,0.759942251512864,0.7046537899870499,0.7049631582623271,0.6819848075189906,0.0
1,10,20,24,0.7209507204581808,0.6725814895434381,0.6430515784327421,0.6236580404274494,0.0
1,10,21,1,0.7016179450984871,0.6251435079308223,0.602858726777483,0.5798274752156559,0.0
1,10,21,2,0.6813964569268739,0.5997942670303732,0.5848730618801509,0.5427650315437106,0.0
1,10,21,3,0.6679051539989399,0.5875145804057715,0.5758402884481073,0.5327853740182825,0.0
1,10,21,4,0.649655014059389,0.5918404834724786,0.578202262885878,0.53761400798249,0.0
1,10,21,5,0.6689491238683634,0.609511476042212,0.597519730409275,0.5592347109566114,0.0
1,10,21,6,0.7011527687806014,0.6427869469778378,0.6491557829305769,0.6124753444058195,0.0
1,10,21,7,0.7781019735491942,0.7278446716079318,0.7598647681240397,0.7462824771469035,0.0
1,10,21,8,0.8707119160683915,0.7843569467023026,0.847066192904037,0.8328559289300889,0.0
1,10,21,9,0.9016288904236136,0.8263576998319235,0.8719020638357312,0.8705806617741728,0.0
1,10,21,10,0.8961693146620362,0.8454155530451235,0.861350660008381,0.8800463499420625,0.0
1,10,21,11,0.9089878370074528,0.856887003003334,0.868424360944266,0.8829828762714046,0.0
1,10,21,12,0.9001441332759893,0.8690748445522093,0.8688556362620478,0.8850974636281705,0.0
1,10,21,13,0.8876950156535993,0.8732078729598912,0.8588420170414863,0.8625363718295351,0.0
1,10,21,14,0.8650191572932449,0.8396936048273772,0.8387706907389301,0.8510323162096046,0.0
1,10,21,15,0.8398110027880835,0.8111940778295171,0.8176687561111888,0.8240731299085876,0.0
1,10,21,16,0.8339832120127322,0.7900421568897583,0.80524296340271,0.800287369640788,0.0
1,10,21,17,0.8283915785240823,0.7964988657133147,0.8025732469618663,0.780131324835844,0.0
1,10,21,18,0.8471741133543078,0.8242544475977921,0.8278403932113425,0.7945337968327539,0.0
1,10,21,19,0.8799042046109561,0.8546551676631857,0.8660021476463193,0.8221892622634221,0.0
1,10,21,20,0.8744684230344367,0.8569237410336245,0.8551622084089958,0.8230421011973735,0.0
1,10,21,21,0.8285718194758973,0.8259260279760101,0.803667149741584,0.7769712887858891,0.0
1,10,21,22,0.7642216356955605,0.775172439129676,0.7502309156306747,0.733418823226471,0.0
1,10,21,23,0.714314522245481,0.7186142414974421,0.7035968710713787,0.6721647997940002,0.0
1,10,21,24,0.6765698064878415,0.6780279025340057,0.6491234809330912,0.6191363460795674,0.0
1,10,22,1,0.6422264694842551,0.6387733171686,0.6082976847325046,0.5727338740826574,0.0
1,10,22,2,0.6057987618695804,0.6060121786570413,0.5806157459142338,0.5433624307969614,0.0
1,10,22,3,0.5859805851347017,0.5891126847234086,0.5674260546165666,0.5278424101969872,0.0
1,10,22,4,0.5735665639352726,0.5954132569182303,0.565764247799972,0.533092313634608,0.0
1,10,22,5,0.6010916772104649,0.60373442077903,0.5847032581366113,0.5554813956482554,0.0
1,10,22,6,0.6461507254549597,0.6483986811047125,0.6384507263584299,0.6150925711342861,0.0
1,10,22,7,0.7196051592931461,0.7459932585714417,0.7460224891744657,0.7370825286468392,0.0
1,10,22,8,0.7767248850889574,0.8296273845277785,0.8351271127252409,0.8322224797219003,0.0
1,10,22,9,0.8079125182992154,0.8500445448617272,0.8682597953624809,0.8750014162482297,0.0
1,10,22,10,0.8185865897162722,0.8605699905399572,0.8661422684732504,0.8842806746491567,0.0
1,10,22,11,0.8271215638966071,0.8622323864106026,0.8758830667691019,0.9022181022273722,0.0
1,10,22,12,0.8276420616947526,0.8713893404605112,0.8812775003492107,0.9008657139178576,0.0
1,10,22,13,0.8148556614991644,0.8634722949329072,0.8659868696745356,0.8745801467748165,0.0
1,10,22,14,0.7890710928609711,0.8466921995977186,0.8464188434138846,0.8695104931118837,0.0
1,10,22,15,0.7787194326514514,0.8256780462715492,0.8148506250873028,0.848597399253251,0.0
1,10,22,16,0.776692762939129,0.8154373203280706,0.7930947932672161,0.8351384060769924,0.0
1,10,22,17,0.7660151223943136,0.7986939630231725,0.7847058772174884,0.8178539976825029,0.0
1,10,22,18,0.7804772280726173,0.8067946987022291,0.8053974891744656,0.8238578601776748,0.0
