Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,4.092428516054248e7,5.1118236238617785e7,9.204252139916027e7
BGE,2.6283323687844917e7,0.0,2.6283323687844917e7
PEPCO,7.960330973501667e7,0.0,7.960330973501667e7
DPL_MD,2.127897738035492e7,0.0,2.127897738035492e7
APS,0.0,0.0,0.0
DPL,0.0,0.0,0.0
