Zone,State,Emissions_ton
APS_MD,MD,938662.9301014831
BGE,MD,1.090607142126873e6
PEPCO,MD,1.579085391882585e6
DPL_MD,MD,458712.7035902594
APS,NMD,0
DPL,NMD,0
