State,Time Period,Allowance (tons)
MD,1,2.0e8
MD,2,2.0e8
MD,3,2.0e8
MD,4,2.0e8
NMD,1,1.0e9
NMD,2,1.0e9
NMD,3,1.0e9
NMD,4,1.0e9
