Time Period,Month,Day,Hours,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,1,1,1,0.46829581150000005,0.5232167534000001,0.47255000430000005,0.43651116300000004,0.43651116300000004,0.5232167534000001,4877.9201812
1,1,1,2,0.45124728440000006,0.5065070648000001,0.44980508760000004,0.41879720080000005,0.41879720080000005,0.5065070648000001,4579.7274094
1,1,1,3,0.4341688945,0.49401893970000005,0.4386039218,0.40436922900000005,0.40436922900000005,0.49401893970000005,4235.828313200001
1,1,1,4,0.4264748554,0.48806258930000007,0.42434519930000003,0.396951423,0.396951423,0.48806258930000007,4037.1987953000003
1,1,1,5,0.4229452645000001,0.4881645802000001,0.42713465520000005,0.3942909498,0.3942909498,0.4881645802000001,4014.6686745
1,1,1,6,0.4281808553,0.4930806958,0.42670473780000007,0.3976972318,0.3976972318,0.4930806958,4169.2319273
1,1,1,7,0.4385088026000001,0.5048079685000001,0.44120194030000004,0.40919603340000005,0.40919603340000005,0.5048079685000001,3650.8734944000003
1,1,1,8,0.448772808,0.5170774587000001,0.4519858211000001,0.42039856760000005,0.42039856760000005,0.5170774587000001,3780.5873490000004
1,1,1,9,0.46191501400000007,0.5362973231000001,0.45854827370000006,0.4364619655,0.4364619655,0.5362973231000001,4060.5572293000005
1,1,1,10,0.48266943450000005,0.5574751006,0.47764890800000004,0.4595366105,0.4595366105,0.5574751006,4515.6325302000005
1,1,1,11,0.5057122444000001,0.5766118831,0.499577111,0.47998646410000007,0.47998646410000007,0.5766118831,4920.6777103
1,1,1,12,0.5212037424000001,0.5844555926,0.5096934645000001,0.48944571500000006,0.48944571500000006,0.5844555926,5249.021083900001
1,1,1,13,0.5253135294000001,0.5873972489000001,0.5123339518000001,0.49165259330000005,0.49165259330000005,0.5873972489000001,5388.840361300001
1,1,1,14,0.525468911,0.5846414915000001,0.5127623457,0.49343209960000006,0.49343209960000006,0.5846414915000001,5343.929217000001
1,1,1,15,0.5261844126,0.573699654,0.5130668158,0.48454997910000003,0.48454997910000003,0.573699654,5317.771083900001
1,1,1,16,0.5279767922,0.577046437,0.5131582885,0.48378741070000003,0.48378741070000003,0.577046437,5164.3674698
1,1,1,17,0.5427168549000001,0.5906030416000001,0.5250964565,0.4993404482,0.4993404482,0.5906030416000001,5347.424699100001
1,1,1,18,0.5687517440000001,0.6098811697000001,0.5488686885,0.5270659207,0.5270659207,0.6098811697000001,5728.2831320000005
1,1,1,19,0.5674039162,0.6029391852000001,0.5427858095,0.5243054289000001,0.5243054289000001,0.6029391852000001,5764.215361300001
1,1,1,20,0.5529229926000001,0.5945384874,0.5366922583,0.5095355045000001,0.5095355045000001,0.5945384874,5594.079818800001
1,1,1,21,0.5400952634,0.5767468465,0.5295772713000001,0.49298282990000003,0.49298282990000003,0.5767468465,5285.466868
1,1,1,22,0.5195485251,0.5595046325,0.50947611,0.47230536870000006,0.47230536870000006,0.5595046325,5071.9277103
1,1,1,23,0.49316895980000003,0.5388369261,0.4928968330000001,0.4457476716,0.4457476716,0.5388369261,4509.0060246
1,1,1,24,0.4649941483,0.5131717954,0.47404469860000004,0.41444264290000005,0.41444264290000005,0.5131717954,3883.9608434
1,1,2,1,0.44044492360000004,0.4980868662000001,0.44718637920000004,0.3905821821,0.3905821821,0.4980868662000001,4095.1807226
1,1,2,2,0.42302877540000006,0.4813736323,0.42921237370000004,0.37516051980000004,0.37516051980000004,0.4813736323,3990.3162651000007
1,1,2,3,0.41009307130000006,0.47687706110000005,0.420847053,0.3657950703,0.3657950703,0.47687706110000005,3740.8283132000006
1,1,2,4,0.40619282330000006,0.47265443500000004,0.41729141080000004,0.36183031060000004,0.36183031060000004,0.47265443500000004,3657.3343378
1,1,2,5,0.40335696940000004,0.47495318420000004,0.42375063170000005,0.36353845220000003,0.36353845220000003,0.47495318420000004,3641.7620481000004
1,1,2,6,0.41723880220000004,0.4839740994000001,0.42344289460000006,0.37087516290000005,0.37087516290000005,0.4839740994000001,3599.5180727000006
1,1,2,7,0.42957119810000005,0.4993072095,0.4308889222,0.38743297340000005,0.38743297340000005,0.4993072095,3015.7228915
1,1,2,8,0.44594775170000006,0.5225706552,0.4437812291,0.4045641292,0.4045641292,0.5225706552,3256.0993971000003
1,1,2,9,0.45963607360000003,0.5451543207,0.4555290487,0.4276912156,0.4276912156,0.5451543207,3588.7500000000005
1,1,2,10,0.4828793101,0.5676719224000001,0.4734374986,0.45535289360000003,0.45535289360000003,0.5676719224000001,4052.2740962000003
1,1,2,11,0.5010128145,0.5797952215,0.4860436295000001,0.4712841056,0.4712841056,0.5797952215,4403.478916100001
1,1,2,12,0.5083658910000001,0.589376436,0.4950226831,0.47259244670000006,0.47259244670000006,0.589376436,4641.204818800001
1,1,2,13,0.5075668785,0.5955706845000001,0.488996211,0.47481581510000004,0.47481581510000004,0.5955706845000001,4636.384035800001
1,1,2,14,0.5073995168000001,0.6009902536000001,0.49737220280000005,0.4710656885,0.4710656885,0.6009902536000001,4656.7771085
1,1,2,15,0.5099082417,0.6063889051000001,0.507320858,0.4712811323,0.4712811323,0.6063889051000001,4448.0421689
1,1,2,16,0.5123786679000001,0.6140877237,0.5121919528000001,0.4726629996,0.4726629996,0.6140877237,4304.578313200001
1,1,2,17,0.5376300666,0.6373570786,0.5227804758000001,0.49841541860000005,0.49841541860000005,0.6373570786,4448.539156600001
1,1,2,18,0.5736590244,0.6752749168000001,0.5513229667,0.5334535426000001,0.5334535426000001,0.6752749168000001,4604.4277103
1,1,2,19,0.5783540675000001,0.6810175944000001,0.5602525808000001,0.5306457464000001,0.5306457464000001,0.6810175944000001,4825.4216868
1,1,2,20,0.5706812848,0.6800462603,0.5531160327,0.5187922861,0.5187922861,0.6800462603,4687.7560246
1,1,2,21,0.5593081769,0.6732403040000001,0.5469392863,0.5008485537,0.5008485537,0.6732403040000001,4643.358434000001
1,1,2,22,0.5420852030000001,0.6600251251000001,0.5335939752000001,0.4818005709,0.4818005709,0.6600251251000001,4516.2951812
1,1,2,23,0.5195291233,0.6404607616,0.5113312468000001,0.46461832560000005,0.46461832560000005,0.6404607616,4151.837349
1,1,2,24,0.49466306010000005,0.6189916667,0.49617501010000004,0.4440224998,0.4440224998,0.6189916667,4316.009035800001
1,1,3,1,0.47579482170000004,0.6092902618,0.47856820000000005,0.43130023640000004,0.43130023640000004,0.6092902618,4408.945783
1,1,3,2,0.46944692300000007,0.6029878767000001,0.4673230397,0.43013029840000006,0.43013029840000006,0.6029878767000001,4679.804217000001
1,1,3,3,0.47289266420000003,0.6075390475,0.4720477795,0.43601107440000003,0.43601107440000003,0.6075390475,4840.496987700001
1,1,3,4,0.48315987610000005,0.6201550454,0.47279349370000007,0.45573242,0.45573242,0.6201550454,5008.644578300001
1,1,3,5,0.5123692211,0.6445693430000001,0.5092143254,0.48112585620000003,0.48112585620000003,0.6445693430000001,5271.054217000001
