Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,1,1,1,0.0001822288506634,0.0001822288506634,0.0001822288506634,0.0001822288506634
1,1,1,2,0.0001822288506634,0.0001822288506634,0.0001822288506634,0.0001822288506634
1,1,1,3,0.0001726378585232,0.0001726378585232,0.0001726378585232,0.0001726378585232
1,1,1,4,0.0001774333545933,0.0001774333545933,0.0001774333545933,0.0001774333545933
1,1,1,5,0.0001726378585232,0.0001726378585232,0.0001726378585232,0.0001726378585232
1,1,1,6,0.0001774333545933,0.0001774333545933,0.0001774333545933,0.0001774333545933
1,1,1,7,0.0002014108349438,0.0002014108349438,0.0002014108349438,0.0002014108349438
1,1,1,8,0.0002397748035045,0.0002397748035045,0.0002397748035045,0.0002397748035045
1,1,1,9,0.0138781656268432,0.0138781656268432,0.0138781656268432,0.0138781656268432
1,1,1,10,0.0777206048079643,0.0777206048079643,0.0777206048079643,0.0777206048079643
1,1,1,11,0.1517870416105194,0.1517870416105194,0.1517870416105194,0.1517870416105194
1,1,1,12,0.2138167832771461,0.2138167832771461,0.2138167832771461,0.2138167832771461
1,1,1,13,0.2323034206273468,0.2323034206273468,0.2323034206273468,0.2323034206273468
1,1,1,14,0.2044655659404687,0.2044655659404687,0.2044655659404687,0.2044655659404687
1,1,1,15,0.1350987152866028,0.1350987152866028,0.1350987152866028,0.1350987152866028
1,1,1,16,0.0531868469133789,0.0531868469133789,0.0531868469133789,0.0531868469133789
1,1,1,17,0.0036973274700401,0.0036973274700401,0.0036973274700401,0.0036973274700401
1,1,1,18,0.000369253197397,0.000369253197397,0.000369253197397,0.000369253197397
1,1,1,19,0.0002781387720652,0.0002781387720652,0.0002781387720652,0.0002781387720652
1,1,1,20,0.0002349793074344,0.0002349793074344,0.0002349793074344,0.0002349793074344
1,1,1,21,0.0002397748035045,0.0002397748035045,0.0002397748035045,0.0002397748035045
1,1,1,22,0.000215797323154,0.000215797323154,0.000215797323154,0.000215797323154
1,1,1,23,0.0001918198428036,0.0001918198428036,0.0001918198428036,0.0001918198428036
1,1,1,24,0.0001870243467335,0.0001870243467335,0.0001870243467335,0.0001870243467335
1,1,2,1,0.000163046866383,0.000163046866383,0.000163046866383,0.000163046866383
1,1,2,2,0.0001246828978223,0.0001246828978223,0.0001246828978223,0.0001246828978223
1,1,2,3,0.0001150919056821,0.0001150919056821,0.0001150919056821,0.0001150919056821
1,1,2,4,0.0001246828978223,0.0001246828978223,0.0001246828978223,0.0001246828978223
1,1,2,5,0.0001150919056821,0.0001150919056821,0.0001150919056821,0.0001150919056821
1,1,2,6,0.0001150919056821,0.0001150919056821,0.0001150919056821,0.0001150919056821
1,1,2,7,0.0001198874017522,0.0001198874017522,0.0001198874017522,0.0001198874017522
1,1,2,8,0.000158251370313,0.000158251370313,0.000158251370313,0.000158251370313
1,1,2,9,0.0036733499896896,0.0036733499896896,0.0036733499896896,0.0036733499896896
1,1,2,10,0.0308638127071054,0.0308638127071054,0.0308638127071054,0.0308638127071054
1,1,2,11,0.0782193363992538,0.0782193363992538,0.0782193363992538,0.0782193363992538
1,1,2,12,0.1184103889626862,0.1184103889626862,0.1184103889626862,0.1184103889626862
1,1,2,13,0.1286104091037697,0.1286104091037697,0.1286104091037697,0.1286104091037697
1,1,2,14,0.112392041394722,0.112392041394722,0.112392041394722,0.112392041394722
1,1,2,15,0.0684652973926887,0.0684652973926887,0.0684652973926887,0.0684652973926887
1,1,2,16,0.0207980664559845,0.0207980664559845,0.0207980664559845,0.0207980664559845
1,1,2,17,0.0010166451668592,0.0010166451668592,0.0010166451668592,0.0010166451668592
1,1,2,18,0.0004315946463081,0.0004315946463081,0.0004315946463081,0.0004315946463081
1,1,2,19,0.0004939360952193,0.0004939360952193,0.0004939360952193,0.0004939360952193
1,1,2,20,0.0003356847249063,0.0003356847249063,0.0003356847249063,0.0003356847249063
1,1,2,21,0.0001534558742429,0.0001534558742429,0.0001534558742429,0.0001534558742429
1,1,2,22,0.0001150919056821,0.0001150919056821,0.0001150919056821,0.0001150919056821
1,1,2,23,0.0001486603781728,0.0001486603781728,0.0001486603781728,0.0001486603781728
1,1,2,24,0.0001438648821027,0.0001438648821027,0.0001438648821027,0.0001438648821027
