Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
SALBRYNB,214,ME,ME,45.27565594409359,-68.46002777149889,15.05916030534351,38.5385432455269,0.15341771834330462,False,44.75672383139982,-68.72893843744687
SALBRYNB,173,ME,ME,45.29188567918167,-68.49376934791204,7.007692307692308,38.972967405653,0.10377948679674305,False,44.75672383139982,-68.72893843744687
SALBRYNB,144,ME,ME,45.2632980185978,-68.34813871187254,7.659045057162071,40.361914697435985,0.10568299297916263,False,44.75672383139982,-68.72893843744687
SALBRYNB,170,ME,ME,45.25091579216466,-68.32119892368779,7.224157955865273,40.37027401643309,0.10262282265001423,False,44.75672383139982,-68.72893843744687
SALBRYNB,72,ME,ME,45.3370199052945,-68.56871442017284,4.334494773519164,40.93101352304949,0.07867313924711744,False,44.75672383139982,-68.72893843744687
SALBRYNB,11,ME,ME,45.34752693246193,-68.5995212989898,23.60530679933665,41.33843663721304,0.18223672440914937,False,44.75672383139982,-68.72893843744687
SALBRYNB,189,ME,ME,45.5732134366277,-68.50033126979812,87.56387169386606,57.6259280307872,0.27358711557450854,False,44.75672383139982,-68.72893843744687
ROSETON,98,MA,WCMA,42.45327335259599,-72.71817678920549,346.63216783216785,6.261448492467097,0.1402827862054789,True,42.44021575085076,-72.60126569919221
ROSETON,146,MA,WCMA,42.60136295077235,-72.53964839799113,708.0489795918368,11.588811634908238,0.12635095631902718,True,42.44021575085076,-72.60126569919221
ROSETON,249,MA,WCMA,42.26601094918395,-72.54597191038002,588.9632972322503,12.37221896367803,0.10971966632862835,True,42.44021575085076,-72.60126569919221
ROSETON,200,MA,WCMA,42.17925408644263,-72.45607012455635,1442.1110889110892,19.5818146317094,0.1216706189847253,False,42.44021575085076,-72.60126569919221
ROSETON,178,MA,WCMA,42.12084064586971,-72.36167789078303,193.5673469387755,25.433585868121153,0.036638392667464006,False,42.44021575085076,-72.60126569919221
ROSETON,179,MA,WCMA,42.05404513165935,-72.48877785294592,117.56665129151293,27.304595387202784,0.027073308102963566,False,42.44021575085076,-72.60126569919221
ROSETON,248,CT,CT,41.87951619585235,-72.56776294629722,115.44645340751045,38.72899558997574,0.020641401569886784,False,42.44021575085076,-72.60126569919221
ROSETON,22,CT,CT,41.87359569506704,-72.70259243567334,59.10819070904645,39.46389251431916,0.014562969966917388,False,42.44021575085076,-72.60126569919221
ROSETON,198,CT,CT,41.88409054614025,-72.41779530040539,88.64638386648122,39.585531070724436,0.01779320637457126,False,42.44021575085076,-72.60126569919221
ROSETON,223,CT,CT,41.86351381050298,-72.51071936481358,98.66585914518082,40.08076559192241,0.018597625805096257,False,42.44021575085076,-72.60126569919221
ROSETON,148,CT,CT,41.865395699686445,-72.47502701995963,36.091263650546026,40.22294531376985,0.011218161896512984,False,42.44021575085076,-72.60126569919221
ROSETON,228,CT,CT,41.900753948316535,-72.89856131705768,80.29947430897066,40.42046772063133,0.0166717585031252,False,42.44021575085076,-72.60126569919221
ROSETON,199,CT,CT,41.85786148429607,-72.51516230893712,59.89734816082122,40.4407490553779,0.014393468607156167,False,42.44021575085076,-72.60126569919221
ROSETON,138,CT,CT,41.83991613780248,-72.638094710286,98.59555706291334,41.466640049563985,0.01812302118110403,False,42.44021575085076,-72.60126569919221
ROSETON,35,CT,CT,41.85907609560622,-72.80239238804748,2.143974117012672,41.49132607512763,0.002671270347234984,False,42.44021575085076,-72.60126569919221
ROSETON,196,CT,CT,41.83825745213248,-72.67317229478877,243.02958989444545,41.70959732671426,0.028328830103652742,False,42.44021575085076,-72.60126569919221
ROSETON,93,CT,CT,41.82918042581653,-72.58326872029662,52.81975827640568,42.1722256522089,0.013097981542196121,False,42.44021575085076,-72.60126569919221
ROSETON,91,CT,CT,41.80933433726447,-72.78375019605268,46.736459595085655,44.5923024441199,0.011815688774068288,False,42.44021575085076,-72.60126569919221
ROSETON,108,CT,CT,41.80647402345146,-72.43567371321555,28.64333017975402,44.600206478990046,0.009248795210449452,False,42.44021575085076,-72.60126569919221
ROSETON,109,CT,CT,41.81712087328556,-72.89147547873637,33.43717382577278,45.66206133941799,0.009818026664371458,False,42.44021575085076,-72.60126569919221
