Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW,NI
1,1,15,1,0.7380361350391383,0.6973429219592392,0.7155765470037715,0.7297283378395777,0.0
1,1,15,2,0.7291133156423567,0.668971978067396,0.7008442170694231,0.6972576284279645,0.0
1,1,15,3,0.718673616948122,0.6699639048852396,0.6862974053638776,0.6744946568816789,0.0
1,1,15,4,0.7257523870029022,0.6705700823850329,0.6827834718536109,0.6666409166988542,0.0
1,1,15,5,0.7309722363500195,0.6718742824603459,0.6950167621176142,0.6833268958413802,0.0
1,1,15,6,0.740519653104576,0.7192938950578165,0.7398357836289985,0.7238573451783186,0.0
1,1,15,7,0.7773411544819618,0.8214990953260041,0.8241374493644364,0.8347109566113042,0.0
1,1,15,8,0.8232193175470812,0.886764206137088,0.8914478279089258,0.9268700914123856,0.0
1,1,15,9,0.8466268470979719,0.924971757639214,0.9344553184802348,0.969924037594953,0.0
1,1,15,10,0.8490954937977482,0.918386465709641,0.9387658890906552,0.9845242693446632,0.0
1,1,15,11,0.8539138162720102,0.9233460997988592,0.9434256704847046,0.9923522595596757,0.0
1,1,15,12,0.8596839061485958,0.9229879040035268,0.9452153757508032,0.98712501609373,0.0
1,1,15,13,0.8438607730849695,0.9197641418455348,0.9335168144992316,0.9782412771984036,0.0
1,1,15,14,0.8310862699819104,0.9095877074550648,0.92524488406202,0.9743787820265224,0.0
1,1,15,15,0.8216280814213217,0.90198293518493,0.91702751780975,0.9541135573580533,0.0
1,1,15,16,0.8153226223809293,0.8990714462844075,0.9114074067607209,0.946234067207416,0.0
1,1,15,17,0.8196204470570458,0.8963987545807731,0.9212071343763096,0.9445345693317884,0.0
1,1,15,18,0.84751912903765,0.9135003076810037,0.9535964345578992,0.969254538431827,0.0
1,1,15,19,0.844574598636712,0.911332763893864,0.9419960888392234,0.9572550534311832,0.0
1,1,15,20,0.8264910179925679,0.8988326490875191,0.904237672859338,0.9300115874855156,0.0
1,1,15,21,0.7893423465706333,0.8580626199726301,0.8478401313032546,0.8845113943607571,0.0
1,1,15,22,0.7406237526642051,0.8210031319170823,0.7991797911719514,0.8363074546156817,0.0
1,1,15,23,0.6996382689016544,0.7744652320465838,0.7600572705685151,0.7818977726277843,0.0
1,1,15,24,0.674089262695536,0.723831041798694,0.7117134027098757,0.7436075704905369,0.0
1,1,16,1,0.6515740150843236,0.6853204015466711,0.6896585591563068,0.7011973735032832,0.0
1,1,16,2,0.6431419507543649,0.6872124101066321,0.6779927364157006,0.6733359083301146,0.0
1,1,16,3,0.642071212426751,0.6688617639765244,0.6638387868417377,0.6567271790910262,0.0
1,1,16,4,0.6515294009873397,0.6725171979904297,0.6609796235507752,0.6567014291232136,0.0
