OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,396623554,,generation,115000,115.0,1,,,44.979994,-74.751538,1.0
way,400353852,Poste du Massif-du-Sud,generation,120000,120.0,1,Hydro-Québec,,46.566592,-70.485954,1.043478
way,400475702,,generation,115000,115.0,1,Village of Lake Placid,,44.274108,-73.975834,1.0
way,402542141,Allens Falls,generation,115000,115.0,1,Brookfield Renewable US,,44.66026,-74.860459,1.0
way,409012015,Parishville,generation,115000,115.0,1,Brookfield Renewable US,,44.630149,-74.825321,1.0
way,409755306,,transmission,138000;69000,138.0,1,NB Power,,47.370454,-68.278379,1.2
way,412191877,Cedar Grove Substation,transmission,230000;69000,230.0,1,Public Service Enterprise Group,,40.868456,-74.221799,2.0
way,423874222,New Haven Substation,transmission,345000;115000;46000,345.0,1,Vermont Electric Power Company,,44.119271,-73.165683,3.0
way,480542158,Poste de Saint-Robert-Bellarmin,generation,120000,120.0,1,Hydro-Québec,,45.700775,-70.536519,1.043478
way,487456978,Poste Leman,transmission,120000,120.0,1,Hydro-Québec,,46.535889,-72.7626,1.043478
way,487542776,,transmission,120000,120.0,1,Hydro-Québec,,46.612349,-72.673637,1.043478
way,491788233,Poste de Lanaudière,transmission,315000;120000,315.0,1,,,46.016219,-73.414327,2.73913
way,494306803,Poste Des Moulins,generation,230000,230.0,1,Invenergy Wind Canada,,46.146313,-71.330758,2.0
way,495564978,Comerford Substation,transmission,230000,230.0,1,National Grid,,44.3208,-72.002858,2.0
way,495564997,Littleton Substation,transmission,230000;115000,230.0,1,Eversource,,44.329202,-71.884475,2.0
way,506739126,,transition,,,1,Orange & Rockland,,41.060291,-74.108811,1.0
way,511092191,Poste de Lachenaie,transmission,315000;25000,315.0,1,Hydro-Québec,,45.72556,-73.539972,2.73913
way,511172266,Poste de Témiscouata,generation,120000,120.0,1,Hydro-Québec,,47.636958,-69.12189,1.043478
way,525260982,Hopatcong Switching Station,transmission,500000,500.0,1,Public Service Enterprise Group,,40.991467,-74.635313,4.347826
way,543616525,Elliot Substation,transmission,345000,345.0,1,Eversource,,43.167951,-70.817667,3.0
way,543804363,Raven Farm Substation,transmission,345000,345.0,1,Central Maine Power Company,,43.781793,-70.202788,3.0
way,547569637,B5D-B31L SS JCT,transmission,,,1,,,45.239073,-74.390015,1.0
way,567177044,Sugarloaf Substation,transmission,345000;138000,345.0,1,Orange & Rockland,,41.30811,-74.258439,3.0
way,581345032,Saint Andre Substation,transmission,345000;138000,345.0,1,NB Power,,47.165115,-67.730397,3.0
way,633057991,Poste de Weedon,generation,46000,46.0,1,Hydro-Sherbrooke,,45.661873,-71.46415,1.0
way,637681518,Poste Judith-Jasmin,transmission,735000;120000;25000,735.0,1,Hydro-Québec,,45.717429,-73.72364,6.391304
way,665590821,Orrington Substation,transmission,345000,345.0,1,Versant Power,,44.738312,-68.752469,3.0
way,668566638,Newington Energy Substation,generation,345000,345.0,1,Eversource,,43.105148,-70.806206,3.0
way,669500209,,generation,120000,120.0,1,,,46.105887,-71.68386,1.043478
way,669594105,Larrabee Road Substation,transmission,345000;115000,345.0,1,Central Maine Power Company,,44.141403,-70.185768,3.0
