from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
29,205,SENE,SENE,750.0,0.010667,7.648653915957109,SENE-SENE,False,RI,RI
116,123,SENE,SENE,206.75,0.012815,7.427711852753786,SENE-SENE,False,NEMA/Boston,NEMA/Boston
123,165,SENE,SENE,506.73,0.046024,7.39750037298544,SENE-SENE,False,NEMA/Boston,NEMA/Boston
235,236,NNE,NNE,350.0,0.02,7.3959101789073465,NNE-NNE,False,NH,NH
86,169,SENE,SENE,187.39,0.12958,7.3561687118109536,SENE-SENE,False,RI,RI
117,164,SENE,SENE,250.0,0.08087,7.329580125214271,SENE-SENE,False,NEMA/Boston,NEMA/Boston
155,169,SENE,SENE,676.43,0.073917,7.229535886332818,SENE-SENE,False,RI,RI
82,83,SENE,SENE,530.03,0.053138,7.227850094427628,SENE-SENE,False,SEMA,SEMA
162,244,SENE,SENE,530.03,0.005749,7.077905874544634,SENE-SENE,False,NEMA/Boston,NEMA/Boston
156,246,SENE,SENE,593.37,0.010954,6.965844261488213,SENE-SENE,False,NEMA/Boston,NEMA/Boston
157,241,SENE,SENE,400.0,0.02,6.891281499842501,SENE-SENE,False,RI,RI
242,154,SENE,SENE,178.87,0.145022,6.835818597879778,SENE-SENE,False,RI,RI
11,173,Maine,Maine,237.35,0.124076,6.7936878954951005,Maine-Maine,False,ME,ME
104,136,ROP,ROP,157.52,0.01067,6.699910875993568,ROP-ROP,False,CT,CT
77,89,SENE,SENE,212.01,0.099621,6.637947237491609,SENE-SENE,False,RI,RI
232,233,ROP,ROP,200.0,0.035,6.61862169541282,ROP-ROP,False,CT,CT
231,244,SENE,SENE,812.08,0.012247,6.368957026657389,SENE-SENE,False,NEMA/Boston,NEMA/Boston
204,156,SENE,SENE,530.03,0.043418,6.338721418005829,SENE-SENE,False,NEMA/Boston,NEMA/Boston
93,148,ROP,ROP,530.03,0.003478,6.257416489819168,ROP-ROP,False,CT,CT
154,160,SENE,SENE,312.32,0.060072,6.085645478032211,SENE-SENE,False,RI,RI
20,34,ROP,ROP,600.0,0.018,6.084104477518139,ROP-ROP,False,CT,CT
103,224,ROP,ROP,450.0,0.026667,5.824649887130948,ROP-ROP,False,CT,CT
158,166,SENE,SENE,283.0,0.081263,5.816752467473996,SENE-SENE,False,RI,RI
109,228,ROP,ROP,300.0,0.026667,5.782889430438379,ROP-ROP,False,CT,CT
106,226,ROP,ROP,200.0,0.06,5.764995341371302,ROP-ROP,False,CT,CT
49,209,Maine,Maine,200.0,0.06,5.695494704682876,Maine-Maine,False,ME,ME
94,102,ROP,ROP,237.35,0.029756,5.623441344157301,ROP-ROP,False,CT,CT
69,247,Maine,Maine,530.03,0.020317,5.469347034384533,Maine-Maine,False,ME,ME
198,199,ROP,ROP,530.03,0.059379,5.468606248002067,ROP-ROP,False,CT,CT
22,35,ROP,ROP,1950.0,0.0143,5.383440704062067,ROP-ROP,False,CT,CT
157,169,SENE,SENE,347.3,0.0965,5.259291178209792,SENE-SENE,False,RI,RI
88,221,SENE,SENE,50.0,0.24,5.238487328000816,SENE-SENE,False,NEMA/Boston,NEMA/Boston
29,38,SENE,SENE,1200.0,0.0156,5.165483674292236,SENE-SENE,False,RI,RI
