from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
120,234,SENE,SENE,350.0,0.02,21.0058960633795,SENE-SENE,False,NEMA/Boston,NEMA/Boston
44,55,Maine,Maine,229.46,0.027027,20.929525834462808,Maine-Maine,False,ME,ME
16,192,Maine,Maine,200.0,0.04,20.58318274461845,Maine-Maine,False,ME,ME
107,119,ROP,ROP,107.32,0.036986,19.66648534069611,ROP-ROP,False,CT,CT
118,119,ROP,ROP,187.39,0.01693,19.281487327542937,ROP-ROP,False,CT,CT
15,191,Maine,Maine,100.0,0.07,19.088205085894675,Maine-Maine,False,ME,ME
14,15,Maine,Maine,178.87,0.08904,19.073235520225293,Maine-Maine,False,ME,ME
3,18,NNE,NNE,316.2,0.158129,18.999102747713714,NNE-NNE,False,VT,VT
137,151,NNE,NNE,530.03,0.00571,18.94795448586958,NNE-NNE,False,NH,NH
19,175,ROP,ROP,173.53,0.251624,18.89542359214844,ROP-ROP,False,CT,CT
132,134,NNE,NNE,206.75,0.015659,18.423193900428664,NNE-NNE,False,NH,NH
124,142,NNE,NNE,262.53,0.011776,18.285330402015376,NNE-NNE,False,NH,NH
223,97,ROP,ROP,530.03,0.006844,18.158116228710277,ROP-ROP,False,CT,CT
186,211,Maine,Maine,652.53,0.016494,18.152031324716692,Maine-Maine,False,ME,ME
208,55,Maine,Maine,206.75,0.018912,18.112928054779083,Maine-Maine,False,ME,ME
25,37,NNE,NNE,1000.0,0.0232,17.88613321843967,NNE-NNE,False,NH,NH
39,43,NNE,NNE,530.03,0.040026,17.68160895543693,NNE-NNE,False,VT,VT
76,238,NNE,NNE,868.25,0.047034,17.621810444923895,NNE-NNE,False,NH,NH
222,97,ROP,ROP,530.03,0.01338,17.54387687041279,ROP-ROP,False,CT,CT
147,152,ROP,ROP,261.01,0.040694,17.522025783368974,ROP-ROP,False,CT,CT
196,233,ROP,ROP,530.03,0.004013,17.469971528191483,ROP-ROP,False,CT,CT
1,2,NNE,NNE,414.51,0.120624,17.248845068305958,NNE-NNE,False,VT,VT
19,105,ROP,ROP,522.03,0.012761,17.209343421102155,ROP-ROP,False,CT,CT
195,225,ROP,ROP,178.87,0.010719,17.188414843633105,ROP-ROP,False,CT,CT
