Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,4.0496611697746927e8,1.3141817347709974e7,4.181079343251792e8
BGE,2.289734506680257e8,0.0,2.289734506680257e8
PEPCO,7.803435622140589e8,0.0,7.803435622140589e8
DPL_MD,1.9643849531362742e8,0.0,1.9643849531362742e8
APS,0.0,4.1868996567901134e7,4.1868996567901134e7
DPL,0.0,0.0,0.0
