Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MW/yr),Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
APS_MD,Battery,10527.445,2631.861,0.85,0.9,108000.58,0.1,0,1,1,1
DPL_MD,Battery,9488.19,2372.048,0.85,0.9,108000.58,0.1,0,1,1,1
BGE,Battery,29992.0,7498.0,0.85,0.9,108000.58,0.1,0,1,1,1
PEPCO,Battery,23230.0,5807.5,0.85,0.9,108000.58,0.1,0,1,1,1
