From_state,To_state,RPS
PA,OH,0.2
PA,WV,0.2
PA,MD,0.2
PA,NJ,0.2
PA,DE,0.2
OH,PA,0.2
OH,WV,0.2
OH,KY,0.2
OH,IN,0.2
NJ,PA,0.2
NJ,DE,0.2
IN,OH,0.2
KY,OH,0.2
KY,WV,0.2
KY,VA,0.2
WV,KY,0.2
WV,OH,0.2
WV,VA,0.2
WV,PA,0.2
WV,MD,0.2
MD,WV,0.2
MD,PA,0.2
MD,VA,0.2
MD,DE,0.2
DE,MD,0.2
DE,PA,0.2
DE,NJ,0.2
VA,MD,0.2
VA,WV,0.2
VA,TN,0.2
VA,KY,0.2
VA,NC,0.2
TN,VA,0.2
NC,VA,0.2
