Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_IL,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH,ATSI
1,1,17,0.042829396,0,0,0,0,0,0,0,0,0,0,0,0,0.048409239,0.048409239,0,0,0,0.198284241,0.198284241,0.435630478,0,0.198284241,0.048409239,0.198284241,0,0,0,0,0,0,0.435630478,0,0
1,1,18,0.02478553,0,0,0,0,0,0,0,0,0,0,0,0,0.068011495,0.068011495,0,0,0,0.198284241,0.198284241,0.461249421,0,0.198284241,0.048409239,0.198284241,0,0,0,0,0,0,0.461249421,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101521531,0.101521531,0,0,0,0.21353044,0.21353044,0.544091958,0,0.21353044,0.037695693,0.21353044,0,0,0,0,0,0,0.544091958,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144549212,0.144549212,0,0,0,0.246327893,0.246327893,0.573763335,0,0.246327893,0.028692349,0.246327893,0,0,0,0,0,0,0.573763335,0,0
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156932682,0.156932682,0,0,0,0.282322679,0.282322679,0.604494294,0,0.282322679,0,0.282322679,0,0,0,0,0,0,0.604494294,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170003951,0.170003951,0,0,0,0.301565545,0.301565545,0.604494294,0,0.301565545,0,0.301565545,0,0,0,0,0,0,0.604494294,0,0
1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144549212,0.144549212,0,0,0,0.342635169,0.342635169,0.636303424,0,0.342635169,0,0.342635169,0,0,0,0,0,0,0.636303424,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083651164,0.083651164,0,0,0,0.387273908,0.387273908,0.669209314,0,0.387273908,0,0.387273908,0,0,0,0,0,0,0.669209314,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060981699,0.060981699,0,0,0,0.387273908,0.387273908,0.703230552,0,0.387273908,0,0.387273908,0,0,0,0,0,0,0.703230552,0,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048409239,0.048409239,0,0,0,0.321663512,0.321663512,0.703230552,0,0.321663512,0,0.321663512,0,0,0,0,0,0,0.703230552,0,0
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042829396,0.042829396,0,0,0,0.301565545,0.301565545,0.636303424,0,0.301565545,0,0.301565545,0,0,0,0,0,0,0.636303424,0,0
1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042829396,0.042829396,0,0,0,0.301565545,0.301565545,0.604494294,0,0.301565545,0,0.301565545,0,0,0,0,0,0,0.604494294,0,0
1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042829396,0.042829396,0,0,0,0.301565545,0.301565545,0.544091958,0,0.301565545,0,0.301565545,0,0,0,0,0,0,0.544091958,0,0
1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037695693,0.037695693,0,0,0,0.263916325,0.263916325,0.48785359,0,0.263916325,0,0.263916325,0,0,0,0,0,0,0.48785359,0,0
1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032989541,0.032989541,0,0,0,0.21353044,0.21353044,0.461249421,0,0.21353044,0,0.21353044,0,0,0,0,0,0,0.461249421,0,0
1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042829396,0.042829396,0,0,0,0.21353044,0.21353044,0.48785359,0,0.21353044,0.032989541,0.21353044,0,0,0,0,0,0,0.48785359,0,0
1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075561787,0.075561787,0,0,0,0.263916325,0.263916325,0.604494294,0,0.263916325,0.1113397,0.263916325,0,0,0,0,0,0,0.604494294,0,0
1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101521531,0.101521531,0,0,0,0.301565545,0.301565545,0.850840777,0,0.301565545,0.246327893,0.301565545,0,0,0,0,0,0,0.850840777,0,0
1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132834951,0.132834951,0,0,0,0.342635169,0.342635169,1,0,0.342635169,0.387273908,0.342635169,0,0,0,0,0,0,1,0,0
1,2,12,0,0,0,0,0,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.144549212,0.144549212,0,0,0.02478553,0.364499104,0.364499104,1,0,0.364499104,0.461249421,0.364499104,0.02478553,0,0,0.02478553,0,0,1,0.02478553,0.02478553
1,2,13,0,0,0,0,0,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.132834951,0.132834951,0,0,0.028692349,0.387273908,0.387273908,1,0,0.387273908,0.515461572,0.387273908,0.028692349,0,0,0.028692349,0,0,1,0.028692349,0.028692349
1,2,14,0,0,0,0,0,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.101521531,0.101521531,0,0,0.032989541,0.41097817,0.41097817,1,0,0.41097817,0.544091958,0.41097817,0.032989541,0,0,0.032989541,0,0,1,0.032989541,0.032989541
1,2,15,0,0,0,0,0,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.02478553,0.037695693,0.037695693,0,0,0.02478553,0.364499104,0.364499104,1,0,0.364499104,0.461249421,0.364499104,0.02478553,0,0,0.02478553,0,0,1,0.02478553,0.02478553
1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263916325,0.263916325,0.974170476,0,0.263916325,0.321663512,0.263916325,0,0,0,0,0,0,0.974170476,0,0
1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198284241,0.198284241,0.850840777,0,0.198284241,0.263916325,0.198284241,0,0,0,0,0,0,0.850840777,0,0
1,2,18,0,0,0,0,0,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0,0,0,0,0.021250494,0.170003951,0.170003951,0.890717596,0,0.170003951,0.263916325,0.170003951,0.021250494,0,0,0.021250494,0,0,0.890717596,0.021250494,0.021250494
1,2,19,0,0,0,0,0,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0,0,0,0,0.028692349,0.144549212,0.144549212,0.974170476,0,0.144549212,0.263916325,0.144549212,0.028692349,0,0,0.028692349,0,0,0.974170476,0.028692349,0.028692349
1,2,20,0,0,0,0,0,0.042829396,0.042829396,0.042829396,0.042829396,0.042829396,0.042829396,0.042829396,0.042829396,0,0,0,0,0.042829396,0.12177131,0.12177131,1,0,0.12177131,0.21353044,0.12177131,0.042829396,0,0,0.042829396,0,0,1,0.042829396,0.042829396
1,2,21,0,0,0,0,0,0.05445381,0.05445381,0.05445381,0.05445381,0.05445381,0.05445381,0.05445381,0.05445381,0,0,0,0,0.05445381,0.1113397,0.1113397,0.9318213,0,0.1113397,0.12177131,0.1113397,0.05445381,0,0,0.05445381,0,0,0.9318213,0.05445381,0.05445381
1,2,22,0,0,0,0,0,0.083651164,0.083651164,0.083651164,0.083651164,0.083651164,0.083651164,0.083651164,0.083651164,0,0,0,0,0.083651164,0.101521531,0.101521531,0.774693432,0,0.101521531,0.083651164,0.101521531,0.083651164,0,0,0.083651164,0,0,0.774693432,0.083651164,0.083651164
1,2,23,0.021250494,0,0,0,0,0.1113397,0.1113397,0.1113397,0.1113397,0.1113397,0.1113397,0.1113397,0.1113397,0,0,0,0,0.1113397,0.1113397,0.1113397,0.636303424,0,0.1113397,0.1113397,0.1113397,0.1113397,0,0,0.1113397,0,0,0.636303424,0.1113397,0.1113397
1,2,24,0.021250494,0,0,0,0,0.092298216,0.092298216,0.092298216,0.092298216,0.092298216,0.092298216,0.092298216,0.092298216,0,0,0,0,0.092298216,0.132834951,0.132834951,0.515461572,0,0.132834951,0.170003951,0.132834951,0.092298216,0,0,0.092298216,0,0,0.515461572,0.092298216,0.092298216
1,3,1,0.021250494,0,0,0,0,0.048409239,0.048409239,0.048409239,0.048409239,0.048409239,0.048409239,0.048409239,0.048409239,0,0,0,0,0.048409239,0.144549212,0.144549212,0.435630478,0,0.144549212,0.198284241,0.144549212,0.048409239,0,0,0.048409239,0,0,0.435630478,0.048409239,0.048409239
1,3,2,0.02478553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144549212,0.144549212,0.387273908,0,0.144549212,0.198284241,0.144549212,0,0,0,0,0,0,0.387273908,0,0
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144549212,0.144549212,0.342635169,0,0.144549212,0.183781608,0.144549212,0,0,0,0,0,0,0.342635169,0,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132834951,0.132834951,0.342635169,0,0.132834951,0.156932682,0.132834951,0,0,0,0,0,0,0.342635169,0,0
1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101521531,0.101521531,0.342635169,0,0.101521531,0.132834951,0.101521531,0,0,0,0,0,0,0.342635169,0,0
1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075561787,0.075561787,0.321663512,0,0.075561787,0.1113397,0.075561787,0,0,0,0,0,0,0.321663512,0,0
1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032989541,0.032989541,0,0,0,0.060981699,0.060981699,0.321663512,0,0.060981699,0.132834951,0.060981699,0,0,0,0,0,0,0.321663512,0,0
1,3,8,0.021250494,0,0,0,0,0,0,0,0,0,0,0,0,0.048409239,0.048409239,0,0,0,0.060981699,0.060981699,0.364499104,0,0.060981699,0.198284241,0.060981699,0,0,0,0,0,0,0.364499104,0,0
1,3,9,0.032989541,0,0,0,0,0,0,0,0,0,0,0,0,0.048409239,0.048409239,0,0,0,0.075561787,0.075561787,0.48785359,0,0.075561787,0.301565545,0.075561787,0,0,0,0,0,0,0.48785359,0,0
1,3,10,0.075561787,0,0,0,0,0,0,0,0,0,0,0,0,0.042829396,0.042829396,0,0,0,0.092298216,0.092298216,0.515461572,0,0.092298216,0.387273908,0.092298216,0,0,0,0,0,0,0.515461572,0,0
1,3,11,0.156932682,0,0,0,0,0,0,0,0,0,0,0,0,0.048409239,0.048409239,0,0,0,0.132834951,0.132834951,0.515461572,0,0.132834951,0.435630478,0.132834951,0,0,0,0,0,0,0.515461572,0,0
1,3,12,0.263916325,0,0,0,0,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.021250494,0.05445381,0.05445381,0,0,0.021250494,0.198284241,0.198284241,0.48785359,0,0.198284241,0.48785359,0.198284241,0.021250494,0,0,0.021250494,0,0,0.48785359,0.021250494,0.021250494
1,3,13,0.435630478,0,0,0,0,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.032989541,0.05445381,0.05445381,0,0,0.032989541,0.263916325,0.263916325,0.41097817,0,0.263916325,0.41097817,0.263916325,0.032989541,0,0,0.032989541,0,0,0.41097817,0.032989541,0.032989541
1,3,14,0.48785359,0,0,0,0,0.037695693,0.037695693,0.037695693,0.037695693,0.037695693,0.037695693,0.037695693,0.037695693,0.042829396,0.042829396,0,0,0.037695693,0.301565545,0.301565545,0.364499104,0,0.301565545,0.263916325,0.301565545,0.037695693,0,0,0.037695693,0,0,0.364499104,0.037695693,0.037695693
1,3,15,0.342635169,0,0,0,0,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.028692349,0.032989541,0.032989541,0,0,0.028692349,0.301565545,0.301565545,0.263916325,0,0.301565545,0.144549212,0.301565545,0.028692349,0,0,0.028692349,0,0,0.263916325,0.028692349,0.028692349
1,3,16,0.321663512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246327893,0.246327893,0.144549212,0,0.246327893,0.156932682,0.246327893,0,0,0,0,0,0,0.144549212,0,0
1,3,17,0.364499104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198284241,0.198284241,0.048409239,0,0.198284241,0.342635169,0.198284241,0,0,0,0,0,0,0.048409239,0,0
1,3,18,0.301565545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21353044,0.21353044,0,0,0.21353044,0.515461572,0.21353044,0,0,0,0,0,0,0,0,0
1,3,19,0.21353044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246327893,0.246327893,0,0,0.246327893,0.48785359,0.246327893,0,0,0,0,0,0,0,0,0
1,3,20,0.092298216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263916325,0.263916325,0,0,0.263916325,0.41097817,0.263916325,0,0,0,0,0,0,0,0,0
1,3,21,0.032989541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301565545,0.301565545,0,0,0.301565545,0.41097817,0.301565545,0,0,0,0,0,0,0,0,0
1,3,22,0.042829396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364499104,0.364499104,0,0,0.364499104,0.461249421,0.364499104,0,0,0,0,0,0,0,0,0
1,3,23,0.048409239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461249421,0.461249421,0,0,0.461249421,0.41097817,0.461249421,0,0,0,0,0,0,0,0,0
1,3,24,0.02478553,0,0,0,0,0,0,0,0,0,0,0,0,0.037695693,0.037695693,0,0,0,0.636303424,0.636303424,0,0,0.636303424,0.263916325,0.636303424,0,0,0,0,0,0,0,0,0
1,4,1,0.032989541,0,0,0,0,0,0,0,0,0,0,0,0,0.083651164,0.083651164,0,0,0,0.669209314,0.669209314,0,0,0.669209314,0.144549212,0.669209314,0,0,0,0,0,0,0,0,0
1,4,2,0.05445381,0,0,0,0,0,0,0,0,0,0,0,0,0.132834951,0.132834951,0,0,0,0.604494294,0.604494294,0,0,0.604494294,0.132834951,0.604494294,0,0,0,0,0,0,0,0,0
1,4,3,0.156932682,0,0,0,0,0,0,0,0,0,0,0,0,0.170003951,0.170003951,0,0,0,0.636303424,0.636303424,0,0,0.636303424,0.170003951,0.636303424,0,0,0,0,0,0,0,0,0
1,4,4,0.342635169,0,0,0,0,0,0,0,0,0,0,0,0,0.144549212,0.144549212,0,0,0,0.636303424,0.636303424,0,0,0.636303424,0.170003951,0.636303424,0,0,0,0,0,0,0,0,0
1,4,5,0.387273908,0,0,0,0,0,0,0,0,0,0,0,0,0.1113397,0.1113397,0,0,0,0.544091958,0.544091958,0,0,0.544091958,0.170003951,0.544091958,0,0,0,0,0,0,0,0,0
1,4,6,0.321663512,0,0,0,0,0,0,0,0,0,0,0,0,0.1113397,0.1113397,0,0,0,0.435630478,0.435630478,0,0,0.435630478,0.21353044,0.435630478,0,0,0,0,0,0,0,0,0
