Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,3,10,0.683810356,0.761121482,0.678546621,0.668133145,0.668133145,0.761121482,5348.795181
1,3,11,0.698515987,0.772011766,0.694149223,0.692628578,0.692628578,0.772011766,5467.620482
1,3,12,0.71306536,0.773754439,0.705513774,0.709197772,0.709197772,0.773754439,5923.795181
1,3,13,0.71775667,0.77198174,0.712796279,0.717386686,0.717386686,0.77198174,6835.843373
1,3,14,0.704409017,0.758923106,0.701972079,0.720909889,0.720909889,0.758923106,7584.487952
1,3,15,0.694828733,0.747421971,0.69656345,0.722584578,0.722584578,0.747421971,7674.096386
1,3,16,0.698584617,0.734674916,0.688526864,0.723512253,0.723512253,0.734674916,7654.819277
1,3,17,0.705023843,0.755123818,0.690876425,0.739023461,0.739023461,0.755123818,7889.608434
1,3,18,0.757208486,0.797145666,0.730833567,0.773231226,0.773231226,0.797145666,8673.78012
1,3,19,0.760834627,0.805274566,0.726285701,0.772330889,0.772330889,0.805274566,9330.873494
1,3,20,0.749248075,0.804500985,0.713686452,0.760202777,0.760202777,0.804500985,9371.385542
1,3,21,0.733717477,0.796136408,0.697723616,0.747518334,0.747518334,0.796136408,8982.831325
1,3,22,0.711582035,0.774920914,0.671948598,0.72401892,0.72401892,0.774920914,8528.900602
1,3,23,0.681334887,0.745302253,0.656743496,0.696946638,0.696946638,0.745302253,8689.909639
1,3,24,0.658593411,0.72760361,0.632036575,0.673837021,0.673837021,0.72760361,8606.777108
1,4,1,0.644283532,0.714722178,0.614020111,0.662846175,0.662846175,0.714722178,8402.409639
1,4,2,0.639832565,0.709224417,0.601935458,0.657285141,0.657285141,0.709224417,8214.156627
1,4,3,0.638512305,0.709395219,0.589031142,0.657546676,0.657546676,0.709395219,7745.331325
1,4,4,0.644854401,0.717015652,0.567899529,0.665087676,0.665087676,0.717015652,7087.801205
1,4,5,0.663663599,0.732270298,0.608162286,0.679538846,0.679538846,0.732270298,7341.26506
1,4,6,0.698028069,0.764389857,0.640794726,0.708199247,0.708199247,0.764389857,7941.566265
1,4,7,0.745259788,0.802919467,0.691223689,0.753247953,0.753247953,0.802919467,8441.114458
1,4,8,0.77252639,0.829903739,0.740566286,0.777016648,0.777016648,0.829903739,8879.518072
1,4,9,0.771367352,0.820614073,0.752403234,0.766731355,0.766731355,0.820614073,8880.421687
1,4,10,0.737042444,0.790692299,0.762427319,0.730492593,0.730492593,0.790692299,8840.662651
1,4,11,0.699936355,0.762396542,0.717246049,0.699071724,0.699071724,0.762396542,8206.325301
1,4,12,0.679585129,0.740384728,0.699645535,0.672862416,0.672862416,0.740384728,7802.560241
1,4,13,0.660802163,0.725950817,0.68378043,0.654436279,0.654436279,0.725950817,7672.590361
1,4,14,0.648242467,0.710607077,0.671757154,0.630665078,0.630665078,0.710607077,7265.813253
1,4,15,0.641681865,0.699726539,0.662292784,0.618638572,0.618638572,0.699726539,7714.307229
1,4,16,0.64866587,0.70743705,0.659799641,0.626387114,0.626387114,0.70743705,8081.325301
1,4,17,0.681207129,0.725751367,0.68464302,0.66902209,0.66902209,0.725751367,8670.783133
1,4,18,0.737453084,0.767938603,0.726199478,0.735784119,0.735784119,0.767938603,9150
1,4,19,0.748008214,0.779450173,0.725718313,0.753201479,0.753201479,0.779450173,9175.451807
1,4,20,0.744881052,0.785612438,0.712306345,0.755915017,0.755915017,0.785612438,8838.554217
1,4,21,0.732512355,0.781950381,0.691532774,0.747822015,0.747822015,0.781950381,8941.716867
1,4,22,0.710599391,0.761550506,0.672203428,0.725504976,0.725504976,0.761550506,8648.795181
1,4,23,0.678461823,0.739542432,0.647539072,0.698294181,0.698294181,0.739542432,8297.289157
1,4,24,0.6521064,0.712277886,0.624412834,0.675664803,0.675664803,0.712277886,8162.951807
1,5,1,0.635405562,0.70032223,0.611678589,0.662110779,0.662110779,0.70032223,8297.289157
1,5,2,0.62921462,0.687095355,0.598536066,0.652655426,0.652655426,0.687095355,8386.295181
1,5,3,0.624419798,0.687243908,0.595286468,0.635961388,0.635961388,0.687243908,8097.138554
1,5,4,0.625080567,0.692170491,0.596955383,0.626055639,0.626055639,0.692170491,7906.626506
1,5,5,0.636068599,0.705311228,0.608924953,0.627412522,0.627412522,0.705311228,8182.680723
1,5,6,0.661521918,0.724540986,0.639207649,0.643105301,0.643105301,0.724540986,8277.861446
1,5,7,0.69673475,0.762788944,0.674767266,0.676040247,0.676040247,0.762788944,7989.608434
1,5,8,0.711891859,0.782724356,0.704049454,0.689302437,0.689302437,0.782724356,8143.373494
1,5,9,0.711932696,0.781887377,0.716014639,0.690748625,0.690748625,0.781887377,8317.756024
1,5,10,0.702667766,0.766762579,0.717462701,0.68341494,0.68341494,0.766762579,8207.53012
1,5,11,0.689061193,0.762899301,0.711182165,0.669606899,0.669606899,0.762899301,7947.138554
1,5,12,0.674065448,0.743644636,0.696715983,0.65612532,0.65612532,0.743644636,8306.024096
1,5,13,0.669004759,0.729426024,0.694624541,0.641063825,0.641063825,0.729426024,8227.108434
1,5,14,0.661613801,0.714530407,0.689855274,0.629924214,0.629924214,0.714530407,7744.563253
1,5,15,0.653748678,0.704978286,0.68175256,0.623102436,0.623102436,0.704978286,7599.096386
1,5,16,0.655431084,0.694997537,0.68115631,0.622424222,0.622424222,0.694997537,7873.042169
