Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,3.966999561256356e8,5.151881636208262e7,4.482187724877182e8
BGE,2.272140200104355e8,0.0,2.272140200104355e8
PEPCO,7.893486010249155e8,0.0,7.893486010249155e8
DPL_MD,1.9744718811111665e8,0.0,1.9744718811111665e8
APS,0.0,3.964546979108628e7,3.964546979108628e7
DPL,0.0,0.0,0.0
