Month,Day,Period,AE_NJ,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,AP_MD,AP_PA,AP_VA,AP_WV,ATSI_PA,ATSI_OH,BC_MD,CE_IL,DAY_OH,DEOK_OH,DOM_NC,DOM_VA,DPL_DE,DPL_MD,DUQ_PA,EKPC_KY,JC_NJ,ME_PA,OVEC_OH,PE_PA,PEP_MD,PL_PA,PN_PA,PS_NJ,RECO_NJ,NI
1,1,13,0.219775299,0.192026533,0.192026533,0.192026533,0.192026533,0.192026533,0.192026533,0.192026533,0.233843778,0.233843778,0.233843778,0.233843778,0.17848105,0.17848105,0.214154479,0.195878265,0.201856148,0.171590403,0.152445687,0.152445687,0.209340645,0.209340645,0.17544339,0.123051425,0.179556913,0.240430023,0.431192661,0.209266241,0.184935807,0.279143364,0.298629283,0.159132074,0.103331043,0
1,1,14,0.226903033,0.195635803,0.195635803,0.195635803,0.195635803,0.195635803,0.195635803,0.195635803,0.229724915,0.229724915,0.229724915,0.229724915,0.182935783,0.182935783,0.214366954,0.204627165,0.206032483,0.175280533,0.148139933,0.148139933,0.211270911,0.211270911,0.176824369,0.113396606,0.177632507,0.22906087,0.467889908,0.208458495,0.181384565,0.264449918,0.287692432,0.162756519,0.10497174,0
1,1,15,0.22816115,0.18940604,0.18940604,0.18940604,0.18940604,0.18940604,0.18940604,0.18940604,0.213370814,0.213370814,0.213370814,0.213370814,0.18975292,0.18975292,0.215345354,0.214371048,0.204640371,0.167450938,0.145287428,0.145287428,0.199704567,0.199704567,0.168982317,0.117876727,0.174796606,0.219502209,0.440366972,0.211620681,0.181768277,0.251193279,0.281595637,0.16161724,0.103005534,0
1,1,16,0.235214258,0.191693994,0.191693994,0.191693994,0.191693994,0.191693994,0.191693994,0.191693994,0.218373047,0.218373047,0.218373047,0.218373047,0.193403335,0.193403335,0.217796314,0.218737006,0.20324826,0.170273695,0.14662337,0.14662337,0.198886075,0.198886075,0.179898315,0.113737104,0.183031698,0.219326883,0.366972477,0.219725685,0.18159701,0.251871482,0.281268217,0.168302068,0.108190663,0
1,1,17,0.263600338,0.210875167,0.210875167,0.210875167,0.210875167,0.210875167,0.210875167,0.210875167,0.238635282,0.238635282,0.238635282,0.238635282,0.215706409,0.215706409,0.237952369,0.224621129,0.212064965,0.179117548,0.162564881,0.162564881,0.219007577,0.219007577,0.200110717,0.121685017,0.214106543,0.248269239,0.357798165,0.245511923,0.198482985,0.27895399,0.31491725,0.197594299,0.144581918,0
1,1,18,0.299469103,0.240641334,0.240641334,0.240641334,0.240641334,0.240641334,0.240641334,0.240641334,0.267449129,0.267449129,0.267449129,0.267449129,0.244591338,0.244591338,0.273553348,0.258835937,0.240835267,0.214903252,0.209717451,0.209717451,0.255277725,0.255277725,0.224762534,0.138220084,0.249702193,0.275435441,0.403669725,0.263709464,0.234517081,0.31470297,0.353993209,0.229578026,0.179963767,0
1,1,19,0.295321623,0.240825948,0.240825948,0.240825948,0.240825948,0.240825948,0.240825948,0.240825948,0.257073367,0.257073367,0.257073367,0.257073367,0.237923878,0.237923878,0.271710283,0.286763826,0.243155452,0.215228943,0.21302417,0.21302417,0.251586022,0.251586022,0.210060924,0.141819934,0.248619714,0.263213069,0.376146789,0.255440515,0.227354272,0.29383681,0.339722693,0.229541361,0.18352135,0
1,1,20,0.280719815,0.234574751,0.234574751,0.234574751,0.234574751,0.234574751,0.234574751,0.234574751,0.244517353,0.244517353,0.244517353,0.244517353,0.23060099,0.23060099,0.251908584,0.285749585,0.234338747,0.202779249,0.198786055,0.198786055,0.232270878,0.232270878,0.200818804,0.133874058,0.234547912,0.24042534,0.339449541,0.244252217,0.216562324,0.279238383,0.322002839,0.218299558,0.172171277,0
1,1,21,0.26698338,0.217043678,0.217043678,0.217043678,0.217043678,0.217043678,0.217043678,0.217043678,0.217925268,0.217925268,0.217925268,0.217925268,0.219839993,0.219839993,0.234367517,0.273691963,0.22412993,0.176485062,0.180543368,0.180543368,0.210706877,0.210706877,0.19410838,0.129381715,0.220137495,0.222935898,0.302752294,0.220347409,0.204506196,0.253326452,0.289875881,0.208415076,0.158023141,0
1,1,22,0.247677268,0.205459111,0.205459111,0.205459111,0.205459111,0.205459111,0.205459111,0.205459111,0.192154377,0.192154377,0.192154377,0.192154377,0.199984533,0.199984533,0.206271219,0.264528966,0.215313225,0.162214784,0.158005948,0.158005948,0.183836723,0.183836723,0.173989037,0.111846539,0.202193622,0.191065021,0.302752294,0.198535722,0.174788538,0.219327024,0.258031249,0.192723924,0.141113109,0
1,1,23,0.223653935,0.179092255,0.179092255,0.179092255,0.179092255,0.179092255,0.179092255,0.179092255,0.16126361,0.16126361,0.16126361,0.16126361,0.172341399,0.172341399,0.170198919,0.246077968,0.192575406,0.138576015,0.126191638,0.126191638,0.149224704,0.149224704,0.149421928,0.094598563,0.17545833,0.15522147,0.256880734,0.161696552,0.148706314,0.176767437,0.208404677,0.172552335,0.115453789,0
1,1,24,0.191058186,0.14296334,0.14296334,0.14296334,0.14296334,0.14296334,0.14296334,0.14296334,0.122903496,0.122903496,0.122903496,0.122903496,0.13716281,0.13716281,0.131671737,0.217936315,0.167981439,0.102447887,0.090324679,0.090324679,0.108544549,0.108544549,0.111821121,0.080105809,0.140785491,0.112733211,0.229357798,0.129385889,0.119083863,0.126521029,0.167309306,0.142647945,0.05227544,0
1,2,1,0.163639851,0.117137182,0.117137182,0.117137182,0.117137182,0.117137182,0.117137182,0.117137182,0.100356969,0.100356969,0.100356969,0.100356969,0.116934996,0.116934996,0.098102305,0.191104677,0.149883991,0.075051743,0.061515092,0.061515092,0.077585753,0.077585753,0.082449517,0.058935478,0.110845509,0.061820968,0.23853211,0.099714602,0.080810701,0.088864796,0.115718218,0.11341831,0.051755941,0
1,2,2,0.147635936,0.101058922,0.101058922,0.101058922,0.101058922,0.101058922,0.101058922,0.101058922,0.075376713,0.075376713,0.075376713,0.075376713,0.099250118,0.099250118,0.074286882,0.169857906,0.138283063,0.058193603,0.033105726,0.033105726,0.057436864,0.057436864,0.070863013,0.049209028,0.092321003,0.050043936,0.311926606,0.075660909,0.055154416,0.059906708,0.098408128,0.095134645,0.032859975,0
1,2,3,0.134891166,0.091844525,0.091844525,0.091844525,0.091844525,0.091844525,0.091844525,0.091844525,0.068655961,0.068655961,0.068655961,0.068655961,0.088367802,0.088367802,0.056598167,0.155393947,0.13549884,0.049691554,0.019336396,0.019336396,0.04541118,0.04541118,0.056266394,0.043192758,0.080500698,0.037400677,0.302752294,0.063309938,0.042136778,0.051222959,0.080111858,0.081095113,0.022654115,0
1,2,4,0.129646302,0.087673671,0.087673671,0.087673671,0.087673671,0.087673671,0.087673671,0.087673671,0.062344657,0.062344657,0.062344657,0.062344657,0.08262821,0.08262821,0.051264837,0.146849714,0.140139211,0.053112702,0.01138243,0.01138243,0.040327937,0.040327937,0.050501477,0.044256689,0.073910486,0.029122365,0.23853211,0.057526345,0.03681752,0.046861814,0.082617498,0.074202421,0.017998349,0
1,2,5,0.129947676,0.090525791,0.090525791,0.090525791,0.090525791,0.090525791,0.090525791,0.090525791,0.065780458,0.065780458,0.065780458,0.065780458,0.086505504,0.086505504,0.047386996,0.144113564,0.147563805,0.059545018,0.014747211,0.014747211,0.042525487,0.042525487,0.053608233,0.043381509,0.076230293,0.034038263,0.23853211,0.055033288,0.044429873,0.055461619,0.096627908,0.071786403,0.017801071,0
1,2,6,0.135576672,0.101783217,0.101783217,0.101783217,0.101783217,0.101783217,0.101783217,0.101783217,0.079263473,0.079263473,0.079263473,0.079263473,0.106327483,0.106327483,0.066369479,0.145320321,0.168909513,0.078117141,0.020671894,0.020671894,0.052107831,0.052107831,0.057108701,0.053690847,0.081914876,0.048230324,0.302752294,0.064860227,0.046306472,0.072412938,0.112517874,0.077924037,0.021598677,0
1,2,7,0.147649809,0.129748622,0.129748622,0.129748622,0.129748622,0.129748622,0.129748622,0.129748622,0.102180941,0.102180941,0.102180941,0.102180941,0.129956512,0.129956512,0.083233209,0.152753877,0.20324826,0.114555776,0.039697936,0.039697936,0.07372314,0.07372314,0.078150884,0.070289397,0.095375034,0.070150786,0.220183486,0.084516843,0.057813914,0.108186282,0.154812476,0.089727951,0.029654204,0
1,2,8,0.158124229,0.155598639,0.155598639,0.155598639,0.155598639,0.155598639,0.155598639,0.155598639,0.136951402,0.136951402,0.136951402,0.136951402,0.169387377,0.169387377,0.105627057,0.17383329,0.239907193,0.154382711,0.060298233,0.060298233,0.096047045,0.096047045,0.112825089,0.086151274,0.110328157,0.107552503,0.23853211,0.101257875,0.077425743,0.145558122,0.216681654,0.10031312,0.03874873,0
1,2,9,0.170935015,0.184881292,0.184881292,0.184881292,0.184881292,0.184881292,0.184881292,0.184881292,0.170705836,0.170705836,0.170705836,0.170705836,0.194785354,0.194785354,0.124344926,0.185870374,0.279814385,0.192582431,0.089563439,0.089563439,0.126206763,0.126206763,0.137677342,0.125587683,0.124102623,0.145817325,0.19266055,0.128906205,0.097712675,0.182752106,0.259853295,0.107312184,0.047448699,0
1,2,10,0.18605777,0.218067735,0.218067735,0.218067735,0.218067735,0.218067735,0.218067735,0.218067735,0.204361529,0.204361529,0.204361529,0.204361529,0.218709536,0.218709536,0.156128507,0.198676028,0.311832947,0.237840128,0.12318329,0.12318329,0.162244295,0.162244295,0.159441333,0.154130508,0.142296686,0.182189455,0.183486239,0.157694278,0.126061504,0.22419073,0.296294215,0.120309747,0.062777217,0
