Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
28,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
28,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
28,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
326.4,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
355.3,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
598.4,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
32.5,0,Oil,1,0,40,0.82,0.98,PS_IL,0.07,1,1,0
625.1,0,Coal,1,0,23.57,1.01,0.95,AEP_IL,0.07,0.36,0.36,0.06
634.5,0,Coal,1,0,23.57,1.01,0.95,AEP_IL,0.07,0.36,0.36,0.06
18,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
18,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
18,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
18,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
0.9,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
0.9,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
0.9,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
0.9,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
0.6,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
0.5,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
1.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
1.1,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
0.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
3.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
2.2,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
2.2,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
5.6,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
1.5,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
1.5,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
1.2,0,SolarPV,0,1,0,0,0.35,CE_IL,0,1,1,0
3.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
1.6,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
4.4,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
4.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
2.3,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3.4,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
3.4,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
4.4,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
5.6,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
7,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
8.8,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
2.4,0,Oil,1,0,40,0.82,0.98,AEP_IL,0.07,1,1,0
1.1,0,Oil,1,0,40,0.82,0.98,AEP_IL,0.07,1,1,0
