Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH,NI
0,0,13,0.216965207,0.216965207,0.216965207,0.523635322,0.523635322,0.523635322,0.523635322,0.216965207,0.216965207,0.230909973,0.649696078,0.230909973,0.216965207,0.175130909,0.216965207,0.523635322,0.230909973,0.230909973,0.230909973,0.216965207,0.216965207,0.230909973,0.530522519,0.230909973,0.230909973,0.216965207,0.216965207,0.230909973,0.216965207,0.216965207,0.216965207,0.216965207,0.230909973,0
0,0,14,0.191096174,0.191096174,0.191096174,0.573234066,0.573234066,0.573234066,0.573234066,0.191096174,0.191096174,0.202126491,0.66151634,0.202126491,0.191096174,0.158005221,0.191096174,0.573234066,0.202126491,0.202126491,0.202126491,0.191096174,0.191096174,0.202126491,0.579155394,0.202126491,0.202126491,0.191096174,0.191096174,0.202126491,0.191096174,0.191096174,0.191096174,0.191096174,0.202126491,0
0,0,15,0.127034764,0.127034764,0.127034764,0.606304196,0.606304196,0.606304196,0.606304196,0.127034764,0.127034764,0.131239386,0.657431373,0.131239386,0.127034764,0.114420896,0.127034764,0.606304196,0.131239386,0.131239386,0.131239386,0.127034764,0.127034764,0.131239386,0.61119206,0.131239386,0.131239386,0.127034764,0.127034764,0.131239386,0.127034764,0.127034764,0.127034764,0.127034764,0.131239386,0
0,0,16,0.085980226,0.085980226,0.085980226,0.596460396,0.596460396,0.596460396,0.596460396,0.085980226,0.085980226,0.085548741,0.513905229,0.085548741,0.085980226,0.087274682,0.085980226,0.596460396,0.085548741,0.085548741,0.085548741,0.085980226,0.085980226,0.085548741,0.596944903,0.085548741,0.085548741,0.085980226,0.085980226,0.085548741,0.085980226,0.085980226,0.085980226,0.085980226,0.085548741,0
0,0,17,0.101853483,0.101853483,0.101853483,0.622498771,0.622498771,0.622498771,0.622498771,0.101853483,0.101853483,0.102833287,0.443372549,0.102833287,0.101853483,0.098914072,0.101853483,0.622498771,0.102833287,0.102833287,0.102833287,0.101853483,0.101853483,0.102833287,0.619978589,0.102833287,0.102833287,0.101853483,0.101853483,0.102833287,0.101853483,0.101853483,0.101853483,0.101853483,0.102833287,0
0,0,18,0.072788819,0.072788819,0.072788819,0.648250344,0.648250344,0.648250344,0.648250344,0.072788819,0.072788819,0.070295683,0.473882353,0.070295683,0.072788819,0.080268227,0.072788819,0.648250344,0.070295683,0.070295683,0.070295683,0.072788819,0.072788819,0.070295683,0.646021955,0.070295683,0.070295683,0.072788819,0.072788819,0.070295683,0.072788819,0.072788819,0.072788819,0.072788819,0.070295683,0
0,0,19,0.053194682,0.053194682,0.053194682,0.687927218,0.687927218,0.687927218,0.687927218,0.053194682,0.053194682,0.047773765,0.74269281,0.047773765,0.053194682,0.069457431,0.053194682,0.687927218,0.047773765,0.047773765,0.047773765,0.053194682,0.053194682,0.047773765,0.693367505,0.047773765,0.047773765,0.053194682,0.053194682,0.047773765,0.053194682,0.053194682,0.053194682,0.053194682,0.047773765,0
0,0,20,0.054306167,0.054306167,0.054306167,0.677319776,0.677319776,0.677319776,0.677319776,0.054306167,0.054306167,0.048152087,0.712058824,0.048152087,0.054306167,0.072768409,0.054306167,0.677319776,0.048152087,0.048152087,0.048152087,0.054306167,0.054306167,0.048152087,0.682051849,0.048152087,0.048152087,0.054306167,0.054306167,0.048152087,0.054306167,0.054306167,0.054306167,0.054306167,0.048152087,0
0,0,21,0.071540112,0.071540112,0.071540112,0.639503896,0.639503896,0.639503896,0.639503896,0.071540112,0.071540112,0.067031596,0.744771242,0.067031596,0.071540112,0.085065661,0.071540112,0.639503896,0.067031596,0.067031596,0.067031596,0.071540112,0.071540112,0.067031596,0.646330411,0.067031596,0.067031596,0.071540112,0.071540112,0.067031596,0.071540112,0.071540112,0.071540112,0.071540112,0.067031596,0
0,0,22,0.129788707,0.129788707,0.129788707,0.612478275,0.612478275,0.612478275,0.612478275,0.129788707,0.129788707,0.131789503,0.678271242,0.131789503,0.129788707,0.123786319,0.129788707,0.612478275,0.131789503,0.131789503,0.131789503,0.129788707,0.129788707,0.131789503,0.617876302,0.131789503,0.131789503,0.129788707,0.129788707,0.131789503,0.129788707,0.129788707,0.129788707,0.129788707,0.131789503,0
