Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF
EKPC_KY,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
JC_NJ,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
JC_NJ,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
JC_NJ,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
ME_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
ME_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
ME_PA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AP_MD,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
OVEC_OH,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
OVEC_OH,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
OVEC_OH,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
PL_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
PL_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
PL_PA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
PE_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
PE_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
PE_PA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
PN_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
PN_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
PN_PA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
PS_NJ,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
PS_NJ,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
PS_NJ,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
RECO_NJ,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
RECO_NJ,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
RECO_NJ,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
BC_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
BC_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
BC_PA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AE_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_WV,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_KY,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_TN,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
