From_state,To_state,RPS
PA,OH,0.5
PA,WV,0.5
PA,MD,0.5
PA,NJ,0.5
PA,DE,0.5
OH,PA,0.5
OH,WV,0.5
OH,KY,0.5
OH,IN,0.5
NJ,PA,0.5
NJ,DE,0.5
IN,OH,0.5
KY,OH,0.5
KY,WV,0.5
KY,VA,0.5
WV,KY,0.5
WV,OH,0.5
WV,VA,0.5
WV,PA,0.5
WV,MD,0.5
MD,MD,1
DE,MD,0.5
DE,PA,0.5
DE,NJ,0.5
VA,MD,0.5
VA,WV,0.5
VA,TN,0.5
VA,KY,0.5
VA,NC,0.5
TN,VA,0.5
NC,VA,0.5
MI,MI,0.5
IL,IL,0.5
