Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF,Flag_RPS
RECO_NJ,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
RECO_NJ,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AE_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_WV,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_KY,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_TN,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_IN,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AEP_MI,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AP_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AP_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AP_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AP_WV,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
ATSI_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
ATSI_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
BC_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
CE_IL,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DAY_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DPL_DE,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DPL_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DPL_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DOM_NC,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DOM_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DEOK_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DEOK_KY,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
DUQ_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
