Time Period,Month,Day,Hours,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,NI
1,1,1,1,0.4260243363088002,0.4260031266284523,0.40331010452961674,0.3810824584649883,0.5158648925281474,0.4085338845415621,0.5712766622881091,0.46901999506294745,0.4677497969130788,0.43592447524354727,0.42102893166722954,0.444882498453927,0.5142532119914347,0.4317825405122844,0.4368155530946229,0.4267808009782941,0.46968103750438134,0.4369429361745723,0.48687782805429863,0.5091549295774648,0.588421052631579,0.5293535620052771,0.5295684603090037,0.5296597410418549,0.5345012165450121,0.534477279949158,0.5294408708560119,0.5294117647058824,0.5289017341040463,0.5511903023221849,0.4688188523804962,0.49946169772256727,0.5349648027626511,0.5594539831502613,0.40957510953893156,0.5180201826045171,0.5368020304568528,0.5510204081632653,0.4977002033504406,0.502203819954588,0.42058623040218135,0.4947447447447447,0.43047619047619046,0.3534407027818448,0.40654117941342005,0.4152253612249299,0.4618937644341801,0.5169491525423728,0.5733493077742279,0.5766171792152704,0.5765238221985627,0.576647262296465,0.729483282674772,0.5733144743045733,0.5219211822660098,0.5297646515920628,0.5291502820995042,0.6252723311546841,0.7576865772721116,0.6161013790532985,0.7092074592074592,0.49708943376256837,0.5205893961320879,0.57847533632287,0.0
1,1,1,2,0.40240584441897354,0.40229286086503385,0.37630662020905925,0.3655896442768321,0.4919822586148072,0.3925882179241104,0.5583911928441859,0.4512466057763515,0.44922826969943136,0.4182986843426735,0.40718225824608806,0.42493815708101423,0.4890926124197002,0.40913051054190624,0.41762027808539437,0.40828492815652706,0.4539081668419208,0.4175801659666018,0.45429864253393665,0.47788732394366196,0.5663157894736842,0.5,0.49973361747469364,0.49984944293887384,0.5034549878345499,0.5033365109628217,0.500247402276101,0.5,0.5,0.5378998101358259,0.45128843758980747,0.4870393374741201,0.5239075574445478,0.5467633571504745,0.3940989669172328,0.5044278162971099,0.5281000725163162,0.5378151260504201,0.49828120460927666,0.4999332175771337,0.40627130197682343,0.4876438938938939,0.42482539682539683,0.3371888726207906,0.38884372459508476,0.3961181798576666,0.43615968327284727,0.4915254237288136,0.5352103301384451,0.5371155885471898,0.5371306893798243,0.5371635872774825,0.6899696048632219,0.5346534653465347,0.4891625615763547,0.5099215505306876,0.5093178321080527,0.5857214680744093,0.7161948620705224,0.584793142005218,0.675990675990676,0.47062974069500796,0.4925667675305881,0.5381165919282511,0.0
1,1,1,3,0.3880147731351232,0.3879624804585722,0.3623693379790941,0.35352155743553154,0.481064483111566,0.39583640927210983,0.5446925627071996,0.44705011108368303,0.4446791226645004,0.40720096414582707,0.40256670043904086,0.4134972170686456,0.47330032119914345,0.3950165534065168,0.4049464747139166,0.3968205441760929,0.4458464773922187,0.40497899805347815,0.4443438914027149,0.46816901408450706,0.56,0.47922163588390504,0.4789557805007991,0.4790725685034628,0.4826277372262774,0.48268191928821097,0.47946561108362196,0.47908496732026146,0.4797687861271676,0.5010953702351395,0.382124724590478,0.4425672877846791,0.5062757338291938,0.5052788738402474,0.39731478876070264,0.4905608567309673,0.4766588107324148,0.5012004801920769,0.5049385107001065,0.5054093762521704,0.4021813224267212,0.4854542042042042,0.42264550264550266,0.32664714494875546,0.380589081358264,0.38524908345913306,0.41999340151765097,0.4848931466470155,0.4972710330138445,0.49796747967479676,0.497737556561086,0.4979330127393909,0.6678245766391663,0.4969354078264969,0.4773399014778325,0.47992616520535303,0.4790562489314413,0.5540472599296129,0.6729874937920448,0.562616474096161,0.657051282051282,0.451872758276004,0.47243783712669385,0.4977578475336323,0.0
1,1,1,4,0.38007247635256386,0.38014590932777487,0.3554006968641115,0.3498725919885842,0.4756055953599454,0.3825483537575668,0.5572652780384062,0.44680325845470253,0.4446791226645004,0.4044893040072311,0.4012158054711246,0.40854978354978355,0.466541755888651,0.388743683568566,0.4038390550018457,0.39544481809844084,0.44514546091833157,0.4037496158180514,0.43493212669683257,0.45901408450704223,0.5536842105263158,0.466688654353562,0.4667021843367075,0.4664257753688648,0.47231143552311433,0.47219574197648556,0.46660069272637306,0.46601307189542485,0.4653179190751445,0.5343946253833796,0.44953220295686047,0.4867080745341615,0.5244720414397662,0.545590274074864,0.38352695260682557,0.5008581039335485,0.533040246555475,0.5342136854741897,0.524619928343178,0.5159609990650461,0.4001363326516701,0.48704954954954954,0.42165079365079366,0.3238653001464129,0.37771246326058405,0.3819711020056071,0.4097657538766084,0.48268238761974946,0.4741080937167199,0.4742841993637328,0.4743146127229172,0.47431030118957224,0.6487190620929223,0.4738330975954738,0.45985221674876847,0.46146746654360865,0.4611044623012481,0.5356125356125356,0.64300871371168,0.5479873276183377,0.6453962703962703,0.43729052742988184,0.4586238652808841,0.47085201793721976,0.0
1,1,1,5,0.3781390017713869,0.37806149035956227,0.35627177700348434,0.3548058301906024,0.49061753667690206,0.3798907426546582,0.5624569963095015,0.450012342631449,0.4480909829406986,0.4055940544340665,0.40436789372959586,0.40970933828076683,0.4684154175588865,0.3866527269559157,0.4023624953857512,0.394833384286151,0.4454959691552752,0.40231533654338697,0.4267873303167421,0.4491549295774648,0.5515789473684211,0.4620712401055409,0.4619072988811934,0.4619090635350798,0.46763990267639904,0.4677470606927232,0.46214745175655614,0.4620915032679739,0.4624277456647399,0.5349788228421206,0.44854232525465404,0.48737060041407865,0.5296520122194183,0.5478297963101205,0.3807131084937894,0.5016132353950711,0.543600435097897,0.5351140456182473,0.5503050256608889,0.5346600774676106,0.40354464894342196,0.4955580580580581,0.4285079365079365,0.3260614934114202,0.37940091301357015,0.38084968729782187,0.4067964368195315,0.49078850405305824,0.45420660276890307,0.4545775892541534,0.454618046313548,0.45456846368008097,0.6452453321754233,0.45403111739745405,0.4517241379310345,0.44900784494693124,0.4487946657548299,0.5270655270655271,0.62526524899544,0.5464964591874767,0.6448135198135199,0.4318809901805139,0.4533613998158137,0.45739910313901344,0.0
1,1,1,6,0.38047769557616384,0.38066701406982806,0.3641114982578397,0.37048211191519725,0.5114295462299556,0.3791525173482947,0.5715894164008257,0.46309553196741543,0.4609260763606824,0.4138796826353319,0.4134864347630305,0.4172850958565244,0.47724839400428265,0.3882209444154034,0.40125507567368035,0.39544481809844084,0.4525061338941465,0.4011884028275791,0.4244343891402715,0.4467605633802817,0.5463157894736842,0.4640501319261214,0.4640383590836441,0.4637157482685938,0.46909975669099757,0.4690181124880839,0.46412666996536367,0.46405228758169936,0.4624277456647399,0.5454943770994596,0.45543953763131845,0.4985507246376812,0.5417718156461682,0.5594539831502613,0.3798689552598786,0.5113612960801812,0.5600525743292241,0.5453181272509003,0.5820422194248087,0.5558968879390944,0.4124062713019768,0.512012012012012,0.44353439153439156,0.33118594436310395,0.38609217684947783,0.3848609014448997,0.4091059056417024,0.5243183492999263,0.4513445154419595,0.45227995758218453,0.45195634815011976,0.45229055935206275,0.6539296569691706,0.4512022630834512,0.4433497536945813,0.44485463774803874,0.4443494614464011,0.5165074576839283,0.6195313558174184,0.5461237420797614,0.6518065268065268,0.43358617040042335,0.4544138929088278,0.452914798206278,0.0
1,1,1,7,0.39213643152374006,0.3921313183949974,0.4024390243902439,0.3964733462440118,0.5271238485158649,0.38697770559574785,0.5887283417776944,0.4803752159960504,0.4783103168155971,0.43085266646580295,0.43037262186198355,0.43467841682127395,0.49511509635974305,0.3998954521693675,0.4128214593330872,0.40660348517273004,0.46635120925341744,0.4128675340641328,0.43149321266968327,0.45471830985915496,0.5526315789473685,0.4746042216358839,0.4746936600958977,0.4748569707919301,0.4837956204379562,0.4836352081347315,0.47501237011380504,0.47516339869281043,0.47398843930635837,0.5675478311669344,0.4722993901076093,0.5173498964803313,0.5594036392615221,0.5806761224272156,0.38750653213811953,0.5282487814924144,0.5863397389412618,0.5675270108043218,0.6112859494528905,0.570188326432483,0.4294478527607362,0.5324386886886887,0.4655873015873016,0.3443631039531479,0.3999749859295854,0.3963769678671555,0.41933355328274496,0.5408990420044215,0.44588658146964855,0.44759632378932485,0.4474314612722917,0.4476503838690627,0.6561007381676075,0.446016030174446,0.44852216748768475,0.4397784956160591,0.44007522653445036,0.5193564605329312,0.6173190663235361,0.5549757733879985,0.6724941724941725,0.43787852060916094,0.4620444678331798,0.4484304932735426,0.0
1,1,1,8,0.40768527201787597,0.4075039082855654,0.4712543554006969,0.4458668841096728,0.5417946093483452,0.3964269895172006,0.5940451616938762,0.4937052579609973,0.4917952883834281,0.4366274982424425,0.4481594056062141,0.4420222634508349,0.5137178800856531,0.41470639484230704,0.4259874492432632,0.42173647202690306,0.4819488257974062,0.4259809445753509,0.4465158371040724,0.47119718309859154,0.5736842105263158,0.487467018469657,0.48694725625998936,0.4872026498042758,0.4975182481751825,0.4972990149348586,0.487382483918852,0.4869281045751634,0.4884393063583815,0.5858040017525924,0.48344349714212725,0.5344927536231884,0.5741798379598885,0.6012583982083822,0.3963098444346183,0.5454795084780668,0.6110406091370558,0.5858343337334934,0.6039023917885156,0.572859623347135,0.44717109747784595,0.5482357357357357,0.48624338624338626,0.36076134699853585,0.41667187793133637,0.41358637049816693,0.43451006268558234,0.5523212969786293,0.4410276890308839,0.4431778013432308,0.4431727442108065,0.44309457521302625,0.6704298740772905,0.4408297972654408,0.45935960591133007,0.4379326257498846,0.43836553256967004,0.5352773588067705,0.6289674477403043,0.5631755497577339,0.6850233100233101,0.4514611630505086,0.47599000131561636,0.4439461883408072,0.0
1,1,1,9,0.4160327880240353,0.41610213652944245,0.5165505226480837,0.494445010702273,0.5499829409757762,0.40115163147792704,0.5976731094013886,0.49987657368550975,0.4981316003249391,0.4499849352214522,0.4614432061240572,0.4556277056277056,0.5264989293361885,0.42446419236800836,0.43903039251876463,0.43564659125649646,0.4966701717490361,0.439094355086569,0.4642533936651584,0.48859154929577464,0.6105263157894737,0.5052770448548812,0.5050612679808204,0.5052694971394158,0.5176642335766424,0.5176358436606292,0.5051954477981198,0.5052287581699346,0.5057803468208093,0.5996786913976924,0.4943640834051793,0.540703933747412,0.5800239075574446,0.6138423802922043,0.40093258833460627,0.5563945905128029,0.6180656272661349,0.5999399759903962,0.5697201510603273,0.5561640176305597,0.4608043626448534,0.5555868368368369,0.5051428571428571,0.37086383601756956,0.42811581514601965,0.42863920638343755,0.44341801385681295,0.5571112748710391,0.4433572949946752,0.44565217391304346,0.44556827255789194,0.44562558002193536,0.6956144159791576,0.4431871758604432,0.48004926108374385,0.44300876788186433,0.44298170627457684,0.5560583207642031,0.6577723599259561,0.5757547521431233,0.6876456876456877,0.47168812841771035,0.48546243915274306,0.4439461883408072,0.0
1,1,1,10,0.42918504625287995,0.4293903074517978,0.5,0.5320966262358577,0.5551006482429205,0.40735272405138045,0.5937324075811596,0.5030856578622562,0.5015434606011373,0.46073114391885106,0.47225036586738717,0.46683673469387754,0.5358003211991434,0.4387523958877853,0.45601082810385135,0.4518495872821767,0.5043813529617946,0.4559983608236861,0.49140271493212667,0.5163380281690141,0.6605263157894737,0.5273746701846965,0.527437400106553,0.5269497139415839,0.540632603406326,0.540514775977121,0.5269668480950025,0.5274509803921569,0.5260115606936416,0.6043522710676209,0.4950027141807964,0.5346583850931677,0.5740802231372029,0.6122427215527354,0.4069220565180689,0.5577675568064804,0.5963107324147934,0.6044417767106842,0.5361189115909751,0.5345265126218779,0.4710293115201091,0.5472972972972973,0.5074285714285715,0.3850658857979502,0.44206115940216373,0.4416648695277119,0.45496535796766746,0.5567428150331614,0.45101171458998934,0.4544008483563097,0.4543518764972052,0.45448409685311736,0.7194963091619626,0.4507307873644507,0.50935960591133,0.44347023534840796,0.44417849204992305,0.5808614043908161,0.6970066368684816,0.5769660827431979,0.6893939393939394,0.4816840124654554,0.49467175371661626,0.452914798206278,0.0
