Zone_id,Demand (MW),State,Zonal PRM
z1,86373.0,z1,0.138
z2,3838.0,z2,0.138
z3,1148.0,z3,0.138
z4,49055.0,z4,0.186
z5,2931.0,z5,0.152
z6,6773.0,z6,0.152
z7,15987.0,z7,0.152
z8,4051.0,z8,0.152
z9,6155.0,z9,0.152
z10,19914.0,z10,0.152
z11,8883.0,z11,0.152
z12,12936.0,z12,0.152
z13,14944.0,z13,0.152
z14,5739.0,z14,0.152
z15,8127.0,z15,0.152
z16,6542.0,z16,0.152
z17,5706.0,z17,0.152
z18,9761.0,z18,0.152
z19,5525.0,z19,0.159
z20,14200.0,z20,0.159
z21,1900.0,z21,0.159
z22,3032.0,z22,0.15
z23,1877.0,z23,0.15
z24,3321.0,z24,0.15
z25,10275.0,z25,0.15
z26,3147.0,z26,0.15
z27,2021.0,z27,0.15
z28,1530.0,z28,0.15
z29,346.0,z29,0.15
z30,6847.0,z30,0.165
z31,31317.0,z31,0.165
z32,12075.0,z32,0.165
z33,30116.0,z33,0.165
z34,9377.0,z34,0.165
z35,24877.0,z35,0.165
z36,14567.0,z36,0.165
z37,22064.0,z37,0.165
z38,3332.0,z38,0.165
z39,41308.0,z39,0.15
z40,7487.0,z40,0.15
z41,1467.0,z41,0.15
z42,31968.0,z42,0.15
z43,47250.0,z43,0.15
z44,6830.0,z44,0.12
z45,15991.0,z45,0.12
z46,23185.0,z46,0.12
z47,3031.0,z47,0.12
z48,2714.0,z48,0.12
z49,15024.0,z49,0.162
z50,11316.0,z50,0.162
z51,3757.0,z51,0.162
z52,11853.0,z52,0.162
z53,2303.0,z53,0.163
z54,2121.0,z54,0.163
z55,4060.0,z55,0.163
z56,2167.0,z56,0.163
z57,5849.0,z57,0.163
z58,5967.0,z58,0.163
z59,22149.0,z59,0.163
z60,10732.0,z60,0.141
z61,3432.0,z61,0.141
z62,17007.0,z62,0.158
z63,7601.0,z63,0.158
z64,223.0,z64,0.158
