Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,3,10,0.458859176,0.485562314,0.487979979,0.571382999,0.487979979,0.571382999,-3551.6
1,3,11,0.485124897,0.509488242,0.525772703,0.59092331,0.525772703,0.59092331,-3630.5
1,3,12,0.504256202,0.533159939,0.551336446,0.59405017,0.551336446,0.59405017,-3933.4
1,3,13,0.516515711,0.540792659,0.563970693,0.590869436,0.563970693,0.590869436,-4539
1,3,14,0.498294044,0.519076147,0.569406459,0.567438478,0.569406459,0.567438478,-5036.1
1,3,15,0.489189054,0.503489111,0.57199025,0.546802123,0.57199025,0.546802123,-5095.6
1,3,16,0.47566011,0.509599901,0.57342151,0.523930227,0.57342151,0.523930227,-5082.8
1,3,17,0.479615406,0.520076463,0.597352942,0.560621458,0.597352942,0.560621458,-5238.7
1,3,18,0.546880031,0.604980404,0.650130314,0.63602078,0.650130314,0.63602078,-5759.39
1,3,19,0.539224065,0.610880103,0.648741233,0.650606374,0.648741233,0.650606374,-6195.7
1,3,20,0.518014246,0.592028889,0.630029402,0.649218347,0.630029402,0.649218347,-6222.6
1,3,21,0.4911421,0.566760746,0.610459237,0.63420988,0.610459237,0.63420988,-5964.6
1,3,22,0.447751936,0.530746583,0.57420322,0.596143163,0.57420322,0.596143163,-5663.19
1,3,23,0.422155375,0.481534748,0.532434812,0.542998737,0.532434812,0.542998737,-5770.1
1,3,24,0.380563268,0.444534571,0.496780192,0.511242263,0.496780192,0.511242263,-5714.9
1,4,1,0.350234006,0.421252527,0.47982299,0.488129256,0.47982299,0.488129256,-5579.2
1,4,2,0.329890465,0.414010845,0.471243161,0.478264686,0.471243161,0.478264686,-5454.2
1,4,3,0.308167092,0.411862794,0.47164667,0.478571155,0.47164667,0.478571155,-5142.9
1,4,4,0.272593726,0.422181327,0.483281284,0.492244409,0.483281284,0.492244409,-4706.3
1,4,5,0.340372829,0.452783722,0.50557724,0.519615648,0.50557724,0.519615648,-4874.6
1,4,6,0.395306907,0.508694402,0.549795873,0.577247406,0.549795873,0.577247406,-5273.2
1,4,7,0.480199997,0.585539982,0.619299167,0.646380645,0.619299167,0.646380645,-5604.9
1,4,8,0.563264278,0.629902497,0.655970644,0.694798218,0.655970644,0.694798218,-5896
1,4,9,0.583190824,0.628016753,0.640102002,0.678129876,0.640102002,0.678129876,-5896.6
1,4,10,0.600065563,0.572170438,0.584191111,0.624441579,0.584191111,0.624441579,-5870.2
1,4,11,0.52400654,0.511799167,0.535713495,0.573670824,0.535713495,0.573670824,-5449
1,4,12,0.494377496,0.478687906,0.495276525,0.534175276,0.495276525,0.534175276,-5180.9
1,4,13,0.467669872,0.44812819,0.4668478,0.508276675,0.4668478,0.508276675,-5094.6
1,4,14,0.447429658,0.42769368,0.430172458,0.480745578,0.430172458,0.480745578,-4824.5
1,4,15,0.431497154,0.417019638,0.411617391,0.461222754,0.411617391,0.461222754,-5122.3
1,4,16,0.427300149,0.428382551,0.423572211,0.475057633,0.423572211,0.475057633,-5366
1,4,17,0.469121972,0.481326887,0.489351487,0.507918805,0.489351487,0.507918805,-5757.4
1,4,18,0.539078916,0.572838546,0.59235513,0.583614881,0.59235513,0.583614881,-6075.6
1,4,19,0.538268914,0.590011646,0.619227464,0.60426996,0.619227464,0.60426996,-6092.5
1,4,20,0.515690948,0.584923781,0.623414041,0.615326841,0.623414041,0.615326841,-5868.8
