From_zone,To_zone,Capacity (MW)
BGE,PEPCO,1500
BGE,PEPCO,1500
PEPCO,BGE,1500
PEPCO,APS_MD,1500
BGE,DPL_MD,400
PEPCO,APS_MD,400
PEPCO,APS_MD,400
APS,APS_MD,1500
APS,APS_MD,1500
APS,APS_MD,1500
APS_MD,APS,1500
APS,PEPCO,1500
DPL_MD,DPL,1500
DPL_MD,DPL,400
DPL_MD,DPL,400
DPL,DPL_MD,400
