Zone,Type,Pmax (MW),Pmin (MW),Cost ($/MWh),EF,CC
PEP_MD,Coal,1252.0,0,23.57,1.01,0.95
PEP_MD,SolarPV,59.50000000000001,0,0.0,0.0,0.35000000000000003
PEP_MD,NGCC,775.3,0,18.75,0.4000000000000001,0.98
AEP_MI,NuC,3097.1,0,35.0,0.0,0.9899999999999999
AEP_MI,Hydro,12.9,0,50.0,0.0,0.5
AEP_MI,SolarPV,4.6,0,0.0,0.0,0.35
AEP_MI,NGCC,1176.0,0,18.75,0.39999999999999997,0.9800000000000001
AEP_MI,Landfill_NG,8.8,0,15.0,0.39,0.43
AE_NJ,NGCT,1028.8,0,26.300000000000008,0.59,0.9800000000000003
AE_NJ,Oil,39.0,0,40.0,0.8200000000000001,0.9800000000000002
AE_NJ,SolarPV,272.70000000000005,0,0.0,0.0,0.3500000000000004
AE_NJ,NGCC,409.70000000000005,0,18.75,0.4,0.9800000000000001
AE_NJ,Landfill_NG,24.200000000000003,0,15.0,0.3899999999999999,0.42999999999999994
AE_NJ,Bio,0.8999999999999999,0,20.0,0.9899999999999999,0.43
AE_NJ,MSW,35.0,0,15.0,1.49,0.43
AE_NJ,NG,2.0,0,22.525,0.495,0.98
JC_NJ,NGCT,920.9000000000001,0,26.29999999999999,0.59,0.9800000000000003
JC_NJ,NuC,3630.7,0,35.0,0.0,0.9899999999999999
JC_NJ,Oil,51.0,0,40.0,0.82,0.9800000000000001
JC_NJ,Coal,285.0,0,23.57,1.01,0.95
JC_NJ,SolarPV,519.6999999999998,0,0.0,0.0,0.3500000000000009
JC_NJ,NGCC,5267.399999999999,0,18.75,0.4000000000000002,0.9800000000000001
JC_NJ,Landfill_NG,9.6,0,15.0,0.39,0.43
JC_NJ,MSW,45.0,0,15.0,1.49,0.43
JC_NJ,NG,2.0,0,22.525,0.495,0.98
JC_NJ,Other,11.2,0,20.1096,0.30925,0.7515
PS_NJ,NGCT,1566.8999999999999,0,26.299999999999983,0.59,0.98
PS_NJ,Oil,6.1,0,40.0,0.8200000000000001,0.9800000000000002
PS_NJ,Hydro,14.7,0,50.0,0.0,0.5
PS_NJ,WindOn,9.0,0,0.0,0.0,0.28
PS_NJ,SolarPV,181.60000000000002,0,0.0,0.0,0.3500000000000004
PS_NJ,NGCC,1238.0,0,18.75,0.39999999999999997,0.9800000000000003
PS_NJ,MSW,69.8,0,15.0,1.49,0.43
PS_NJ,NG,8.6,0,22.525,0.495,0.9800000000000001
RECO_NJ,NGCT,8.0,0,26.3,0.59,0.98
RECO_NJ,Oil,8.0,0,40.0,0.82,0.98
RECO_NJ,SolarPV,6.4,0,0.0,0.0,0.35000000000000003
RECO_NJ,NGCC,1400.8000000000002,0,18.75,0.39999999999999997,0.9800000000000002
PN_NY,NGCT,96.3,0,26.3,0.59,0.98
PN_NY,Coal,531.2,0,23.570000000000004,1.01,0.9499999999999998
PN_NY,WindOn,202.4,0,0.0,0.0,0.28
PN_NY,SolarPV,2.9000000000000004,0,0.0,0.0,0.35
PN_NY,Landfill_NG,9.6,0,15.0,0.39000000000000007,0.43
AEP_NC,NGCT,977.5,0,26.3,0.59,0.9800000000000001
AEP_NC,Coal,3321.3999999999996,0,23.57,1.01,0.95
AEP_NC,SolarPV,52.4,0,0.0,0.0,0.35
AEP_NC,NGCC,697.9000000000001,0,18.75,0.4000000000000001,0.98
DOM_NC,NGCT,4.0,0,26.3,0.59,0.98
DOM_NC,Oil,190.6,0,40.0,0.8200000000000002,0.9800000000000003
DOM_NC,Hydro,280.70000000000005,0,50.0,0.0,0.5
DOM_NC,WindOn,208.0,0,0.0,0.0,0.28
DOM_NC,SolarPV,1753.9000000000005,0,0.0,0.0,0.3500000000000009
DOM_NC,Bio,144.00000000000003,0,20.0,0.9900000000000001,0.43
DOM_NC,Other,54.0,0,20.1096,0.30925,0.7515
AP_OH,NGCT,827.9,0,26.300000000000008,0.59,0.9800000000000003
AP_OH,Oil,36.8,0,40.0,0.8200000000000002,0.9800000000000003
AP_OH,Coal,3574.4,0,23.569999999999997,1.01,0.9500000000000001
AP_OH,SolarPV,1.1,0,0.0,0.0,0.35
AP_OH,Landfill_NG,5.6,0,15.0,0.39000000000000007,0.43000000000000005
DEOK_OH,NGCT,1484.9999999999998,0,26.3,0.59,0.9800000000000003
DEOK_OH,Oil,71.4,0,40.0,0.8200000000000001,0.9800000000000002
DEOK_OH,Coal,2540.4,0,23.570000000000004,1.01,0.9499999999999998
DEOK_OH,Hydro,2.2,0,50.0,0.0,0.5
DEOK_OH,SolarPV,201.4,0,0.0,0.0,0.35
DEOK_OH,NGCC,1267.5,0,18.75,0.39999999999999997,0.9800000000000002
DEOK_OH,Landfill_NG,4.800000000000001,0,15.0,0.38999999999999996,0.43
DEOK_OH,NG,67.0,0,22.525,0.495,0.98
ATSI_OH,NGCT,1023.2000000000002,0,26.299999999999983,0.59,0.9799999999999998
ATSI_OH,NuC,2236.8,0,35.0,0.0,0.99
