Zone,State,Emissions_ton
APS_MD,MD,952659.8946496919
BGE,MD,1.07259533783278e6
PEPCO,MD,1.5776411989435293e6
DPL_MD,MD,464171.7362751959
APS,NMD,0
DPL,NMD,0
