Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,4.1572911746493205e7,0.0,4.1572911746493205e7
BGE,2.5665352831317283e7,0.0,2.5665352831317283e7
PEPCO,7.930407741819438e7,0.0,7.930407741819438e7
DPL_MD,2.154755396775369e7,0.0,2.154755396775369e7
APS,0.0,0.0,0.0
DPL,0.0,5.111823623861527e7,5.111823623861527e7
