AggregatedResource,Zone,Type,GroupingKey,OriginalIndex,OriginalResource,OriginalPmaxMW,WeightPmaxMW,WeightShare
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,211,G211,15.7,15.7,0.014153069503290363
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,232,G232,10.0,10.0,0.00901469395114036
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,238,G238,1.6,1.6,0.0014423510321824576
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,241,G241,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,243,G243,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,244,G244,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,245,G245,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,246,G246,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,248,G248,4.3,4.3,0.0038763183989903543
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,250,G250,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,256,G256,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,261,G261,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,266,G266,6.0,6.0,0.005408816370684215
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,270,G270,2.0,2.0,0.0018029387902280718
G23,APS_MD,SolarPV,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,275,G275,1000.0,1000.0,0.9014693951140359
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,138,G138,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,139,G139,2.1,2.1,0.001788604037134827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,154,G154,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,155,G155,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,156,G156,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,160,G160,2.8,2.8,0.002384805382846436
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,163,G163,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,173,G173,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,176,G176,3.2,3.2,0.0027254918661102127
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,177,G177,75.0,75.0,0.0638787156119581
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,180,G180,1.6,1.6,0.0013627459330551063
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,181,G181,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,185,G185,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,188,G188,1.5,1.5,0.0012775743122391621
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,189,G189,1.5,1.5,0.0012775743122391621
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,190,G190,10.0,10.0,0.008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,201,G201,13.6,13.6,0.011583340430968403
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,202,G202,6.0,6.0,0.0051102972489566485
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,214,G214,5.0,5.0,0.004258581040797207
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,215,G215,2.6,2.6,0.0022144621412145474
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,219,G219,1.7,1.7,0.0014479175538710503
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,224,G224,7.5,7.5,0.00638787156119581
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,225,G225,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,229,G229,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,236,G236,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,242,G242,2.0,2.0,0.0017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,260,G260,1.0,1.0,0.0008517162081594414
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,263,G263,20.0,20.0,0.017034324163188827
G24,DPL_MD,SolarPV,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,278,G278,1000.0,1000.0,0.8517162081594414
G25,BGE,Bio,Zone=BGE; Type=Bio; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,165,G165,1.1,1.1,0.5
G25,BGE,Bio,Zone=BGE; Type=Bio; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,166,G166,1.1,1.1,0.5
G26,DPL_MD,NGCC,Zone=DPL_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,169,G169,310.3,310.3,0.23103359035126536
G26,DPL_MD,NGCC,Zone=DPL_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,170,G170,310.3,310.3,0.23103359035126536
G26,DPL_MD,NGCC,Zone=DPL_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,171,G171,493.0,493.0,0.3670627136421973
G26,DPL_MD,NGCC,Zone=DPL_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,276,G276,229.494740155392,229.494740155392,0.17087010565527208
G27,APS_MD,NGCT,Zone=APS_MD; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,272,G272,109.477157984023,109.477157984023,1.0
G28,APS_MD,NGCC,Zone=APS_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,273,G273,2866.08693089359,2866.08693089359,1.0
G29,DPL_MD,WindOff,Zone=DPL_MD; Type=WindOff; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,277,G277,2000.0,2000.0,1.0
G30,BGE,NGCC,Zone=BGE; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,280,G280,41.1423717555663,41.1423717555663,1.0
G31,BGE,WindOn,Zone=BGE; Type=WindOn; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,281,G281,2000.0,2000.0,1.0
G32,PEPCO,NGCC,Zone=PEPCO; Type=NGCC; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,283,G283,41.1433136698354,41.1433136698354,1.0
G33,PEPCO,WindOff,Zone=PEPCO; Type=WindOff; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,284,G284,2000.0,2000.0,1.0
