GroupSize,AggregatedRM_SPIN,AggregatedCostPerMWh,GroupingKey,AggregatedPmaxMW,AggregatedCC,AggregatedStartUpCostPerMW,Flag_thermal,AggregatedResource,AggregatedFOR,AggregatedMinUpTime,Flag_UC,AggregatedPminMW,OriginalPmaxMW,AggregatedRD,Zone,AggregatedRU,Flag_VRE,NumUnits,ClusteredUnitPmaxMW,ClusteredUnitPminMW,Flag_mustrun,AggregatedMinDownTime,Type
6,0.0,0.0,Zone=APS_MD; Type=WindOn; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,2190.0,0.28,0.0,0,G20,0.0,0.0,0,0.0,2190.0,1.0,APS_MD,1.0,1,6,365.0,0.0,0,0.0,WindOn
33,0.0,0.0,Zone=BGE; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,1062.0,0.35,0.0,0,G21,0.0,0.0,0,0.0,1062.0,1.0,BGE,1.0,1,33,32.18181818181818,0.0,0,0.0,SolarPV
30,0.0,0.0,Zone=PEPCO; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,1065.3,0.2842908101004412,0.0,0,G22,0.0,0.0,0,0.0,1065.3,1.0,PEPCO,1.0,1,30,35.51,0.0,0,0.0,SolarPV
21,0.0,0.0,Zone=APS_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,1109.3,0.35000000000000003,0.0,0,G23,0.0,0.0,0,0.0,1109.3,1.0,APS_MD,1.0,1,21,52.82380952380952,0.0,0,0.0,SolarPV
29,0.0,0.0,Zone=DPL_MD; Type=SolarPV; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,1174.1,0.29037986542883915,0.0,0,G24,0.0,0.0,0,0.0,1174.1,1.0,DPL_MD,1.0,1,29,40.48620689655172,0.0,0,0.0,SolarPV
2,0.1,20.0,Zone=BGE; Type=Bio; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,2.2,0.43,0.0,1,G25,0.0,0.0,1,0.0,2.2,1.0,BGE,1.0,0,2,1.1,0.0,0,0.0,Bio
4,0.16,18.75,Zone=DPL_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,1343.094740155392,0.98,92.00000000000001,1,G26,0.03500000000000001,6.0,1,0.0,1343.094740155392,1.0,DPL_MD,1.0,0,4,335.773685038848,0.0,0,6.0,NGCC
1,0.16,26.3,Zone=APS_MD; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,109.477157984023,0.9799999999999999,119.00000000000001,1,G27,0.068,1.0,1,0.0,109.477157984023,1.0,APS_MD,1.0,0,1,109.477157984023,0.0,0,1.0,NGCT
1,0.16,18.75,Zone=APS_MD; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,2866.08693089359,0.9800000000000001,92.0,1,G28,0.035,5.999999999999999,1,0.0,2866.08693089359,1.0,APS_MD,1.0,0,1,2866.08693089359,0.0,0,5.999999999999999,NGCC
1,0.0,0.0,Zone=DPL_MD; Type=WindOff; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,2000.0,0.28,0.0,0,G29,0.0,0.0,0,0.0,2000.0,1.0,DPL_MD,1.0,1,1,2000.0,0.0,0,0.0,WindOff
1,0.16,18.75,Zone=BGE; Type=NGCC; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,41.1423717555663,0.98,92.0,1,G30,0.035,6.0,1,0.0,41.1423717555663,1.0,BGE,1.0,0,1,41.1423717555663,0.0,0,6.0,NGCC
1,0.0,0.0,Zone=BGE; Type=WindOn; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,2000.0,0.28,0.0,0,G31,0.0,0.0,0,0.0,2000.0,1.0,BGE,1.0,1,1,2000.0,0.0,0,0.0,WindOn
1,0.0,0.0,Zone=PEPCO; Type=NGCC; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,41.1433136698354,0.28,0.0,0,G32,0.0,0.0,0,0.0,41.1433136698354,1.0,PEPCO,1.0,1,1,41.1433136698354,0.0,0,0.0,NGCC
1,0.0,0.0,Zone=PEPCO; Type=WindOff; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,2000.0,0.28,0.0,0,G33,0.0,0.0,0,0.0,2000.0,1.0,PEPCO,1.0,1,1,2000.0,0.0,0,0.0,WindOff
