Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,213598.61654328776,1.5610375637530956e8,0.0,1.5631735499185285e8
BGE,166955.94827770733,2.622515198973764e8,0.0,2.624184758456541e8
PEPCO,166980.99671260963,5.655587396142699e8,0.0,5.657257206109824e8
DPL_MD,208386.15999338686,1.5763815709919962e8,0.0,1.57846543259193e8
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
