From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
APS_MD,APS,Existing,0,139146.20895419392,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1212.7200013165232,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,646.7479968208295,277.2093869740913,1500.0,1500.0,1500.0,1500.0,1500.0,1057.9637017342477,1264.6152744309707,1500.0,1302.4761614368806,1500.0,1500.0,1500.0,1500.0,-115.52356851959485,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
APS,PEPCO,Existing,0,32901.60173054733,299.3585868661295,12.187000787072748,440.5701283073153,1332.034077150613,724.0991102959126,274.9495150123913,504.4914253209379,336.02179369353587,487.19193890298607,479.16373777244075,460.5152261093803,523.0929619222134,630.9318895752797,481.02640873112847,396.3706141211053,-71.69711648036116,715.1892446174293,679.3534060242825,608.6245395232316,528.4904402110117,531.8237881808036,1317.358182194308,1500.0,540.7722589953061,1500.0,1440.0895504651928,1500.0,1500.0,579.6676263313407,797.8617756988054,1099.2930937291228,742.9901154138852,59.93681709198768,135.67576987573614,-498.00732588191033,96.3369222571855,-154.07565556643294,-304.3238847616126,-430.264152481931,-530.7496719885512,-545.7981416863622,-655.895376884331,-81.45116239772824,-299.6820118908531,30.19097582783479,128.2226330027063,1426.2472251587296,476.44551036588837,545.4316429694436,210.30196767974445,135.48311143141075,439.02872909292273,739.5908396981554,474.11059403209674,825.2367002811611,329.31896427790286,-217.2320419789947,360.0619659624206,776.3407562684881,894.9287237103333,692.8381670025135,293.0142336461963,1179.9671093602526,716.8531163396402,987.948892369342,267.7734317613784,571.029701604723,-186.61676963693347,575.0406187630614,1245.117856743633,516.1217942588385,979.6853892222657,-470.6276340877401,-1500.0,552.0704172975607,723.9139259736148,567.6561984162272,276.4689897573912,-565.7805928853311,-600.6031053258688,-378.82470295312305,-464.780315735615,559.4171248847479,27.35917252944091,42.93154915752007,282.6711661429008,-1227.669931053334,-1500.0,735.6000872798058,506.92200993129154,237.64692404624185,-142.31473383737193,505.20111151237165,158.36743262072287,420.8018399479397,-940.8304874452164
DPL_MD,DPL,Existing,0,14154.251896044743,533.8163575365836,-289.9087337006819,-291.35114426320166,-267.5557235056817,-204.334101534605,-97.70486924827833,-35.73747958947183,-17.7378160649846,-0.1430721795163663,13.281864779426428,26.253539684164252,41.68470530580282,57.1263484415299,73.90562634251546,103.27288385698762,143.4878252095126,181.64837903400326,185.90950184795497,179.11016518371594,160.19927358076143,86.60500801148339,-28.670460882298244,-136.09626113611637,-213.282236231325,-77.717078520001,659.2574277332881,-166.01433476263128,-162.74810433498078,-118.84433263974086,-44.368506468477904,60.76318685224669,188.2433116539121,310.9833004665029,424.99498544173457,525.4701737316971,616.0313159506773,691.3654700919928,750.4388258135596,801.4642058206698,841.9062972940164,854.1267061889257,802.6364075258703,696.3418788882814,591.4831304182055,467.28133927448425,301.47249858705754,145.52036809134574,25.468954975796123,-237.21798117317303,-253.1680467804831,544.9359480193284,-236.00145967334242,-179.19776233763662,-75.98011407460183,19.157722751241636,42.34276373988405,10.427353047419274,-24.91396852188427,-48.344109885263606,-63.61930965613806,-70.63387168889358,-67.77202075810362,-56.0163306495042,-12.829278766881544,61.26300521954954,132.15425894964835,121.49760803354036,82.72100945419731,29.081104744048503,-43.22868556811659,-127.81261969055936,-191.4236823589846,114.3709870995217,102.2182691464534,107.25512374028222,128.63522043923786,171.96064295086853,257.8897416103164,375.18610810018936,415.4760649590696,369.3145506281512,294.1060592266881,225.6127810462408,172.0762011472409,130.83196336801757,104.04684889819441,96.79948575373851,120.7744556082896,201.35803587726355,319.88140914358314,372.3327751587717,366.5907844376809,336.2199534456713,278.34019125350096,203.85472076319445,144.3609813145697
DPL_MD,DPL,Existing,0,36000.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
DPL_MD,DPL,Existing,0,36000.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
DPL,DPL_MD,Existing,0,36000.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
APS_MD,BGE,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS_MD,PEPCO,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS_MD,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGE,PEPCO,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
