Zone,Opr_cost,LoL_plt,Total_cost
APS_MD,0.0,7.777628471794701e8,7.777628471794701e8
BGE,0.0,0.0,0.0
PEPCO,0.0,1.139176527915091e8,1.139176527915091e8
DPL_MD,0.0,1.656206797191991e8,1.656206797191991e8
APS,0.0,3.291880885567701e8,3.291880885567701e8
DPL,0.0,9.487763350967792e8,9.487763350967792e8
