Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH
1,2,10,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675,0.3081675
1,2,11,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775,0.3395775
1,2,12,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689,0.483689
1,2,13,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725,0.34876725
1,2,14,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225,0.20169225
1,2,15,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787,0.253787
1,2,16,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975,0.14889975
1,2,17,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315,0.0095315
1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
