Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
198,0,AEP_OH,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
198,0,AEP_OH,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1.8,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.1,0,AEP_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AEP_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AEP_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AEP_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,ATSI_OH,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.2,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.2,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2,0,DOM_VA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2,0,DOM_VA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2,0,DOM_VA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2,0,DOM_VA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
45,0,DPL_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
51,0,DPL_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
71.2,0,PE_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.3,0,PL_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1300,0,AEP_OH,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
1300,0,AEP_OH,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
26.1,0,PN_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
637,0,DUQ_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
5,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
10,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
25,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
15,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
46,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
18,0,DPL_DE,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
50,0,DPL_DE,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
50,0,DPL_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
242.3,0,PE_NJ,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
4.4,0,ME_PA,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
45,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
88.4,0,PL_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
24.1,0,AE_PA,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
5,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
5.3,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
5.3,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.1,0,PN_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.1,0,PN_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.1,0,PN_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.1,0,PN_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
118,0,PN_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
95.7,0,AP_WV,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
0.7,0,PN_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.7,0,PN_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.7,0,PN_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.7,0,PN_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2.9,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
5,0,JC_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
10.8,0,JC_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
4.5,0,JC_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.5,0,JC_NJ,SolarPV,0,0,1,0,0,0,0.35,1,0,0,1,1,0,0,0,
10.6,0,AEP_OH,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
24,0,AEP_OH,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
31,0,AEP_OH,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
27.2,0,AEP_OH,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
50,0,AEP_TN,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
1,0,DOM_NC,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.5,0,DOM_NC,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2.6,0,PL_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2.6,0,PL_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.5,0,ME_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
143.4,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
143.4,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
143.4,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
47.3,0,PL_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
12.5,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
12.5,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
32,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
40,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
55,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
10,0,ATSI_OH,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
10,0,ATSI_OH,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
15,0,ATSI_OH,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
10,0,ATSI_OH,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
22,0,ATSI_OH,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
17.5,0,AE_NJ,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
17.5,0,AE_NJ,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
20,0,AEP_IN,NGCC,1,0,0,0,23.76,0.495,0.98,1,0.02,0.016,1,1,1,1,6,92
0.4,0,PL_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,PL_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,PL_PA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
285,0,JC_NJ,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
57.6,0,PN_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
60.2,0,BC_MD,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
4.3,0,BC_MD,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
101,0,DOM_VA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
101,0,DOM_VA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
101,0,DOM_VA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
34.9,0,PS_NJ,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
34.9,0,PS_NJ,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
0.3,0,AEP_MI,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_MI,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_MI,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.2,0,AEP_MI,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
229,0,DPL_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
1.9,0,DPL_MD,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
1.9,0,DPL_MD,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
68.9,0,AP_WV,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
90,0,ATSI_PA,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
95.2,0,AE_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
77.7,0,AE_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
71.1,0,PN_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
71.1,0,DOM_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
2,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.8,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.2,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2.4,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
22,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
6.8,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
31,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
31,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
31,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
31,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
31,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
75,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
105,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
64.8,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
72.5,0,AEP_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
33,0,AEP_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
33,0,AEP_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
33,0,AEP_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
8,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
8,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
212.5,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
95.2,0,JC_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.9,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.9,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
25.5,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
25.5,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
25.5,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
25.5,0,AEP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
18.7,0,AP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
18.7,0,AP_WV,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
6,0,JC_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.5,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.8,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.4,0,DOM_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
72,0,DOM_NC,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
42,0,DOM_NC,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
36.5,0,BC_PA,MSW,1,0,0,0,15,1.49,0.43,1,0,0,1,1,1,0,0,
28.3,0,DOM_NC,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
13,0,DOM_VA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
23.2,0,PN_PA,Landfill_NG,1,0,0,0,15,0.39,0.43,1,0.05,0.1,1,1,1,0,0,
4.6,0,PN_PA,Landfill_NG,1,0,0,0,15,0.39,0.43,1,0.05,0.1,1,1,1,0,0,
4.6,0,PN_PA,Landfill_NG,1,0,0,0,15,0.39,0.43,1,0.05,0.1,1,1,1,0,0,
60.5,0,PN_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.6,0,PS_NJ,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.6,0,PS_NJ,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.6,0,PS_NJ,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.6,0,PS_NJ,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2,0,AEP_IN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.3,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.3,0,AE_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.3,0,AE_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
55,0,PS_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
55,0,PS_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
42,0,PS_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
6,0,BC_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
5.1,0,BC_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
7.5,0,BC_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
45.9,0,BC_PA,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
39.1,0,BC_PA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
17.3,0,ATSI_PA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
17.3,0,ATSI_PA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
17.3,0,ATSI_PA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
17.3,0,ATSI_PA,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
3.5,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.5,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.5,0,PS_NJ,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
12.5,0,DEOK_OH,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
53.6,0,PL_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2.6,0,PL_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
64,0,PL_PA,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.6,0,DOM_NC,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.5,0,DOM_NC,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.5,0,DOM_NC,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.2,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.2,0,AEP_VA,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
7.5,0,AEP_VA,Bio,1,0,0,0,20,0.99,0.43,1,0,0.1,1,1,1,0,0,
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
7,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
10,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
7.5,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
10.4,0,AEP_TN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
10.4,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
10.4,0,AEP_TN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
10.4,0,AEP_TN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
10.4,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
15,0,AEP_TN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
15.4,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
16.8,0,AEP_TN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
18,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
16.6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
6,0,AEP_TN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
7.5,0,AEP_WV,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
26,0,AEP_WV,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
82,0,AEP_WV,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
86,0,DOM_NC,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
40,0,DOM_NC,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
54,0,DOM_NC,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
90,0,PE_NJ,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.02,0.016,1,1,1,1,6,92
