Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
0.9,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.9,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.9,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.9,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.6,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.5,0,CE_IL,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1.1,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
0.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
3.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2.2,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.2,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
5.6,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1.5,0,CE_IL,WindOn,0,0,1,0,0,0,0.28,1,0,0,1,1,0,0,0,
1.5,0,CE_IL,WindOn,0,0,1,0,0,0,0.28,1,0,0,1,1,0,0,0,
1.2,0,CE_IL,SolarPV,0,0,1,0,0,0,0.35,1,0,0,1,1,0,0,0,
3.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.5,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1.6,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
