From_state,To_state,RPS
PA,OH,0.02
PA,WV,0.02
PA,MD,0.02
PA,NJ,0.02
PA,DE,0.02
OH,PA,0.02
OH,WV,0.02
OH,KY,0.02
OH,IN,0.02
NJ,PA,0.02
NJ,DE,0.02
IN,OH,0.02
KY,OH,0.02
KY,WV,0.02
KY,VA,0.02
WV,KY,0.02
WV,OH,0.02
WV,VA,0.02
WV,PA,0.02
WV,MD,0.02
MD,WV,0.02
MD,PA,0.02
MD,VA,0.02
MD,DE,0.02
DE,MD,0.02
DE,PA,0.02
DE,NJ,0.02
VA,MD,0.02
VA,WV,0.02
VA,TN,0.02
VA,KY,0.02
VA,NC,0.02
TN,VA,0.02
NC,VA,0.02
MI,MI,0.02
IL,IL,0.02
