Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD
1,5,11,0.312386776,0,0.312386776,0,0,0
1,5,12,0.347943759,0,0.347943759,0,0,0
1,5,13,0.319982438,0,0.319982438,0,0,0
1,5,14,0.307186379,0,0.307186379,0,0,0
1,5,15,0.309616863,0,0.309616863,0,0,0
1,5,16,0.285936582,0,0.285936582,0,0,0
1,5,17,0.304782157,0,0.304782157,0,0,0
1,5,18,0.300408614,0,0.300408614,0,0,0
1,5,19,0.387806116,0,0.387806116,0,0,0
1,5,20,0.410024848,0,0.410024848,0,0,0
1,5,21,0.417677334,0,0.417677334,0,0,0
1,5,22,0.382093663,0,0.382093663,0,0,0
1,5,23,0.302463636,0,0.302463636,0,0,0
1,5,24,0.21296063,0,0.21296063,0,0,0
1,6,1,0.15163075,0,0.15163075,0,0,0
1,6,2,0.115578047,0,0.115578047,0,0,0
1,6,3,0.070262383,0,0.070262383,0,0,0
1,6,4,0.068985375,0,0.068985375,0,0,0
1,6,5,0.091822885,0,0.091822885,0,0,0
1,6,6,0.141650769,0,0.141650769,0,0,0
1,6,7,0.33983071,0,0.33983071,0,0,0
1,6,8,0.483305675,0,0.483305675,0,0,0
1,6,9,0.447317981,0,0.447317981,0,0,0
1,6,10,0.298400657,0,0.298400657,0,0,0
1,6,11,0.31711759,0,0.31711759,0,0,0
1,6,12,0.350322041,0,0.350322041,0,0,0
1,6,13,0.3223294,0,0.3223294,0,0,0
1,6,14,0.310067834,0,0.310067834,0,0,0
1,6,15,0.311963663,0,0.311963663,0,0,0
1,6,16,0.28828049,0,0.28828049,0,0,0
1,6,17,0.306567735,0,0.306567735,0,0,0
1,6,18,0.288921352,0,0.288921352,0,0,0
1,6,19,0.371187284,0,0.371187284,0,0,0
1,6,20,0.388994445,0,0.388994445,0,0,0
1,6,21,0.393071094,0,0.393071094,0,0,0
1,6,22,0.360430627,0,0.360430627,0,0,0
1,6,23,0.293607552,0,0.293607552,0,0,0
1,6,24,0.211432675,0,0.211432675,0,0,0
1,7,1,0.197699772,0,0.197699772,0,0,0
1,7,2,0.131635278,0,0.131635278,0,0,0
1,7,3,0.082845507,0,0.082845507,0,0,0
1,7,4,0.077409802,0,0.077409802,0,0,0
1,7,5,0.069060572,0,0.069060572,0,0,0
1,7,6,0.079368931,0,0.079368931,0,0,0
1,7,7,0.180611034,0,0.180611034,0,0,0
1,7,8,0.328001234,0,0.328001234,0,0,0
1,7,9,0.488089468,0,0.488089468,0,0,0
1,7,10,0.541010129,0,0.541010129,0,0,0
1,7,11,0.530956869,0,0.530956869,0,0,0
1,7,12,0.532510986,0,0.532510986,0,0,0
1,7,13,0.517787231,0,0.517787231,0,0,0
1,7,14,0.531950363,0,0.531950363,0,0,0
1,7,15,0.456196231,0,0.456196231,0,0,0
1,7,16,0.43461173,0,0.43461173,0,0,0
1,7,17,0.445035067,0,0.445035067,0,0,0
1,7,18,0.455846699,0,0.455846699,0,0,0
1,7,19,0.466360267,0,0.466360267,0,0,0
1,7,20,0.537562193,0,0.537562193,0,0,0
1,7,21,0.504312388,0,0.504312388,0,0,0
1,7,22,0.461767915,0,0.461767915,0,0,0
1,7,23,0.335340141,0,0.335340141,0,0,0
1,7,24,0.262371,0,0.262371,0,0,0
1,8,1,0.201945486,0,0.201945486,0,0,0
1,8,2,0.131013209,0,0.131013209,0,0,0
1,8,3,0.082925457,0,0.082925457,0,0,0
1,8,4,0.07774982,0,0.07774982,0,0,0
1,8,5,0.068931654,0,0.068931654,0,0,0
1,8,6,0.078735111,0,0.078735111,0,0,0
1,8,7,0.176535757,0,0.176535757,0,0,0
1,8,8,0.319500474,0,0.319500474,0,0,0
1,8,9,0.474908562,0,0.474908562,0,0,0
1,8,10,0.525867137,0,0.525867137,0,0,0
1,8,11,0.512940229,0,0.512940229,0,0,0
1,8,12,0.51727698,0,0.51727698,0,0,0
1,8,13,0.509652057,0,0.509652057,0,0,0
1,8,14,0.531703708,0,0.531703708,0,0,0
1,8,15,0.463068627,0,0.463068627,0,0,0
1,8,16,0.445760127,0,0.445760127,0,0,0
1,8,17,0.459940281,0,0.459940281,0,0,0
1,8,18,0.477538736,0,0.477538736,0,0,0
1,8,19,0.489789267,0,0.489789267,0,0,0
1,8,20,0.561826693,0,0.561826693,0,0,0
1,8,21,0.52699229,0,0.52699229,0,0,0
1,8,22,0.478612466,0,0.478612466,0,0,0
1,8,23,0.339746754,0,0.339746754,0,0,0
1,8,24,0.2578964,0,0.2578964,0,0,0
1,9,1,0.143178707,0,0.143178707,0,0,0
