Time Period,Month,Day,Hours,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,8,0.006851941,0.006851941,0.006851941,0.003404826,0.006851941,0.003404826
1,1,4,9,0.096477665,0.096477665,0.096477665,0.09713406,0.096477665,0.09713406
1,1,4,10,0.249043509,0.249043509,0.249043509,0.342719811,0.249043509,0.342719811
1,1,4,11,0.383977651,0.383977651,0.383977651,0.532570517,0.383977651,0.532570517
1,1,4,12,0.458170199,0.458170199,0.458170199,0.562807336,0.458170199,0.562807336
1,1,4,13,0.455856081,0.455856081,0.455856081,0.520914683,0.455856081,0.520914683
1,1,4,14,0.414096664,0.414096664,0.414096664,0.560576479,0.414096664,0.560576479
1,1,4,15,0.336172,0.336172,0.336172,0.559676225,0.336172,0.559676225
1,1,4,16,0.166648546,0.166648546,0.166648546,0.422404136,0.166648546,0.422404136
1,1,4,17,0.020819051,0.020819051,0.020819051,0.108694964,0.020819051,0.108694964
1,1,4,18,0.0,0.0,0.0,0.00212327,0.0,0.00212327
1,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,8,0.002052034,0.002052034,0.002052034,0.00095563,0.002052034,0.00095563
1,1,5,9,0.023854185,0.023854185,0.023854185,0.02442235,0.023854185,0.02442235
1,1,5,10,0.05062448,0.05062448,0.05062448,0.051872971,0.05062448,0.051872971
1,1,5,11,0.075021144,0.075021144,0.075021144,0.081537045,0.075021144,0.081537045
1,1,5,12,0.116543655,0.116543655,0.116543655,0.150881901,0.116543655,0.150881901
1,1,5,13,0.15584475,0.15584475,0.15584475,0.193714362,0.15584475,0.193714362
1,1,5,14,0.151638824,0.151638824,0.151638824,0.258412389,0.151638824,0.258412389
1,1,5,15,0.116486432,0.116486432,0.116486432,0.301732158,0.116486432,0.301732158
1,1,5,16,0.056123658,0.056123658,0.056123658,0.258187721,0.056123658,0.258187721
1,1,5,17,0.008261928,0.008261928,0.008261928,0.046118625,0.008261928,0.046118625
1,1,5,18,0.0,0.0,0.0,0.00022625,0.0,0.00022625
1,1,5,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,8,0.014716738,0.014716738,0.014716738,0.000607553,0.014716738,0.000607553
1,1,6,9,0.088853207,0.088853207,0.088853207,0.045824341,0.088853207,0.045824341
1,1,6,10,0.231275615,0.231275615,0.231275615,0.139798811,0.231275615,0.139798811
1,1,6,11,0.367505296,0.367505296,0.367505296,0.216943757,0.367505296,0.216943757
1,1,6,12,0.5202657,0.5202657,0.5202657,0.275653277,0.5202657,0.275653277
1,1,6,13,0.500771945,0.500771945,0.500771945,0.254012379,0.500771945,0.254012379
1,1,6,14,0.534213354,0.534213354,0.534213354,0.177861035,0.534213354,0.177861035
1,1,6,15,0.391835581,0.391835581,0.391835581,0.132433818,0.391835581,0.132433818
1,1,6,16,0.168548366,0.168548366,0.168548366,0.063270912,0.168548366,0.063270912
1,1,6,17,0.016759617,0.016759617,0.016759617,0.027637316,0.016759617,0.027637316
1,1,6,18,0.0,0.0,0.0,0.000183532,0.0,0.000183532
1,1,6,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0
