converter_id,bus0,bus1,voltage,p_nom,geometry
conv-way/500788534,way/500788534,virtual_way/1411883330:1-400,400,1000,'LINESTRING (3.209717249275413 51.26506861267785, 3.2098546 51.26517232)'
conv-way/525964617,way/525964617,way/525964629-380,525,1400,'LINESTRING (9.344336160385257 53.919202900609996, 9.34684199 53.92325646)'
conv-way/536905500,way/536905500,way/1274396508-400,200,500,'LINESTRING (-3.0503711247013054 53.23659000909319, -3.0773981 53.23026451)'
conv-way/568527671,way/568527671,way/568527671-400,320,1200,'LINESTRING (-2.9492358149126363 57.52130358772209, -2.94834327 57.52304835)'
conv-way/577074555,way/577074555,relation/17239840-380,500,1200,'LINESTRING (14.125123625222603 42.394891128388224, 14.12977483 42.40331892)'
conv-way/636630368,way/636630368,virtual_way/636635194:1-400,320,1000,'LINESTRING (-1.1944667534205344 50.818128178480265, -1.19434053 50.81823678)'
conv-way/642490160,way/642490160,way/310502642-400,515,1400,'LINESTRING (-1.5403565973287965 55.146512612657816, -1.5311926 55.14114045)'
conv-way/655858864,way/655858864,way/942640207-380,320,700,'LINESTRING (6.867218303119649 53.43560033071676, 6.86857627 53.4374004)'
conv-way/753113423,way/753113423,way/753113423-400,320,1000,'LINESTRING (-0.262116949775399 49.110757695414016, -0.2637673 49.10913925)'
conv-way/775577827,way/775577827,virtual_relation/19874522:0-400,320,1000,'LINESTRING (1.7805598982000543 50.92012451897264, 1.78363526 50.92039207)'
conv-way/775577829,way/775577829,way/91233446-400,320,1000,'LINESTRING (1.1448619993754872 51.098390488402984, 1.14754242 51.09807995)'
conv-way/870598507,way/870598507,way/870598507-380,320,1000,'LINESTRING (6.453021949156052 50.87140165653226, 6.45708132 50.87180593)'
conv-way/920127890,way/920127890,way/23135714-380,450,1000,'LINESTRING (4.021802153520163 51.95696873576031, 4.02275905 51.95588668)'
conv-way/940919943,way/940919943,way/940919943-380,400,600,'LINESTRING (12.215573759923306 54.10020865937484, 12.21416198 54.10008913)'
conv-way/98216482,way/98216482,way/98216482-400,300,680,'LINESTRING (10.089569803415861 57.06301607333713, 10.08974467 57.0631113)'
conv-way/99220741,way/99220741,way/99220741-400,320,700,'LINESTRING (8.703612469365575 55.53016473566834, 8.70598757 55.53086634)'
