transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
way/1210501163-380-220,way/1210501163-380,way/1210501163-220,380,220,6793,'LINESTRING (5.80939824 52.61710578, 5.80910364 52.61690453)'
way/121085952-225-220,virtual_relation/8890469:1-225,way/121085952-220,225,220,1475,'LINESTRING (5.79756928 49.56535255, 5.79730143 49.565508)'
way/121085952-380-220,way/121085952-380,way/121085952-220,380,220,1699,'LINESTRING (5.79764257 49.56558126, 5.79730143 49.565508)'
way/121085952-380-225,way/121085952-380,virtual_relation/8890469:1-225,380,225,1699,'LINESTRING (5.79764257 49.56558126, 5.79756928 49.56535255)'
way/121199242-380-220,way/121199242-380,virtual_way/60541934:1-220,380,220,5095,'LINESTRING (7.40351683 51.64455487, 7.40322144 51.64435757)'
way/121297422-400-225,way/121297422-400,way/121297422-225,400,225,7150,'LINESTRING (6.47531584 43.51015918, 6.47506596 43.50995901)'
way/121500497-400-225,way/121500497-400,way/121500497-225,400,225,7150,'LINESTRING (6.83594369 43.59525628, 6.83569223 43.595057)'
way/121656686-400-220,way/121656686-400,way/121656686-220,400,220,7150,'LINESTRING (21.62377638 53.10700927, 21.62341213 53.10685189)'
way/121820285-275-132,way/121820285-275,way/121820285-132,275,132,1844,'LINESTRING (-3.75374217 51.56296821, -3.75398617 51.56274568)'
way/1218950123-380-150,way/1218950123-380,way/1218950123-150,380,150,5095,'LINESTRING (4.3072182 52.01613699, 4.30693417 52.01593214)'
way/1222597066-380-220,way/1222597066-380,way/1222597066-220,380,220,3397,'LINESTRING (14.03506071 53.50760478, 14.03472345 53.5074251)'
way/1223405794-380-220,way/1223405794-380,way/1223405794-220,380,220,3397,'LINESTRING (8.41593494 49.70596294, 8.41564721 49.70576812)'
way/122563466-400-225,way/122563466-400,way/122563466-225,400,225,3575,'LINESTRING (4.71101001 46.6297489, 4.71075282 46.62954484)'
way/123037622-275-132,way/123037622-275,way/123037622-132,275,132,1844,'LINESTRING (-3.68751849 51.53625515, -3.68776269 51.53603276)'
way/1240884615-220-132,way/1240884615-220,way/1240884615-132,220,132,984,'LINESTRING (-2.32076507 43.08233324, -2.3209824 43.08211337)'
way/124121964-400-220,way/124121964-400,way/124121964-220,400,220,5363,'LINESTRING (2.00953253 41.47324255, 2.00930534 41.47303175)'
way/1246030551-220-150,way/1246030551-220,way/1246030551-150,220,150,2950,'LINESTRING (4.61868103 52.4867429, 4.61839115 52.48689527)'
way/1246030551-380-150,way/1246030551-380,way/1246030551-150,380,150,1699,'LINESTRING (4.61875235 52.48697218, 4.61839115 52.48689527)'
way/1246030551-380-220,way/1246030551-380,way/1246030551-220,380,220,2950,'LINESTRING (4.61875235 52.48697218, 4.61868103 52.4867429)'
way/1246090890-220-132,way/1246090890-220,way/1246090890-132,220,132,984,'LINESTRING (0.66750431 41.61205241, 0.66728118 41.61183868)'
way/1246115410-400-220,way/1246115410-400,virtual_way/145623528:0-220,400,220,1788,'LINESTRING (-6.33928767 39.60571622, -6.33948142 39.60548801)'
way/124722161-400-220,way/124722161-400,way/124722161-220,400,220,10725,'LINESTRING (-8.45398974 41.15699783, -8.45417962 41.15676596)'
way/1252105002-400-220,way/1252105002-400,way/1252105002-220,400,220,3575,'LINESTRING (-3.50777402 40.44407296, -3.50797948 40.44385036)'
way/1256915063-220-132,way/1256915063-220,way/1256915063-132,220,132,492,'LINESTRING (2.32033832 41.58786172, 2.32010971 41.58765163)'
way/1258230062-220-150,way/1258230062-220,way/1258230062-150,220,150,503,'LINESTRING (5.66799329 50.75418874, 5.66771807 50.75434378)'
way/1258230062-380-150,way/1258230062-380,way/1258230062-150,380,150,1699,'LINESTRING (5.66806755 50.75441745, 5.66771807 50.75434378)'
way/1258230062-380-220,way/1258230062-380,way/1258230062-220,380,220,1699,'LINESTRING (5.66806755 50.75441745, 5.66799329 50.75418874)'
way/1259370155-220-132,way/1259370155-220,virtual_way/144777810:1-132,220,132,492,'LINESTRING (-0.2677687 39.67267097, -0.26798278 39.67245494)'
way/1260546916-220-132,way/1260546916-220,way/1260546916-132,220,132,492,'LINESTRING (2.90071547 42.0223745, 2.9004834 42.02216577)'
way/1261935772-220-132,way/1261935772-220,way/1261935772-132,220,132,984,'LINESTRING (-0.74173241 41.72180065, -0.74197969 41.72194123)'
way/1261935772-400-132,way/1261935772-400,way/1261935772-132,400,132,3575,'LINESTRING (-0.74169207 41.72203349, -0.74197969 41.72194123)'
way/1261935772-400-220,way/1261935772-400,way/1261935772-220,400,220,3575,'LINESTRING (-0.74169207 41.72203349, -0.74173241 41.72180065)'
way/126203383-380-150,way/126203383-380,way/126203383-150,380,150,3397,'LINESTRING (16.22786952 41.21394401, 16.22759911 41.2137687)'
way/1262722032-400-220,way/1262722032-400,way/1262722032-220,400,220,1788,'LINESTRING (-5.42356225 36.18367993, -5.42375158 36.18345283)'
way/1262722037-400-220,way/1262722037-400,way/1262722037-220,400,220,1788,'LINESTRING (-5.38820708 36.18346239, -5.38839651 36.18323537)'
way/1263000221-275-132,way/1263000221-275,way/1263000221-132,275,132,5531,'LINESTRING (-2.38340333 57.21863336, -2.38375719 57.21876717)'
way/1263000221-400-132,way/1263000221-400,way/1263000221-132,400,132,1788,'LINESTRING (-2.38336777 57.21886543, -2.38375719 57.21876717)'
way/1263000221-400-275,way/1263000221-400,way/1263000221-275,400,275,5531,'LINESTRING (-2.38336777 57.21886543, -2.38340333 57.21863336)'
way/1263095953-275-132,way/1263095953-275,way/1263095953-132,275,132,922,'LINESTRING (-4.71826141 57.13555425, -4.71862286 57.13568158)'
way/1263095953-400-132,way/1263095953-400,way/1263095953-132,400,132,5363,'LINESTRING (-4.71824027 57.13578664, -4.71862286 57.13568158)'
way/1263095953-400-275,way/1263095953-400,way/1263095953-275,400,275,5363,'LINESTRING (-4.71824027 57.13578664, -4.71826141 57.13555425)'
way/126881765-400-132,way/126881765-400,way/126881765-132,400,132,5363,'LINESTRING (-0.19511784 40.61152249, -0.19533493 40.61130676)'
way/126987023-220-132,way/126987023-220,way/126987023-132,220,132,2458,'LINESTRING (-0.56072309 39.25013509, -0.56095985 39.25027673)'
way/126987023-400-132,way/126987023-400,way/126987023-132,400,132,5363,'LINESTRING (-0.56068252 39.25036845, -0.56095985 39.25027673)'
way/126987023-400-220,way/126987023-400,way/126987023-220,400,220,5363,'LINESTRING (-0.56068252 39.25036845, -0.56072309 39.25013509)'
way/127004407-380-132,way/127004407-380,virtual_way/449413541:0-132,380,132,6793,'LINESTRING (7.25931117 47.3375547, 7.25902079 47.33773843)'
way/127004407-400-132,virtual_relation/6668144:c:1-400,virtual_way/449413541:0-132,400,132,1788,'LINESTRING (7.25930112 47.3377455, 7.25902079 47.33773843)'
way/127004407-400-380,virtual_relation/6668144:c:1-400,way/127004407-380,400,380,6793,'LINESTRING (7.25930112 47.3377455, 7.25931117 47.3375547)'
way/1270836875-220-132,way/1270836875-220,way/1270836875-132,220,132,984,'LINESTRING (-4.34299903 42.59466193, -4.34325874 42.59479293)'
way/1270836875-400-132,way/1270836875-400,way/1270836875-132,400,132,10725,'LINESTRING (-4.34297252 42.59489542, -4.34325874 42.59479293)'
way/1270836875-400-220,way/1270836875-400,way/1270836875-220,400,220,10725,'LINESTRING (-4.34297252 42.59489542, -4.34299903 42.59466193)'
way/1270848181-400-132,way/1270848181-400,way/1270848181-132,400,132,3575,'LINESTRING (-3.85913588 42.59085385, -3.85934612 42.59063083)'
way/1271288345-400-225,way/1271288345-400,way/1271288345-225,400,225,8938,'LINESTRING (1.78345952 50.90280566, 1.78311532 50.90272035)'
way/1271295337-400-132,way/1271295337-400,way/1271295337-132,400,132,7150,'LINESTRING (0.97491881 51.10593873, 0.97457457 51.10585102)'
way/1271587263-400-150,way/1271587263-400,way/1271587263-150,400,150,7150,'LINESTRING (9.56905693 56.48005289, 9.56872776 56.48023314)'
way/127184694-400-132,way/127184694-400,way/127184694-132,400,132,3575,'LINESTRING (-2.69293273 52.70945904, -2.69318754 52.70923862)'
way/1272548315-400-132,way/1272548315-400,way/1272548315-132,400,132,1788,'LINESTRING (-3.82058845 42.32275235, -3.82079804 42.32252937)'
way/1274396508-400-132,way/1274396508-400,way/1274396508-132,400,132,8938,'LINESTRING (-3.0773981 53.23026451, -3.07771919 53.23039686)'
way/1274952328-275-132,way/1274952328-275,way/1274952328-132,275,132,2766,'LINESTRING (-1.23747839 54.60528842, -1.2378045 54.60542558)'
way/1274952328-400-132,way/1274952328-400,way/1274952328-132,400,132,3575,'LINESTRING (-1.23743684 54.60552013, -1.2378045 54.60542558)'
way/1274952328-400-275,way/1274952328-400,way/1274952328-275,400,275,3575,'LINESTRING (-1.23743684 54.60552013, -1.23747839 54.60528842)'
way/127528728-220-132,way/127528728-220,virtual_way/427464061:1-132,220,132,1967,'LINESTRING (-0.22144704 39.79364967, -0.22166163 39.79343376)'
way/1275300370-275-132,way/1275300370-275,way/1275300370-132,275,132,922,'LINESTRING (0.23758329 51.4635197, 0.23728574 51.46366109)'
way/1275300370-400-132,way/1275300370-400,way/1275300370-132,400,132,3575,'LINESTRING (0.23763125 51.463751, 0.23728574 51.46366109)'
way/1275300370-400-275,way/1275300370-400,way/1275300370-275,400,275,3575,'LINESTRING (0.23763125 51.463751, 0.23758329 51.4635197)'
way/1275359448-220-132,way/1275359448-220,way/1275359448-132,220,132,1475,'LINESTRING (-2.82917628 40.36439645, -2.82938383 40.36417521)'
way/1277630151-220-132,way/1277630151-220,way/1277630151-132,220,132,885,'LINESTRING (-2.08442637 39.63816215, -2.08466806 39.63829982)'
way/1277630151-400-132,way/1277630151-400,way/1277630151-132,400,132,8938,'LINESTRING (-2.08439117 39.63839586, -2.08466806 39.63829982)'
way/1277630151-400-220,way/1277630151-400,way/1277630151-220,400,220,8938,'LINESTRING (-2.08439117 39.63839586, -2.08442637 39.63816215)'
way/1277780445-400-132,way/1277780445-400,virtual_way/1361561019:0-132,400,132,8938,'LINESTRING (-1.56506777 39.5250146, -1.56527722 39.52479582)'
way/1280178911-220-155,way/1280178911-220,virtual_way/289298880:1-155,220,155,492,'LINESTRING (7.243828 53.35746209, 7.24393909 53.35760588)'
way/1280178911-380-155,way/1280178911-380,virtual_way/289298880:1-155,380,155,3397,'LINESTRING (7.24425352 53.35743162, 7.24393909 53.35760588)'
way/1280178911-380-220,way/1280178911-380,way/1280178911-220,380,220,3397,'LINESTRING (7.24425352 53.35743162, 7.243828 53.35746209)'
way/1280347702-380-220,way/1280347702-380,way/1280347702-220,380,220,10189,'LINESTRING (8.05294972 53.33283126, 8.05264006 53.3326356)'
way/1282733005-380-220,way/1282733005-380,way/1282733005-220,380,220,5095,'LINESTRING (13.52438265 52.53576877, 13.52405513 52.53558762)'
way/128406208-300-132,way/128406208-300,way/128406208-132,300,132,3017,'LINESTRING (10.21567269 59.86694719, 10.21534666 59.867113)'
way/128406208-420-132,way/128406208-420,way/128406208-132,420,132,7508,'LINESTRING (10.21579385 59.86717282, 10.21534666 59.867113)'
way/128406208-420-300,way/128406208-420,way/128406208-300,420,300,7508,'LINESTRING (10.21579385 59.86717282, 10.21567269 59.86694719)'
way/128602121-220-132,way/128602121-220,virtual_way/603750162:0-132,220,132,2458,'LINESTRING (12.1133119 45.55799755, 12.11303333 45.55781191)'
way/1290369829-400-132,way/1290369829-400,way/1290369829-132,400,132,1788,'LINESTRING (12.54027622 55.65563281, 12.53992741 55.65544903)'
way/129055610-400-150,way/129055610-400,way/129055610-150,400,150,12513,'LINESTRING (-8.85830597 38.57318443, -8.85848902 38.57295145)'
way/129378915-225-220,way/129378915-225,virtual_relation/3756991:0-220,225,220,2011,'LINESTRING (6.70370748 49.13832897, 6.70344493 49.13848661)'
way/129378915-400-220,way/129378915-400,virtual_relation/3756991:0-220,400,220,3575,'LINESTRING (6.70378443 49.13855712, 6.70344493 49.13848661)'
way/129378915-400-225,way/129378915-400,way/129378915-225,400,225,3575,'LINESTRING (6.70378443 49.13855712, 6.70370748 49.13832897)'
way/129410481-220-132,virtual_way/129410519:0-220,way/129410481-132,220,132,1967,'LINESTRING (11.49064694 45.56621528, 11.49037046 45.56602801)'
way/129414137-330-132,virtual_relation/8867417:1-330,way/129414137-132,330,132,1107,'LINESTRING (-2.50850995 51.29079783, -2.50875859 51.29057785)'
way/129441519-220-132,way/129441519-220,way/129441519-132,220,132,984,'LINESTRING (-1.18798772 37.94068581, -1.1882209 37.94082622)'
way/129441519-400-132,way/129441519-400,way/129441519-132,400,132,5363,'LINESTRING (-1.18794949 37.94091972, -1.1882209 37.94082622)'
way/129441519-400-220,way/129441519-400,way/129441519-220,400,220,5363,'LINESTRING (-1.18794949 37.94091972, -1.18798772 37.94068581)'
way/1296380607-220-132,way/1296380607-220,way/1296380607-132,220,132,492,'LINESTRING (-3.4210782 36.89498332, -3.42127519 36.89476029)'
way/129767234-400-220,way/129767234-400,way/129767234-220,400,220,3575,'LINESTRING (0.27697447 41.36837938, 0.27675345 41.36816477)'
way/129912788-400-132,way/129912788-400,way/129912788-132,400,132,5363,'LINESTRING (15.01203177 59.0443765, 15.01163658 59.04419967)'
way/130198336-220-132,way/130198336-220,virtual_way/356307027:0-132,220,132,492,'LINESTRING (8.58346962 46.6673919, 8.58319783 46.66719728)'
way/1303270458-380-220,way/1303270458-380,virtual_way/25090058:1-220,380,220,3397,'LINESTRING (7.00230495 51.60492715, 7.00201154 51.60472885)'
way/131291789-380-132,way/131291789-380,virtual_way/625575570:0-132,380,132,3397,'LINESTRING (10.50815746 45.41515242, 10.50788511 45.41496257)'
way/131715746-400-220,way/131715746-400,way/131715746-220,400,220,5363,'LINESTRING (-9.00160154 39.33752636, -9.00178562 39.33729325)'
way/1317893095-220-150,way/1317893095-220,way/1317893095-150,220,150,2458,'LINESTRING (15.17265956 37.12593756, 15.17246714 37.12611525)'
way/132645607-220-150,way/132645607-220,way/132645607-150,220,150,1475,'LINESTRING (14.47132025 40.75552489, 14.47105694 40.75534467)'
way/132701980-380-220,way/132701980-380,way/132701980-220,380,220,1699,'LINESTRING (14.21900856 41.01210041, 14.21874487 41.01191958)'
way/132702940-220-150,way/132702940-220,virtual_way/202178575:0-150,220,150,2950,'LINESTRING (14.27870844 40.94933473, 14.27844485 40.94915404)'
way/1327333163-380-220,way/1327333163-380,virtual_relation/3945260:a:0-220,380,220,6793,'LINESTRING (9.15259955 49.14421475, 9.15231218 49.14402177)'
way/132865612-400-150,way/132865612-400,way/132865612-150,400,150,5363,'LINESTRING (-8.38990139 41.40301818, -8.39009207 41.40278645)'
way/1329675668-380-220,virtual_way/1373311245:1-380,way/1329675668-220,380,220,1699,'LINESTRING (10.39697411 52.16773029, 10.39666239 52.16754069)'
way/133082281-400-132,way/133082281-400,way/133082281-132,400,132,3575,'LINESTRING (12.19933222 55.89471677, 12.19898286 55.89453205)'
way/1330896577-400-225,way/1330896577-400,virtual_relation/19888985:1-225,400,225,10725,'LINESTRING (1.2341555 49.96551976, 1.23389642 49.96530785)'
way/133323988-275-132,way/133323988-275,way/133323988-132,275,132,1844,'LINESTRING (-1.7992771 57.47345547, -1.79963132 57.47359087)'
way/133323988-400-132,way/133323988-400,way/133323988-132,400,132,1788,'LINESTRING (-1.79923784 57.47368744, -1.79963132 57.47359087)'
way/133323988-400-275,way/133323988-400,way/133323988-275,400,275,1844,'LINESTRING (-1.79923784 57.47368744, -1.7992771 57.47345547)'
way/133524568-138-132,virtual_relation/6848477:1-138,way/133524568-132,138,132,309,'LINESTRING (0.40319865 40.43159376, 0.40298013 40.43137929)'
way/133537926-400-220,way/133537926-400,way/133537926-220,400,220,5363,'LINESTRING (19.29362645 50.16357701, 19.29329444 50.16341216)'
way/133555504-400-150,way/133555504-400,way/133555504-150,400,150,1788,'LINESTRING (9.61503557 55.51287828, 9.61470182 55.51268662)'
way/133601335-380-220,way/133601335-380,way/133601335-220,380,220,3397,'LINESTRING (9.50674936 45.51033037, 9.50648002 45.51013796)'
way/1344277366-220-132,way/1344277366-220,way/1344277366-132,220,132,3441,'LINESTRING (-3.66735211 40.34118225, -3.66755676 40.34095932)'
way/1346380309-400-132,way/1346380309-400,way/1346380309-132,400,132,3575,'LINESTRING (12.11060016 57.60684747, 12.11023504 57.60666247)'
way/135270825-220-132,way/135270825-220,virtual_way/203560528:0-132,220,132,1967,'LINESTRING (9.18683824 45.43600496, 9.18657038 45.43581174)'
way/135693940-275-132,way/135693940-275,way/135693940-132,275,132,1844,'LINESTRING (-2.16707441 53.52892168, -2.16733622 53.52870229)'
way/135806477-400-220,way/135806477-400,virtual_way/1429189143:b:1-220,400,220,1788,'LINESTRING (-1.29646511 41.6499432, -1.29668161 41.64972529)'
way/136005929-220-132,way/136005929-220,way/136005929-132,220,132,1475,'LINESTRING (-3.72050315 40.40738993, -3.72070779 40.40716691)'
way/1362412331-275-132,way/1362412331-275,way/1362412331-132,275,132,922,'LINESTRING (-1.4884124 54.03138178, -1.48868051 54.03116378)'
way/136457747-220-132,way/136457747-220,virtual_way/158741668:1-132,220,132,984,'LINESTRING (13.3941787 43.21427485, 13.39390752 43.21409224)'
way/137317949-220-132,way/137317949-220,way/137317949-132,220,132,984,'LINESTRING (9.17117591 45.53908371, 9.1709076 45.53889045)'
way/137602559-380-220,way/137602559-380,way/137602559-220,380,220,3397,'LINESTRING (11.58121325 48.76481528, 11.5809188 48.76462861)'
way/1379134205-400-150,way/1379134205-400,way/1379134205-150,400,150,3575,'LINESTRING (9.9686644 55.41116052, 9.9683298 55.4109698)'
way/138362793-400-220,way/138362793-400,way/138362793-220,400,220,8938,'LINESTRING (14.61383796 46.09355421, 14.61354809 46.0933754)'
way/138382023-400-225,way/138382023-400,way/138382023-225,400,225,3575,'LINESTRING (4.99778292 48.81801804, 4.99751388 48.81781478)'
way/1384028953-400-150,way/1384028953-400,way/1384028953-150,400,150,5363,'LINESTRING (10.50546156 55.36601882, 10.5051248 55.36582953)'
way/1386143667-220-132,way/1386143667-220,way/1386143667-132,220,132,885,'LINESTRING (1.06074026 52.07109442, 1.0607023 52.07128341)'
way/1386143667-400-132,way/1386143667-400,way/1386143667-132,400,132,8938,'LINESTRING (1.06100969 52.07130676, 1.0607023 52.07128341)'
way/1386143667-400-220,way/1386143667-400,way/1386143667-220,400,220,8938,'LINESTRING (1.06100969 52.07130676, 1.06074026 52.07109442)'
way/1393671376-150-132,way/1393671376-150,way/1393671376-132,150,132,443,'LINESTRING (-0.23150326 53.7470893, -0.23181902 53.74722921)'
way/1393671376-275-132,way/1393671376-275,way/1393671376-132,275,132,922,'LINESTRING (-0.23145653 53.74732071, -0.23181902 53.74722921)'
way/1393671376-275-150,way/1393671376-275,way/1393671376-150,275,150,922,'LINESTRING (-0.23145653 53.74732071, -0.23150326 53.7470893)'
way/139452056-400-220,way/139452056-400,way/139452056-220,400,220,8938,'LINESTRING (18.54009962 50.12565518, 18.53977057 50.12548811)'
way/1395117767-400-132,way/1395117767-400,way/1395117767-132,400,132,3575,'LINESTRING (-2.32720044 53.79466481, -2.32746291 53.79444507)'
way/139975773-380-132,way/139975773-380,virtual_way/371855133:1-132,380,132,5095,'LINESTRING (11.15103181 43.76544002, 11.15076522 43.76525159)'
way/140375658-380-220,way/140375658-380,way/140375658-220,380,220,1699,'LINESTRING (11.89800505 47.23347936, 11.89771827 47.23329337)'
way/140715391-220-132,virtual_way/100770557:a:0-220,way/140715391-132,220,132,738,'LINESTRING (11.23103138 43.71220361, 11.23080754 43.71237205)'
way/140715391-380-132,way/140715391-380,way/140715391-132,380,132,1699,'LINESTRING (11.23111941 43.712429, 11.23080754 43.71237205)'
way/140715391-380-220,way/140715391-380,virtual_way/100770557:a:0-220,380,220,1699,'LINESTRING (11.23111941 43.712429, 11.23103138 43.71220361)'
way/140743482-220-132,way/140743482-220,way/140743482-132,220,132,738,'LINESTRING (-7.76821324 42.62555294, -7.76840914 42.62532247)'
way/140873735-220-132,way/140873735-220,way/140873735-132,220,132,1967,'LINESTRING (8.66804566 46.77028514, 8.66777304 46.77009074)'
way/141046481-220-150,way/141046481-220,virtual_relation/6361927:1-150,220,150,984,'LINESTRING (8.63068278 39.89104207, 8.63044018 39.89084657)'
way/142182853-400-220,way/142182853-400,way/142182853-220,400,220,3575,'LINESTRING (-8.6046411 41.23055293, -8.6048306 41.23032079)'
way/142740991-400-132,way/142740991-400,way/142740991-132,400,132,1788,'LINESTRING (-2.98858402 53.87932668, -2.98884357 53.87910557)'
way/142741752-400-132,way/142741752-400,way/142741752-132,400,132,1788,'LINESTRING (-1.91481405 52.75677835, -1.91507295 52.75655954)'
way/142841192-275-132,way/142841192-275,way/142841192-132,275,132,2766,'LINESTRING (-1.86580116 53.81025035, -1.8661229 53.81038591)'
way/142841192-400-132,way/142841192-400,way/142841192-132,400,132,1788,'LINESTRING (-1.86576334 53.81048221, -1.8661229 53.81038591)'
way/142841192-400-275,way/142841192-400,way/142841192-275,400,275,2766,'LINESTRING (-1.86576334 53.81048221, -1.86580116 53.81025035)'
way/142845284-400-132,way/142845284-400,virtual_way/142845285:0-132,400,132,3575,'LINESTRING (-4.16859801 52.93909827, -4.16884662 52.93887483)'
way/1431026204-400-220,way/1431026204-400,way/1431026204-220,400,220,1788,'LINESTRING (-2.64115717 40.70939199, -2.64136631 40.70917118)'
way/143105488-275-132,way/143105488-275,way/143105488-132,275,132,2766,'LINESTRING (-4.43188244 55.44701999, -4.43214307 55.44679581)'
way/143207686-220-132,way/143207686-220,way/143207686-132,220,132,1475,'LINESTRING (-0.84673455 41.74229247, -0.8469529 41.74207552)'
way/143293789-220-132,way/143293789-220,way/143293789-132,220,132,984,'LINESTRING (3.15865395 39.58208648, 3.15842921 39.58187796)'
way/143383456-400-132,way/143383456-400,way/143383456-132,400,132,3575,'LINESTRING (-3.86735784 55.61546491, -3.86762257 55.61524183)'
way/143398451-275-132,way/143398451-275,way/143398451-132,275,132,1844,'LINESTRING (-4.47724716 55.80899312, -4.47759492 55.80912128)'
way/143398451-400-132,way/143398451-400,way/143398451-132,400,132,3575,'LINESTRING (-4.47722418 55.80922543, -4.47759492 55.80912128)'
way/143398451-400-275,way/143398451-400,way/143398451-275,400,275,3575,'LINESTRING (-4.47722418 55.80922543, -4.47724716 55.80899312)'
way/143483666-400-220,way/143483666-400,virtual_way/143483672:1-220,400,220,5363,'LINESTRING (-8.05733437 42.25655359, -8.05752828 42.25632256)'
way/143585004-380-132,way/143585004-380,way/143585004-132,380,132,3397,'LINESTRING (12.50838131 44.01261242, 12.50810914 44.0124276)'
way/1436767715-400-275,way/1436767715-400,way/1436767715-275,400,275,2766,'LINESTRING (-1.4044078 54.8051272, -1.40468094 54.80490932)'
way/143903369-380-220,way/143903369-380,way/143903369-220,380,220,5095,'LINESTRING (9.09195267 49.29475943, 9.09166467 49.29456632)'
way/143905069-400-275,way/143905069-400,way/143905069-275,400,275,3575,'LINESTRING (-0.79359345 53.22816229, -0.79386046 53.22794584)'
way/144005861-220-150,way/144005861-220,way/144005861-150,220,150,1967,'LINESTRING (8.91700016 39.38905592, 8.91675855 39.38886103)'
way/144233436-220-132,way/144233436-220,way/144233436-132,220,132,984,'LINESTRING (-8.1930892 42.15391023, -8.19328236 42.15367894)'
way/144327157-400-220,way/144327157-400,way/144327157-220,400,220,7150,'LINESTRING (-6.48760358 41.25539111, -6.48780075 41.25516285)'
way/1443360811-380-220,way/1443360811-380,way/1443360811-220,380,220,10189,'LINESTRING (10.1492128 49.98974856, 10.14891643 49.98955822)'
way/144374439-400-220,virtual_way/810562774:0-400,way/144374439-220,400,220,3575,'LINESTRING (-8.12930874 41.08205349, -8.12949962 41.08182219)'
way/144378054-220-132,way/144378054-220,virtual_way/144378444:0-132,220,132,984,'LINESTRING (11.80768612 43.44670545, 11.80741889 43.44651868)'
way/144385734-400-220,way/144385734-400,way/144385734-220,400,220,5363,'LINESTRING (-6.7380899 41.21982396, -6.73828609 41.21959523)'
way/144396412-400-220,way/144396412-400,way/144396412-220,400,220,8938,'LINESTRING (-7.66211976 41.10198893, -7.66231237 41.10175847)'
way/144396420-220-150,way/144396420-220,way/144396420-150,220,150,3441,'LINESTRING (-7.75783233 41.13872132, -7.75802467 41.1384907)'
way/144439469-400-220,way/144439469-400,way/144439469-220,400,220,5363,'LINESTRING (-8.4793847 40.46875094, -8.47957296 40.46851893)'
way/144439472-400-220,way/144439472-400,virtual_way/144439478:0-220,400,220,3575,'LINESTRING (-7.99267301 40.70196948, -7.99286352 40.70173838)'
way/144487932-220-132,way/144487932-220,way/144487932-132,220,132,492,'LINESTRING (-5.82066082 36.67146854, -5.82089884 36.67159735)'
way/144487932-400-132,way/144487932-400,way/144487932-132,400,132,5363,'LINESTRING (-5.82063801 36.67170376, -5.82089884 36.67159735)'
way/144487932-400-220,way/144487932-400,way/144487932-220,400,220,5363,'LINESTRING (-5.82063801 36.67170376, -5.82066082 36.67146854)'
way/144552378-220-150,way/144552378-220,way/144552378-150,220,150,503,'LINESTRING (-7.55306412 39.82848547, -7.55325423 39.82825504)'
way/144564903-400-220,way/144564903-400,virtual_way/144564901:1-220,400,220,7150,'LINESTRING (-8.78962032 39.6507023, -8.78980576 39.65046961)'
way/144588414-220-150,way/144588414-220,way/144588414-150,220,150,984,'LINESTRING (-8.32735279 39.5450253, -8.32753961 39.54479342)'
way/144599061-400-150,way/144599061-400,way/144599061-150,400,150,7150,'LINESTRING (-7.74031349 39.52821037, -7.74050229 39.52797955)'
way/144608818-400-220,way/144608818-400,way/144608818-220,400,220,5363,'LINESTRING (-8.95073545 39.014165, -8.95091906 39.01393193)'
way/144622215-400-150,way/144622215-400,way/144622215-150,400,150,12513,'LINESTRING (-8.76364429 37.99793191, -8.76382656 37.997699)'
way/144635505-400-150,way/144635505-400,way/144635505-150,400,150,5363,'LINESTRING (-8.12676769 38.05549973, -8.12695217 38.05526797)'
way/144767090-400-220,way/144767090-400,virtual_way/144778700:1-220,400,220,8938,'LINESTRING (-6.70275376 38.32007351, -6.70294346 38.31984441)'
way/144775943-220-132,way/144775943-220,way/144775943-132,220,132,2950,'LINESTRING (-6.3415538 38.89667808, -6.34174595 38.89644975)'
way/144787749-400-220,way/144787749-400,way/144787749-220,400,220,3575,'LINESTRING (-5.84319108 37.24560585, -5.84338129 37.24537817)'
way/144812118-220-132,way/144812118-220,way/144812118-132,220,132,1967,'LINESTRING (-5.90579324 37.29842596, -5.90598335 37.29819817)'
way/144909709-400-132,way/144909709-400,way/144909709-132,400,132,5363,'LINESTRING (-1.44563719 37.76575432, -1.44584237 37.76553549)'
way/144909722-400-132,way/144909722-400,way/144909722-132,400,132,5363,'LINESTRING (-1.90790079 36.97835776, -1.9081026 36.97813781)'
way/144909723-400-132,way/144909723-400,way/144909723-132,400,132,3575,'LINESTRING (-0.96096206 37.63356845, -0.96116841 37.6333506)'
way/144915428-220-132,way/144915428-220,way/144915428-132,220,132,492,'LINESTRING (-0.95497415 37.5641298, -0.95520545 37.5642709)'
way/144915428-400-132,way/144915428-400,way/144915428-132,400,132,3575,'LINESTRING (-0.95493516 37.56436374, -0.95520545 37.5642709)'
way/144915428-400-220,way/144915428-400,way/144915428-220,400,220,3575,'LINESTRING (-0.95493516 37.56436374, -0.95497415 37.5641298)'
way/144931782-400-132,way/144931782-400,virtual_way/171260474:0-132,400,132,5363,'LINESTRING (-1.00742435 39.0414915, -1.00763428 39.04127381)'
way/144941889-400-132,way/144941889-400,virtual_way/164938638:0-132,400,132,5363,'LINESTRING (-1.79972717 39.04366829, -1.79993456 39.04344895)'
way/144942113-400-132,way/144942113-400,virtual_way/151249516:0-132,400,132,5363,'LINESTRING (-1.60194865 38.76463691, -1.60215594 38.76441793)'
way/145177356-220-132,way/145177356-220,way/145177356-132,220,132,492,'LINESTRING (-3.57599797 37.19668925, -3.57619517 37.19646597)'
