bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/7854485-300,300,f,Substation,f,relation/7854485,8.96168649,60.26680941,NO,POINT (8.96168649 60.26680941)
relation/7854485-420,420,f,Substation,f,relation/7854485,8.96206273,60.2670031,NO,POINT (8.96206273 60.2670031)
relation/7858702-132,132,f,Substation,f,relation/7858702,9.89748696,60.6485144,NO,POINT (9.89748696 60.6485144)
relation/7858703-132,132,f,Substation,f,relation/7858703,9.37954532,60.91687631,NO,POINT (9.37954532 60.91687631)
relation/7858707-132,132,f,Substation,f,relation/7858707,9.30064185,60.95713334,NO,POINT (9.30064185 60.95713334)
relation/7859164-132,132,f,Substation,f,relation/7859164,10.05809755,60.99462364,NO,POINT (10.05809755 60.99462364)
relation/7859166-132,132,f,Substation,f,relation/7859166,10.11262403,60.82050096,NO,POINT (10.11262403 60.82050096)
relation/7867734-132,132,f,Substation,f,relation/7867734,10.23643833,60.18287026,NO,POINT (10.23643833 60.18287026)
relation/7871517-132,132,f,Substation,f,relation/7871517,9.84752301,59.71765294,NO,POINT (9.84752301 59.71765294)
relation/7871517-300,300,f,Substation,f,way/287115458,9.84789821,59.71784421,NO,POINT (9.84789821 59.71784421)
relation/7872518-132,132,f,Substation,f,relation/7872518,0.57562627,51.8658727,GB,POINT (0.57562627 51.8658727)
relation/7872518-400,400,f,Substation,f,relation/7872518,0.57589231,51.86608611,GB,POINT (0.57589231 51.86608611)
relation/7872639-132,132,f,Substation,f,relation/7872639,0.72306429,52.23987474,GB,POINT (0.72306429 52.23987474)
relation/7873198-132,132,f,Substation,f,relation/7873198,-2.60524784,50.94977893,GB,POINT (-2.60524784 50.94977893)
relation/7877635-132,132,f,Substation,f,relation/7877635,9.25835894,59.58169233,NO,POINT (9.25835894 59.58169233)
relation/7879831-132,132,f,Substation,f,relation/7879831,-3.95881411,51.68582842,GB,POINT (-3.95881411 51.68582842)
relation/7879831-275,275,f,Substation,f,relation/7879831,-3.95850201,51.68569825,GB,POINT (-3.95850201 51.68569825)
relation/7879831-400,400,f,Substation,f,relation/7879831,-3.95847537,51.68593055,GB,POINT (-3.95847537 51.68593055)
relation/7879875-132,132,f,Substation,f,relation/7879875,8.59669442,59.87714424,NO,POINT (8.59669442 59.87714424)
relation/7879876-300,300,f,Substation,f,relation/7879876,8.49301198,59.86549108,NO,POINT (8.49301198 59.86549108)
relation/7879878-132,132,f,Substation,f,relation/7879878,8.67819698,59.88398884,NO,POINT (8.67819698 59.88398884)
relation/7879878-420,420,f,Substation,f,relation/7879879,8.67856738,59.88418324,NO,POINT (8.67856738 59.88418324)
relation/7879994-132,132,f,Substation,f,relation/7879994,-4.32150658,52.18848246,GB,POINT (-4.32150658 52.18848246)
relation/7880111-132,132,f,Substation,f,relation/7880111,-0.48406348,51.35069691,GB,POINT (-0.48406348 51.35069691)
relation/7880111-275,275,f,Substation,f,relation/7880111,-0.48376443,51.35055739,GB,POINT (-0.48376443 51.35055739)
relation/7880111-400,400,f,Substation,f,relation/7880111,-0.48372017,51.35078893,GB,POINT (-0.48372017 51.35078893)
relation/7881280-132,132,f,Substation,f,relation/7881280,-0.75606427,53.59797723,GB,POINT (-0.75606427 53.59797723)
relation/7881280-400,400,f,Substation,f,relation/7881280,-0.75579496,53.59819363,GB,POINT (-0.75579496 53.59819363)
relation/7883264-300,300,f,Substation,f,relation/7883264,7.85082723,59.62467475,NO,POINT (7.85082723 59.62467475)
relation/7883882-300,300,f,Substation,f,relation/7883882,8.03629162,59.44802686,NO,POINT (8.03629162 59.44802686)
relation/7886014-132,132,f,Substation,f,relation/7886014,-2.51272005,52.6319616,GB,POINT (-2.51272005 52.6319616)
relation/7886014-400,400,f,Substation,f,relation/7886014,-2.51246475,52.63218165,GB,POINT (-2.51246475 52.63218165)
relation/7888361-150,150,f,Substation,f,relation/7888361,12.44590266,41.9726859,IT,POINT (12.44590266 41.9726859)
relation/7891422-132,132,f,Substation,f,relation/7891422,-4.04783995,52.41231171,GB,POINT (-4.04783995 52.41231171)
relation/7892475-132,132,f,Substation,f,relation/7892475,-2.48445066,53.1028735,GB,POINT (-2.48445066 53.1028735)
relation/7893972-132,132,f,Substation,f,relation/7893972,9.57915207,59.21931115,NO,POINT (9.57915207 59.21931115)
