Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
APS_MD,4.2932528154612195e8,9.261598821731487e7,0.0,5.219412697634368e8
BGE,1.79945785708078e8,4.4918967193443455e7,0.0,2.2486475290152144e8
PEPCO,1.7984705267181534e8,5.75282663398187e8,0.0,7.551297160700023e8
DPL_MD,1.710578176371699e7,1.4761524102299857e8,0.0,1.6472102278671557e8
APS,0.0,0.0,0.0,0.0
DPL,0.0,0.0,0.0,0.0
